"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Jammu_&_Kashmir",1962,2,1,1,19,1,"PIR JAMAT ALI SHAH","M","NC",0,NA,NA,0,43930,"MENDHAR","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,31,1,"SHAMAS - UD- DIN","M","NC",0,NA,NA,0,23746,"ANANTNAG","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,32,1,"MANOHAR NATH KAUL","M","NC",0,NA,NA,0,23229,"KOTHAR","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,33,1,"NIZAM - UD- DIN","M","NC",0,NA,NA,0,21629,"NAUBUG BRANG VALLY","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,34,1,"MIR QASIM","M","NC",0,NA,NA,0,22901,"DORU SHAHBAD","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,35,1,"NOOR - UD - DIN - DAR","M","NC",0,NA,NA,0,24576,"KHOWARPARA","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,36,1,"MOHAMMAD SYED","M","NC",0,NA,NA,0,18126,"DACHHINPORA","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,37,1,"ABDUL AZIZ ZARGAR","M","NC",0,NA,NA,0,24243,"DEVASAR","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,38,1,"MOHD. YAQUB BHAT","M","NC",0,NA,NA,0,24928,"KULGAM","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,39,1,"ABDUL KABIR WANI","M","NC",0,NA,NA,0,23274,"NANDI","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,40,1,"GHULAM HUSSAIN KHAN","M","NC",0,NA,NA,0,24594,"NORBAD","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,41,1,"ABDUL MAJID BANDEY","M","NC",0,NA,NA,0,25376,"SHOPIAN","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,42,1,"PEERZADA GHULAM JEELANI","M","NC",0,NA,NA,0,26855,"PAMPUR","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,43,1,"MASTER SANAULLAH SHEIKH","M","NC",0,NA,NA,0,25815,"PULWAMA","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,44,1,"A.G. TRALI","M","NC",0,NA,NA,0,25441,"TRAL","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,48,1,"G.M. SADIQ","M","NC",0,NA,NA,0,25169,"TANKIPURA","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,50,1,"BAKHSHI GHULAM MOHAMMAD","M","NC",0,NA,NA,0,17728,"SAFA KADAL","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,52,1,"MAIN NIZAM UD-DIN","M","NC",0,NA,NA,0,23907,"KANGAN","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,53,1,"ABDUL SALAM AITU","M","NC",0,NA,NA,0,26165,"GANDERBAL","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,54,1,"MOHD. YAHYA SIDIQI","M","NC",0,NA,NA,0,27198,"HAZARATBAL","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,55,1,"SYED ABDUL QUDUS AZAD","M","NC",0,NA,NA,0,25067,"BIRWA","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,59,1,"BAKSHI ABDUL RASHID","M","NC",0,NA,NA,0,23683,"CHAR I SHARIFF","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,61,1,"MOHAMMAD AKBAR","M","NC",0,NA,NA,0,21088,"TANGAMARG","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,62,1,"SYED ABBAS","M","NC",0,NA,NA,0,22263,"MAGAM","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
