"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Nagaland",1964,2,1,2,11,1,"SHRI KIYELHO (UNCONTESTED)","M","IND",0,NA,NA,0,4257,"PUGHOBOTO","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,15,1,"SHRI PUDENU DEMO (UNCONTESTED)","M","IND",0,NA,NA,0,2118,"CHAZOUBA","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,17,1,"SHRI LHUTHIPRU (UNCONTESTED)","M","IND",0,NA,NA,0,3444,"PHEK","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,19,1,"SHRI AMON ( UNCONTESTED)","M","IND",0,NA,NA,0,2984,"MELURI","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,21,1,"SHRI R.C. CHITEN JAMIR (UNCONTESTED)","M","IND",0,NA,NA,0,2946,"ARKAKONG","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,22,1,"SHRI SUZUMAR IMSONG (UNCONTESTED)","M","IND",0,NA,NA,0,2496,"YISEMYONG","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,27,1,"SHRI P. SHILU AO.","M","IND",0,NA,NA,0,2999,"IMPUR","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,29,1,"SHRI ZULUTEMBA (UNCONTESTED)","M","IND",0,NA,NA,0,3162,"ALONGTAKI","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,30,1,"SHRI HOKISHE SEMA (UNCONTESTED)","M","IND",0,NA,NA,0,2641,"AKULUTO","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,31,1,"SHRI KIYEKHU SHIKHU","M","IND",0,NA,NA,0,3675,"ATOIZU","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,32,1,"SHRI NIHOVI AVEMI","M","IND",0,NA,NA,0,2475,"SUROHOTO","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,33,1,"SHRI IHEZE","M","IND",0,NA,NA,0,4150,"AGHUNATO","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,35,1,"SHRI YESHITO","M","IND",0,NA,NA,0,3372,"SATAKHA","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,40,1,"SHRI TSENLAMO KIKON","M","IND",0,NA,NA,0,1438,"BHANDARI","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1974,2,3,3,31,1,"HOKISHE SEMA","M","NNO",0,NA,NA,0,5038,"AKULUTO","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1974,2,3,3,55,1,"NUKLO","M","UDF",0,NA,NA,0,0,"TOBU","GEN",NA,NA,1,NA,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1977,2,4,3,15,1,"VIZOL","M","UDF",0,NA,NA,0,5419,"SOUTHERN ANGAMI-II","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1993,2,8,3,10,1,"SHURHOZELIE","M","NPC",0,NA,NA,0,1,"NORTHERN ANGAMI - I","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,1,1,"I. VIKHESHE","M","INC",0,NA,NA,0,25200,"DIMAPUR-I","GEN",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,2,1,"IMTISUNGET JAMIR","M","INC",0,NA,NA,0,46761,"DIMAPUR-II","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,4,1,"DR. V. KANITO","M","INC",0,NA,NA,0,50657,"GHASPANI-I","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,5,1,"ROKONICHA","M","INC",0,NA,NA,0,22771,"GHASPANI-II","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,7,1,"NEIBA NDANG","M","INC",0,NA,NA,0,19123,"PEREN","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,10,1,"SEYIEKUOLIE","M","INC",0,NA,NA,0,14685,"NORTHERN ANGAMI - I","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,12,1,"NILLO RENGMA","M","INC",0,NA,NA,0,19472,"TSEMINYU","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,13,1,"JOSHUA SUMI","M","INC",0,NA,NA,0,12491,"PUGHOBOTO","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,15,1,"K.V. PUSA","M","INC",0,NA,NA,0,10293,"SOUTHERN ANGAMI-II","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,16,1,"KEWEKHAPE THERIE","M","INC",0,NA,NA,0,17001,"PFUTSERO","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,17,1,"ZHOVEHU LOHE","M","INC",0,NA,NA,0,12367,"CHIZAMI","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,19,1,"ZACHILHU","M","INC",0,NA,NA,0,14714,"PHEK","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,22,1,"IMTIYANGER","M","INC",0,NA,NA,0,13587,"ARKAKONG","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,24,1,"T. SENTICHUBA","M","INC",0,NA,NA,0,11124,"ANGETYONGPANG","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,25,1,"T. IMTIMEREN JAMIR","M","INC",0,NA,NA,0,11227,"MONGUYA","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,27,1,"NUNGSHIZENBA","M","INC",0,NA,NA,0,4556,"MOKOKCHUNG TOWN","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,28,1,"T. NOKYU LONGCHAR","M","INC",0,NA,NA,0,15254,"KORIDANG","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,29,1,"I. IMKONG","M","INC",0,NA,NA,0,9849,"JANGPETKONG","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,30,1,"TONGPANG NUNGSHI","M","INC",0,NA,NA,0,12638,"ALUNGTAKI","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,31,1,"KAKHETO","M","INC",0,NA,NA,0,6888,"AKULUTO","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,32,1,"DOSHEHE-Y-SEMA","M","INC",0,NA,NA,0,9582,"ATOIZU","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
"Nagaland",1998,2,9,3,33,1,"KIYEZHE SEMA","M","INC",0,NA,NA,0,9175,"SURUHUTO","ST",NA,NA,1,0,NA,"no",0,NA,NA,NA,NA,NA,NA
