"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Sikkim",2004,2,6,3,2,1,"DAWA NARBU TAKARPA","M","SDF",3509,57,"BL",5372,6365,"TASHIDING","BL",NA,NA,3,84.4,65.32,"no",1731,32.22,NA,NA,NA,NA,NA
"Sikkim",2004,2,6,3,2,2,"SONAM DADUL KAZI","M","INC",1778,32,"BL",5372,6365,"TASHIDING","BL",NA,NA,3,84.4,33.1,"no",1693,31.52,NA,NA,NA,NA,NA
"Sikkim",2004,2,6,3,2,3,"PULLING LEPCHA","M","IND",85,32,"BL",5372,6365,"TASHIDING","BL",NA,NA,3,84.4,1.58,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",2004,2,6,3,6,1,"DAWCHO LEPCHA","M","SDF",5303,33,"BL",6500,7948,"RINCHENPONG","BL",NA,NA,4,81.78,81.58,"no",4242,65.26,NA,NA,NA,NA,NA
"Sikkim",2004,2,6,3,6,2,"PEMA KINZANG BHUTIA","M","INC",1061,31,"BL",6500,7948,"RINCHENPONG","BL",NA,NA,4,81.78,16.32,"no",982,15.11,NA,NA,NA,NA,NA
"Sikkim",2004,2,6,3,6,3,"NIMA SHERPA","M","IND",79,28,"BL",6500,7948,"RINCHENPONG","BL",NA,NA,4,81.78,1.22,"no",22,0.34,NA,NA,NA,NA,NA
"Sikkim",2004,2,6,3,6,4,"PHUR TSH. LEPCHA","M","IND",57,50,"BL",6500,7948,"RINCHENPONG","BL",NA,NA,4,81.78,0.88,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",2004,2,6,3,7,4,"PHUR TSH. LEPCHA","M","IND",51,50,"BL",7098,8435,"CHAKUNG","GEN",NA,NA,4,84.15,0.72,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",2004,2,6,3,11,1,"DORJEE DAZOM BHUTIA","M","SDF",4131,57,"BL",5343,6395,"RALANG","BL",NA,NA,2,83.55,77.32,"no",2919,54.63,NA,NA,NA,NA,NA
"Sikkim",2004,2,6,3,11,2,"CHOZANG BHUTIA","M","INC",1212,42,"BL",5343,6395,"RALANG","BL",NA,NA,2,83.55,22.68,"no",0,0,NA,NA,NA,NA,NA
