"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Andhra_Pradesh",1962,2,3,1,1,1,"KIRTI CHANDRA DEO","M","INC",21677,NA,NA,34204,60344,"ICHAPURAM","GEN",NA,NA,2,56.68,63.38,"no",9150,26.75,NA,NA,NA,NA,NA
"Andhra_Pradesh",1962,2,3,1,1,2,"DAKKATA PITAMBARU","M","SWA",12527,NA,NA,34204,60344,"ICHAPURAM","GEN",NA,NA,2,56.68,36.62,"no",0,0,NA,NA,NA,NA,NA
"Andhra_Pradesh",1962,2,3,1,2,1,"GOUTHU LATCHANNA","M","SWA",16609,NA,NA,38091,62237,"SOMPETA","GEN",NA,NA,3,61.2,43.6,"no",1834,4.81,NA,NA,NA,NA,NA
"Andhra_Pradesh",1962,2,3,1,2,2,"MAJJI TULASIDASS","M","IND",14775,NA,NA,38091,62237,"SOMPETA","GEN",NA,NA,3,61.2,38.79,"no",8068,21.18,NA,NA,NA,NA,NA
"Andhra_Pradesh",1962,2,3,1,2,3,"GANNI PADMANABHA RAO","M","INC",6707,NA,NA,38091,62237,"SOMPETA","GEN",NA,NA,3,61.2,17.61,"no",0,0,NA,NA,NA,NA,NA
"Andhra_Pradesh",1962,2,3,1,3,1,"BENDI LAXMINARAYANAMMA","F","INC",10555,NA,NA,33633,64597,"BRAHMANATARLA","GEN",NA,NA,7,52.07,31.38,"no",2870,8.53,NA,NA,NA,NA,NA
"Andhra_Pradesh",1962,2,3,1,3,2,"NICHERLA RAMULU","M","SWA",7685,NA,NA,33633,64597,"BRAHMANATARLA","GEN",NA,NA,7,52.07,22.85,"no",2790,8.3,NA,NA,NA,NA,NA
"Andhra_Pradesh",1962,2,3,1,3,3,"ATTADA KRISHNAMURTY NAIDU","M","IND",4895,NA,NA,33633,64597,"BRAHMANATARLA","GEN",NA,NA,7,52.07,14.55,"no",399,1.19,NA,NA,NA,NA,NA
"Andhra_Pradesh",1962,2,3,1,3,4,"BAPA MALLESWARA RAO REDDY","M","IND",4496,NA,NA,33633,64597,"BRAHMANATARLA","GEN",NA,NA,7,52.07,13.37,"no",755,2.24,NA,NA,NA,NA,NA
"Andhra_Pradesh",1962,2,3,1,3,5,"UPPADA RAMA RAO","M","CPI",3741,NA,NA,33633,64597,"BRAHMANATARLA","GEN",NA,NA,7,52.07,11.12,"no",2209,6.57,NA,NA,NA,NA,NA
"Andhra_Pradesh",1962,2,3,1,3,6,"KOTNI GURUMURTY","M","IND",1532,NA,NA,33633,64597,"BRAHMANATARLA","GEN",NA,NA,7,52.07,4.56,"no",803,2.39,NA,NA,NA,NA,NA
"Andhra_Pradesh",1962,2,3,1,3,7,"BOMPILLI RAMANNA","M","IND",729,NA,NA,33633,64597,"BRAHMANATARLA","GEN",NA,NA,7,52.07,2.17,"no",0,0,NA,NA,NA,NA,NA
"Andhra_Pradesh",1962,2,3,1,4,1,"RONANKI SATYANARAYANA","M","SWA",23588,NA,NA,37978,64913,"TEKKALI","GEN",NA,NA,2,58.51,62.11,"no",9198,24.22,NA,NA,NA,NA,NA
