"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Andhra_Pradesh",1962,1,"KIRTI CHANDRA DEO","M","INC",21677,NA,NA,1
"Andhra_Pradesh",1962,1,"DAKKATA PITAMBARU","M","SWA",12527,NA,NA,2
"Andhra_Pradesh",1962,2,"GOUTHU LATCHANNA","M","SWA",16609,NA,NA,1
"Andhra_Pradesh",1962,2,"MAJJI TULASIDASS","M","IND",14775,NA,NA,2
"Andhra_Pradesh",1962,2,"GANNI PADMANABHA RAO","M","INC",6707,NA,NA,3
"Andhra_Pradesh",1962,3,"BENDI LAXMINARAYANAMMA","F","INC",10555,NA,NA,1
"Andhra_Pradesh",1962,3,"NICHERLA RAMULU","M","SWA",7685,NA,NA,2
"Andhra_Pradesh",1962,3,"ATTADA KRISHNAMURTY NAIDU","M","IND",4895,NA,NA,3
"Andhra_Pradesh",1962,3,"BAPA MALLESWARA RAO REDDY","M","IND",4496,NA,NA,4
"Andhra_Pradesh",1962,3,"UPPADA RAMA RAO","M","CPI",3741,NA,NA,5
"Andhra_Pradesh",1962,3,"KOTNI GURUMURTY","M","IND",1532,NA,NA,6
"Andhra_Pradesh",1962,3,"BOMPILLI RAMANNA","M","IND",729,NA,NA,7
"Andhra_Pradesh",1962,4,"RONANKI SATYANARAYANA","M","SWA",23588,NA,NA,1
"Andhra_Pradesh",1962,4,"ROKKAM LAKSHMINARASIMHAM DORA","M","INC",14390,NA,NA,2
"Andhra_Pradesh",1962,5,"SIMMA JAGANNADHAM","M","SWA",20879,NA,NA,1
"Andhra_Pradesh",1962,5,"PONNANA VEERANNAIDU","M","INC",15822,NA,NA,2
"Andhra_Pradesh",1962,6,"LUKALAPU LAKSHMANA DASU","M","INC",16527,NA,NA,1
"Andhra_Pradesh",1962,6,"SAMPATHIRAO LAKSHMIPATHI ALIAS DABARU DORA","M","SWA",9714,NA,NA,2
"Andhra_Pradesh",1962,6,"DARAPU GOVINDARAJULU","M","CPI",7985,NA,NA,3
"Andhra_Pradesh",1962,7,"POTHULA GUNNAYYA","M","INC",11040,NA,NA,1
"Andhra_Pradesh",1962,7,"BODDEPALI NARSIMHULU","M","CPI",10375,NA,NA,2
"Andhra_Pradesh",1962,7,"ALIKANA CHINA RAMANNA","M","SWA",6588,NA,NA,3
"Andhra_Pradesh",1962,8,"ADDAKULA LAXMUNAIDU","M","INC",8973,NA,NA,1
"Andhra_Pradesh",1962,8,"BIDDIKA SRIRAMULU","M","CPI",6745,NA,NA,2
"Andhra_Pradesh",1962,8,"KELLA CHINNAPUDORA","M","SWA",4715,NA,NA,3
"Andhra_Pradesh",1962,9,"VYRICHERLA CHANDRA CHUDAMANI DEO","M","INC",24850,NA,NA,1
"Andhra_Pradesh",1962,9,"PARUVADA LAXMI NAIDU","M","IND",17403,NA,NA,2
"Andhra_Pradesh",1962,10,"DIPPALA SURI DHORA","M","INC",8235,NA,NA,1
"Andhra_Pradesh",1962,10,"JANNI MUTYALU","M","SWA",5459,NA,NA,2
"Andhra_Pradesh",1962,10,"RAYALA ANNAIAH","M","IND",4304,NA,NA,3
"Andhra_Pradesh",1962,11,"SREE RAJA LAKSHMI NARASIMHA SANYASI RAJU","M","IND",18857,NA,NA,1
"Andhra_Pradesh",1962,11,"ALLU YERUKU NAIDU","M","INC",9288,NA,NA,2
"Andhra_Pradesh",1962,11,"GANDI PAIDAPU NAIDU","M","SWA",5913,NA,NA,3
"Andhra_Pradesh",1962,11,"KUNICHETTI VENKATA NARAYANA DORA","M","IND",4763,NA,NA,4
"Andhra_Pradesh",1962,12,"TENTU LAKSHMUNAIDU","M","INC",27978,NA,NA,1
"Andhra_Pradesh",1962,12,"ARI GANGAYYA","M","PSP",7993,NA,NA,2
"Andhra_Pradesh",1962,12,"MATCHA SATYANRAYANA","M","IND",6280,NA,NA,3
"Andhra_Pradesh",1962,13,"VASIREDDI KRUSHNAMURITHI NAIDU","M","INC",31843,NA,NA,1
"Andhra_Pradesh",1962,13,"DWARAPUREDDI SURYANARAYANA","M","SWA",8203,NA,NA,2
"Andhra_Pradesh",1962,14,"PALAVALASA SANGAMNAIDU","M","INC",16910,NA,NA,1
"Andhra_Pradesh",1962,14,"MUDILI BABU PARANKUSAM","M","CPI",9187,NA,NA,2
"Andhra_Pradesh",1962,14,"VAVILAPALLI RAJARAO","M","IND",7829,NA,NA,3
"Andhra_Pradesh",1962,14,"GEDELA ATCHAMNAIDU","M","SWA",6690,NA,NA,4
"Andhra_Pradesh",1962,15,"KEMBURU SURYANARAYANA NAIDU","M","SWA",22555,NA,NA,1
"Andhra_Pradesh",1962,15,"PAYEDI NARASIMHAPPARAO","M","INC",17126,NA,NA,2
"Andhra_Pradesh",1962,16,"THAMMINENI PAPARAO","M","INC",13274,NA,NA,1
"Andhra_Pradesh",1962,16,"DOLA JAGANNADHA RAO","M","JS",10192,NA,NA,2
"Andhra_Pradesh",1962,16,"KILLI APPARAONAIDU ALIAS ANNAM NAIDU","M","SWA",5159,NA,NA,3
"Andhra_Pradesh",1962,16,"BADE LINGA RAJU","M","IND",3455,NA,NA,4
"Andhra_Pradesh",1962,16,"SUVVARI SANYASI APPARAO","M","IND",2379,NA,NA,5
"Andhra_Pradesh",1962,17,"ANDHAVARAPU THAVITIAH","M","INC",16231,NA,NA,1
"Andhra_Pradesh",1962,17,"PASAGADA SURYANARAYANA","M","IND",14583,NA,NA,2
"Andhra_Pradesh",1962,17,"THANGI SATYANARAYANA","M","SWA",13903,NA,NA,3
"Andhra_Pradesh",1962,17,"RALLAPALLI RAMAMURTY","M","IND",367,NA,NA,4
"Andhra_Pradesh",1962,18,"BALLLADA HARIYAPPADU REDDI","M","IND",11442,NA,NA,1
"Andhra_Pradesh",1962,18,"THAMMENENI CHIRANJEEVI RAO","M","INC",9161,NA,NA,2
"Andhra_Pradesh",1962,18,"CHOWDARI SATYANARAYANA","M","SWA",8404,NA,NA,3
"Andhra_Pradesh",1962,18,"PELISETTY VISWANADAMU","M","IND",3997,NA,NA,4
"Andhra_Pradesh",1962,18,"DATLA VARAHALU RAJU","M","IND",2262,NA,NA,5
"Andhra_Pradesh",1962,18,"S. S. APPALACHARYULU","M","JS",283,NA,NA,6
"Andhra_Pradesh",1962,19,"KOTAPALLI PUNNAIAH","M","INC",0,NA,NA,1
"Andhra_Pradesh",1962,20,"KOTLA SANYASI APPALA NAIDU","M","SWA",18021,NA,NA,1
"Andhra_Pradesh",1962,20,"MUDUNDI SATYANARAYANA RAJU","M","INC",13724,NA,NA,2
"Andhra_Pradesh",1962,20,"TELIKICHERLA SETHARAMA MURTI","M","IND",2880,NA,NA,3
"Andhra_Pradesh",1962,21,"KOMMURU APPADU DHORA","M","INC",21816,NA,NA,1
