"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Arunachal_Pradesh",1,1978,2,1,"TAWANG-I",71.55,65.17,"General",4960,1077,2,1,"Male","IND",2313,"KARMA WANGCHU",30.35,"TASHI LAMA","JNP","M",NA
"Arunachal_Pradesh",1,1978,2,2,"TAWANG - II",75.48,53.39,"General",4650,238,2,1,"Male","IND",1874,"TASHI KHANDU",6.78,"TSERING TASHI","JNP","M",NA
"Arunachal_Pradesh",1,1978,2,3,"DIRANG KALAKTANG",0,NA,"General",7232,0,1,1,"Male","JNP",0,"PREM KHANDU THUNGON (UNCONTESTED)",NA,NA,NA,NA,NA
"Arunachal_Pradesh",1,1978,2,4,"BOMDILA",72.87,73.49,"General",5105,1748,2,1,"Male","JNP",2734,"RINCHIN KHARU",46.99,"DORJEE TSERING","IND","M",NA
"Arunachal_Pradesh",1,1978,2,5,"SEPPA",59.86,65.28,"General",10831,2583,4,1,"Male","JNP",4232,"DONGLO SONAM",39.84,"NYARI WELLI","PPA","F",NA
"Arunachal_Pradesh",1,1978,2,6,"CHAYANGTAJO",61.22,57.51,"General",9645,887,2,1,"Male","JNP",3396,"KAMENG DOLO",15.02,"TAME YANGFO","PPA","M",NA
"Arunachal_Pradesh",1,1978,2,7,"KOLORIANG",64.32,53.96,"General",6399,326,2,1,"Male","JNP",2221,"CHERA TALO",7.92,"LOKAM TADO","PPA","M",NA
"Arunachal_Pradesh",1,1978,2,8,"NYAPIN PALIN",56.73,79.86,"General",8743,2962,2,1,"Male","JNP",3961,"TADAR TANG",59.72,"TADAR TANIANG","PPA","M",NA
"Arunachal_Pradesh",1,1978,2,9,"DOIMUKH SAGALEE",78.89,32.61,"General",8352,629,5,1,"Male","JNP",2149,"TARA SINDA",9.55,"KHODA TANA","IND","M",NA
"Arunachal_Pradesh",1,1978,2,10,"ZIRO",73.18,44.8,"General",13814,2515,6,1,"Male","JNP",4529,"PADI YUBBE",24.88,"GRATI TAKKA","IND","M",NA
"Arunachal_Pradesh",1,1978,2,11,"RAGA-TALI",74.29,55,"General",8662,643,2,1,"Male","JNP",3539,"NIDO TECHI",9.99,"BAOTAMO","PPA","M",NA
