"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Arunachal_Pradesh",1978,1,"TAWANG-I","GEN","KARMA WANGCHU","IND",2313,1,65.17
"Arunachal_Pradesh",1978,1,"TAWANG-I","GEN","TASHI LAMA","JNP",1236,2,34.83
"Arunachal_Pradesh",1978,2,"TAWANG - II","GEN","TASHI KHANDU","IND",1874,1,53.39
"Arunachal_Pradesh",1978,2,"TAWANG - II","GEN","TSERING TASHI","JNP",1636,2,46.61
"Arunachal_Pradesh",1978,3,"DIRANG KALAKTANG","GEN","PREM KHANDU THUNGON (UNCONTESTED)","JNP",0,1,NA
"Arunachal_Pradesh",1978,4,"BOMDILA","GEN","RINCHIN KHARU","JNP",2734,1,73.49
"Arunachal_Pradesh",1978,4,"BOMDILA","GEN","DORJEE TSERING","IND",986,2,26.51
"Arunachal_Pradesh",1978,5,"SEPPA","GEN","DONGLO SONAM","JNP",4232,1,65.28
"Arunachal_Pradesh",1978,5,"SEPPA","GEN","NYARI WELLI","PPA",1649,2,25.44
"Arunachal_Pradesh",1978,5,"SEPPA","GEN","NIMA NOTUNG","IND",311,3,4.8
"Arunachal_Pradesh",1978,5,"SEPPA","GEN","SENGNE SENGDE","IND",291,4,4.49
"Arunachal_Pradesh",1978,6,"CHAYANGTAJO","GEN","KAMENG DOLO","JNP",3396,1,57.51
"Arunachal_Pradesh",1978,6,"CHAYANGTAJO","GEN","TAME YANGFO","PPA",2509,2,42.49
"Arunachal_Pradesh",1978,7,"KOLORIANG","GEN","CHERA TALO","JNP",2221,1,53.96
"Arunachal_Pradesh",1978,7,"KOLORIANG","GEN","LOKAM TADO","PPA",1895,2,46.04
"Arunachal_Pradesh",1978,8,"NYAPIN PALIN","GEN","TADAR TANG","JNP",3961,1,79.86
"Arunachal_Pradesh",1978,8,"NYAPIN PALIN","GEN","TADAR TANIANG","PPA",999,2,20.14
"Arunachal_Pradesh",1978,9,"DOIMUKH SAGALEE","GEN","TARA SINDA","JNP",2149,1,32.61
"Arunachal_Pradesh",1978,9,"DOIMUKH SAGALEE","GEN","KHODA TANA","IND",1520,2,23.07
"Arunachal_Pradesh",1978,9,"DOIMUKH SAGALEE","GEN","TARIN MALO","IND",1243,3,18.86
"Arunachal_Pradesh",1978,9,"DOIMUKH SAGALEE","GEN","BUDA TANA","PPA",1219,4,18.5
"Arunachal_Pradesh",1978,9,"DOIMUKH SAGALEE","GEN","TEM TAI","IND",458,5,6.95
"Arunachal_Pradesh",1978,10,"ZIRO","GEN","PADI YUBBE","JNP",4529,1,44.8
"Arunachal_Pradesh",1978,10,"ZIRO","GEN","GRATI TAKKA","IND",2014,2,19.92
"Arunachal_Pradesh",1978,10,"ZIRO","GEN","TANYA SALA","IND",1659,3,16.41
"Arunachal_Pradesh",1978,10,"ZIRO","GEN","TASO GRAYU","INC",720,4,7.12
"Arunachal_Pradesh",1978,10,"ZIRO","GEN","BENGIA HEMANTA","IND",665,5,6.58
"Arunachal_Pradesh",1978,10,"ZIRO","GEN","HAGE HALEY","IND",522,6,5.16
"Arunachal_Pradesh",1978,11,"RAGA-TALI","GEN","NIDO TECHI","JNP",3539,1,55
"Arunachal_Pradesh",1978,11,"RAGA-TALI","GEN","BAOTAMO","PPA",2896,2,45
"Arunachal_Pradesh",1978,12,"DAPORIJO","GEN","TADAK DULOM","JNP",4981,1,58.87
"Arunachal_Pradesh",1978,12,"DAPORIJO","GEN","TABOM NGUBA","PPA",3480,2,41.13
"Arunachal_Pradesh",1978,13,"TOKSING TALIHA","GEN","TARA PAYENG","PPA",1908,1,32.58
"Arunachal_Pradesh",1978,13,"TOKSING TALIHA","GEN","PAKDA MAYENG","IND",1776,2,30.32
"Arunachal_Pradesh",1978,13,"TOKSING TALIHA","GEN","TAW CHOKER","IND",1495,3,25.53
"Arunachal_Pradesh",1978,13,"TOKSING TALIHA","GEN","TAJEN SENGDU","JNP",678,4,11.58
"Arunachal_Pradesh",1978,14,"MECHUKA","GEN","TADIK CHIJE","IND",1903,1,47.79
"Arunachal_Pradesh",1978,14,"MECHUKA","GEN","TAPIK RINYA","PPA",1119,2,28.1
"Arunachal_Pradesh",1978,14,"MECHUKA","GEN","PASNAG WANGCHUK SONA","JNP",960,3,24.11
"Arunachal_Pradesh",1978,15,"ALONG NORTH","GEN","LIUM RONYA","PPA",3394,1,51.13
"Arunachal_Pradesh",1978,15,"ALONG NORTH","GEN","TALONG TAGGU","IND",1868,2,28.14
"Arunachal_Pradesh",1978,15,"ALONG NORTH","GEN","NYODEK YONGGAM","JNP",1376,3,20.73
"Arunachal_Pradesh",1978,16,"ALONG SOUTH","GEN","BOKEN ETTE","IND",1972,1,27.88
"Arunachal_Pradesh",1978,16,"ALONG SOUTH","GEN","TUMPAK ETE","JNP",1504,2,21.26
"Arunachal_Pradesh",1978,16,"ALONG SOUTH","GEN","TAKEN RIBA","IND",1308,3,18.49
"Arunachal_Pradesh",1978,16,"ALONG SOUTH","GEN","TOGUM LOLLEN","IND",1244,4,17.59
"Arunachal_Pradesh",1978,16,"ALONG SOUTH","GEN","DAGMO JINI","PPA",1045,5,14.77
"Arunachal_Pradesh",1978,17,"BASAR","GEN","TOMO RIBA","PPA",4109,1,59.93
"Arunachal_Pradesh",1978,17,"BASAR","GEN","TADAK BASAR","JNP",2747,2,40.07
"Arunachal_Pradesh",1978,18,"PALIN","ST","SUTEM TASUNG","PPA",4857,1,59.93
"Arunachal_Pradesh",1978,18,"PALIN","ST","TARUNG PABIA","JNP",1906,2,23.52
"Arunachal_Pradesh",1978,18,"PALIN","ST","OPANG MOYONG","IND",1341,3,16.55
"Arunachal_Pradesh",1978,19,"YINGKIONG PANGIN","GEN","GEGONG APANG","JNP",4435,1,61.09
"Arunachal_Pradesh",1978,19,"YINGKIONG PANGIN","GEN","TAGANG TAKI","IND",2825,2,38.91
"Arunachal_Pradesh",1978,20,"MARIYANG MEBO","GEN","ONYOK ROME","PPA",3717,1,59.94
"Arunachal_Pradesh",1978,20,"MARIYANG MEBO","GEN","KABANG BORANG","IND",1587,2,25.59
"Arunachal_Pradesh",1978,20,"MARIYANG MEBO","GEN","MAMIL TAYENG","IND",897,3,14.47
"Arunachal_Pradesh",1978,21,"KOLORIANG","ST","TADE TACHC","IND",1048,1,68.54
"Arunachal_Pradesh",1978,21,"KOLORIANG","ST","MUKUT MITHI","JNP",330,2,21.58
"Arunachal_Pradesh",1978,21,"KOLORIANG","ST","SOLE LINGGI","IND",151,3,9.88
"Arunachal_Pradesh",1978,22,"ROING","GEN","AKEN LEGO","PPA",2102,1,60.09
"Arunachal_Pradesh",1978,22,"ROING","GEN","GORA PARTIN","JNP",930,2,26.59
"Arunachal_Pradesh",1978,22,"ROING","GEN","NAMO LINGI","IND",466,3,13.32
"Arunachal_Pradesh",1978,23,"NOMSAI CHOWKHAM","GEN","CHOW TEWA MIEN","JNP",4542,1,41.99
"Arunachal_Pradesh",1978,23,"NOMSAI CHOWKHAM","GEN","CHAU KHOUK MANPOONG","PPA",3036,2,28.07
"Arunachal_Pradesh",1978,23,"NOMSAI CHOWKHAM","GEN","OMAM DEORI","IND",2781,3,25.71
"Arunachal_Pradesh",1978,23,"NOMSAI CHOWKHAM","GEN","C.A. GOHAIN","IND",457,4,4.23
