"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Arunachal_Pradesh",1978,1,1,"TAWANG-I","KARMA WANGCHU",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,1,2,"TAWANG-I","TASHI LAMA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,2,1,"TAWANG - II","TASHI KHANDU",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,2,2,"TAWANG - II","TSERING TASHI",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,3,1,"DIRANG KALAKTANG","PREM KHANDU THUNGON (UNCONTESTED)",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,4,1,"BOMDILA","RINCHIN KHARU",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,4,2,"BOMDILA","DORJEE TSERING",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,5,1,"SEPPA","DONGLO SONAM",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,5,2,"SEPPA","NYARI WELLI",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,5,3,"SEPPA","NIMA NOTUNG",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,5,4,"SEPPA","SENGNE SENGDE",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,6,1,"CHAYANGTAJO","KAMENG DOLO",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,6,2,"CHAYANGTAJO","TAME YANGFO",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,7,1,"KOLORIANG","CHERA TALO",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,7,2,"KOLORIANG","LOKAM TADO",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,8,1,"NYAPIN PALIN","TADAR TANG",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,8,2,"NYAPIN PALIN","TADAR TANIANG",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,9,1,"DOIMUKH SAGALEE","TARA SINDA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,9,2,"DOIMUKH SAGALEE","KHODA TANA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,9,3,"DOIMUKH SAGALEE","TARIN MALO",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,9,4,"DOIMUKH SAGALEE","BUDA TANA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,9,5,"DOIMUKH SAGALEE","TEM TAI",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,10,1,"ZIRO","PADI YUBBE",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,10,2,"ZIRO","GRATI TAKKA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,10,3,"ZIRO","TANYA SALA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,10,4,"ZIRO","TASO GRAYU",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,10,5,"ZIRO","BENGIA HEMANTA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,10,6,"ZIRO","HAGE HALEY",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,11,1,"RAGA-TALI","NIDO TECHI",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,11,2,"RAGA-TALI","BAOTAMO",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,12,1,"DAPORIJO","TADAK DULOM",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,12,2,"DAPORIJO","TABOM NGUBA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,13,1,"TOKSING TALIHA","TARA PAYENG",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,13,2,"TOKSING TALIHA","PAKDA MAYENG",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,13,3,"TOKSING TALIHA","TAW CHOKER",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,13,4,"TOKSING TALIHA","TAJEN SENGDU",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,14,1,"MECHUKA","TADIK CHIJE",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,14,2,"MECHUKA","TAPIK RINYA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,14,3,"MECHUKA","PASNAG WANGCHUK SONA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,15,1,"ALONG NORTH","LIUM RONYA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,15,2,"ALONG NORTH","TALONG TAGGU",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,15,3,"ALONG NORTH","NYODEK YONGGAM",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,16,1,"ALONG SOUTH","BOKEN ETTE",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,16,2,"ALONG SOUTH","TUMPAK ETE",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,16,3,"ALONG SOUTH","TAKEN RIBA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,16,4,"ALONG SOUTH","TOGUM LOLLEN",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,16,5,"ALONG SOUTH","DAGMO JINI",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,17,1,"BASAR","TOMO RIBA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,17,2,"BASAR","TADAK BASAR",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,18,1,"PALIN","SUTEM TASUNG",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,18,2,"PALIN","TARUNG PABIA",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,18,3,"PALIN","OPANG MOYONG",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,19,1,"YINGKIONG PANGIN","GEGONG APANG",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,19,2,"YINGKIONG PANGIN","TAGANG TAKI",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,20,1,"MARIYANG MEBO","ONYOK ROME",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,20,2,"MARIYANG MEBO","KABANG BORANG",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,20,3,"MARIYANG MEBO","MAMIL TAYENG",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,21,1,"KOLORIANG","TADE TACHC",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,21,2,"KOLORIANG","MUKUT MITHI",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,21,3,"KOLORIANG","SOLE LINGGI",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,22,1,"ROING","AKEN LEGO",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,22,2,"ROING","GORA PARTIN",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,22,3,"ROING","NAMO LINGI",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,23,1,"NOMSAI CHOWKHAM","CHOW TEWA MIEN",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,23,2,"NOMSAI CHOWKHAM","CHAU KHOUK MANPOONG",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,23,3,"NOMSAI CHOWKHAM","OMAM DEORI",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,23,4,"NOMSAI CHOWKHAM","C.A. GOHAIN",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,24,1,"TEZU HAYULIANG","SOBENG TAYENG",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,24,2,"TEZU HAYULIANG","YIASING MININ",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,25,1,"NOADEHING NAMPONG","JUNGPUM JUGLI",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,25,2,"NOADEHING NAMPONG","SAMCHOM NGEMU",NA,NA,NA,NA,NA,NA
"Arunachal_Pradesh",1978,25,3,"NOADEHING NAMPONG","PUYOG TIKHAR",NA,NA,NA,NA,NA,NA
