"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Arunachal_Pradesh",1978,1,"KARMA WANGCHU","M","IND",2313,NA,NA,1
"Arunachal_Pradesh",1978,1,"TASHI LAMA","M","JNP",1236,NA,NA,2
"Arunachal_Pradesh",1978,2,"TASHI KHANDU","M","IND",1874,NA,NA,1
"Arunachal_Pradesh",1978,2,"TSERING TASHI","M","JNP",1636,NA,NA,2
"Arunachal_Pradesh",1978,3,"PREM KHANDU THUNGON (UNCONTESTED)","M","JNP",0,NA,NA,1
"Arunachal_Pradesh",1978,4,"RINCHIN KHARU","M","JNP",2734,NA,NA,1
"Arunachal_Pradesh",1978,4,"DORJEE TSERING","M","IND",986,NA,NA,2
"Arunachal_Pradesh",1978,5,"DONGLO SONAM","M","JNP",4232,NA,NA,1
"Arunachal_Pradesh",1978,5,"NYARI WELLI","F","PPA",1649,NA,NA,2
"Arunachal_Pradesh",1978,5,"NIMA NOTUNG","M","IND",311,NA,NA,3
"Arunachal_Pradesh",1978,5,"SENGNE SENGDE","M","IND",291,NA,NA,4
"Arunachal_Pradesh",1978,6,"KAMENG DOLO","M","JNP",3396,NA,NA,1
"Arunachal_Pradesh",1978,6,"TAME YANGFO","M","PPA",2509,NA,NA,2
"Arunachal_Pradesh",1978,7,"CHERA TALO","M","JNP",2221,NA,NA,1
"Arunachal_Pradesh",1978,7,"LOKAM TADO","M","PPA",1895,NA,NA,2
"Arunachal_Pradesh",1978,8,"TADAR TANG","M","JNP",3961,NA,NA,1
"Arunachal_Pradesh",1978,8,"TADAR TANIANG","M","PPA",999,NA,NA,2
"Arunachal_Pradesh",1978,9,"TARA SINDA","M","JNP",2149,NA,NA,1
"Arunachal_Pradesh",1978,9,"KHODA TANA","M","IND",1520,NA,NA,2
"Arunachal_Pradesh",1978,9,"TARIN MALO","M","IND",1243,NA,NA,3
"Arunachal_Pradesh",1978,9,"BUDA TANA","M","PPA",1219,NA,NA,4
"Arunachal_Pradesh",1978,9,"TEM TAI","M","IND",458,NA,NA,5
"Arunachal_Pradesh",1978,10,"PADI YUBBE","M","JNP",4529,NA,NA,1
"Arunachal_Pradesh",1978,10,"GRATI TAKKA","M","IND",2014,NA,NA,2
"Arunachal_Pradesh",1978,10,"TANYA SALA","M","IND",1659,NA,NA,3
"Arunachal_Pradesh",1978,10,"TASO GRAYU","M","INC",720,NA,NA,4
"Arunachal_Pradesh",1978,10,"BENGIA HEMANTA","M","IND",665,NA,NA,5
"Arunachal_Pradesh",1978,10,"HAGE HALEY","M","IND",522,NA,NA,6
"Arunachal_Pradesh",1978,11,"NIDO TECHI","M","JNP",3539,NA,NA,1
"Arunachal_Pradesh",1978,11,"BAOTAMO","M","PPA",2896,NA,NA,2
"Arunachal_Pradesh",1978,12,"TADAK DULOM","M","JNP",4981,NA,NA,1
"Arunachal_Pradesh",1978,12,"TABOM NGUBA","M","PPA",3480,NA,NA,2
"Arunachal_Pradesh",1978,13,"TARA PAYENG","M","PPA",1908,NA,NA,1
"Arunachal_Pradesh",1978,13,"PAKDA MAYENG","M","IND",1776,NA,NA,2
"Arunachal_Pradesh",1978,13,"TAW CHOKER","M","IND",1495,NA,NA,3
"Arunachal_Pradesh",1978,13,"TAJEN SENGDU","M","JNP",678,NA,NA,4
"Arunachal_Pradesh",1978,14,"TADIK CHIJE","M","IND",1903,NA,NA,1
"Arunachal_Pradesh",1978,14,"TAPIK RINYA","M","PPA",1119,NA,NA,2
"Arunachal_Pradesh",1978,14,"PASNAG WANGCHUK SONA","M","JNP",960,NA,NA,3
"Arunachal_Pradesh",1978,15,"LIUM RONYA","M","PPA",3394,NA,NA,1
"Arunachal_Pradesh",1978,15,"TALONG TAGGU","M","IND",1868,NA,NA,2
"Arunachal_Pradesh",1978,15,"NYODEK YONGGAM","M","JNP",1376,NA,NA,3
"Arunachal_Pradesh",1978,16,"BOKEN ETTE","M","IND",1972,NA,NA,1
"Arunachal_Pradesh",1978,16,"TUMPAK ETE","M","JNP",1504,NA,NA,2
"Arunachal_Pradesh",1978,16,"TAKEN RIBA","M","IND",1308,NA,NA,3
"Arunachal_Pradesh",1978,16,"TOGUM LOLLEN","M","IND",1244,NA,NA,4
"Arunachal_Pradesh",1978,16,"DAGMO JINI","M","PPA",1045,NA,NA,5
"Arunachal_Pradesh",1978,17,"TOMO RIBA","M","PPA",4109,NA,NA,1
"Arunachal_Pradesh",1978,17,"TADAK BASAR","M","JNP",2747,NA,NA,2
"Arunachal_Pradesh",1978,18,"SUTEM TASUNG","M","PPA",4857,NA,NA,1
"Arunachal_Pradesh",1978,18,"TARUNG PABIA","M","JNP",1906,NA,NA,2
"Arunachal_Pradesh",1978,18,"OPANG MOYONG","M","IND",1341,NA,NA,3
"Arunachal_Pradesh",1978,19,"GEGONG APANG","M","JNP",4435,NA,NA,1
"Arunachal_Pradesh",1978,19,"TAGANG TAKI","M","IND",2825,NA,NA,2
"Arunachal_Pradesh",1978,20,"ONYOK ROME","M","PPA",3717,NA,NA,1
"Arunachal_Pradesh",1978,20,"KABANG BORANG","M","IND",1587,NA,NA,2
"Arunachal_Pradesh",1978,20,"MAMIL TAYENG","M","IND",897,NA,NA,3
"Arunachal_Pradesh",1978,21,"TADE TACHC","M","IND",1048,NA,NA,1
"Arunachal_Pradesh",1978,21,"MUKUT MITHI","M","JNP",330,NA,NA,2
"Arunachal_Pradesh",1978,21,"SOLE LINGGI","M","IND",151,NA,NA,3
"Arunachal_Pradesh",1978,22,"AKEN LEGO","M","PPA",2102,NA,NA,1
"Arunachal_Pradesh",1978,22,"GORA PARTIN","M","JNP",930,NA,NA,2
"Arunachal_Pradesh",1978,22,"NAMO LINGI","M","IND",466,NA,NA,3
"Arunachal_Pradesh",1978,23,"CHOW TEWA MIEN","M","JNP",4542,NA,NA,1
"Arunachal_Pradesh",1978,23,"CHAU KHOUK MANPOONG","M","PPA",3036,NA,NA,2
"Arunachal_Pradesh",1978,23,"OMAM DEORI","F","IND",2781,NA,NA,3
"Arunachal_Pradesh",1978,23,"C.A. GOHAIN","M","IND",457,NA,NA,4
"Arunachal_Pradesh",1978,24,"SOBENG TAYENG","M","JNP",4761,NA,NA,1
"Arunachal_Pradesh",1978,24,"YIASING MININ","M","PPA",1853,NA,NA,2
"Arunachal_Pradesh",1978,25,"JUNGPUM JUGLI","M","PPA",1209,NA,NA,1
"Arunachal_Pradesh",1978,25,"SAMCHOM NGEMU","M","IND",962,NA,NA,2
"Arunachal_Pradesh",1978,25,"PUYOG TIKHAR","M","JNP",893,NA,NA,3
"Arunachal_Pradesh",1978,25,"KOMKOI TAISAM LUNGCHANG","M","IND",432,NA,NA,4
"Arunachal_Pradesh",1978,26,"TENGAM","M","JNP",2194,NA,NA,1
"Arunachal_Pradesh",1978,26,"NONGCHO","M","PPA",1643,NA,NA,2
"Arunachal_Pradesh",1978,26,"SAMHONG","M","IND",480,NA,NA,3
"Arunachal_Pradesh",1978,27,"SIJEN KONGKANG","M","PPA",2035,NA,NA,1
"Arunachal_Pradesh",1978,27,"WANGPHA LOWANG","M","JNP",1826,NA,NA,2
"Arunachal_Pradesh",1978,27,"T.L. RAJKUMAR","M","IND",1704,NA,NA,3
"Arunachal_Pradesh",1978,28,"NOKMEY NAMATI","M","JNP",1866,NA,NA,1
"Arunachal_Pradesh",1978,28,"WANGLAT LOWANGCHA","M","PPA",1401,NA,NA,2
"Arunachal_Pradesh",1978,28,"NGONGBEY KANGLOM","M","IND",1029,NA,NA,3
"Arunachal_Pradesh",1978,28,"TESA TANGJANG","M","IND",795,NA,NA,4
"Arunachal_Pradesh",1978,29,"NOKSONG BOHAM (UNCONTESTED)","M","JNP",0,NA,NA,1
"Arunachal_Pradesh",1978,30,"WNAGNAM WANGSHU","M","JNP",1344,NA,NA,1
"Arunachal_Pradesh",1978,30,"ACHING","M","IND",910,NA,NA,2
"Arunachal_Pradesh",1980,1,"KARMA WANGOHU","M","PPA",2555,NA,NA,1
"Arunachal_Pradesh",1980,1,"PEM GOMBU","M","INC(I)",1114,NA,NA,2
"Arunachal_Pradesh",1980,2,"TSERING TASHI","M","PPA",1900,NA,NA,1
"Arunachal_Pradesh",1980,2,"TASHI KHANDU","M","INC(I)",1886,NA,NA,2
"Arunachal_Pradesh",1980,2,"PEMA DROGA","F","IND",158,NA,NA,3
"Arunachal_Pradesh",1980,3,"NIMA TSERING RUPA","M","INC(I)",3169,NA,NA,1
"Arunachal_Pradesh",1980,3,"DORJEE TSERING SAMPHUNG","M","INC(U)",1501,NA,NA,2
"Arunachal_Pradesh",1980,3,"LEI KUNJU DIRANG","M","IND",895,NA,NA,3
"Arunachal_Pradesh",1980,3,"LOBSANG TSERING DIRANG","M","IND",142,NA,NA,4
