"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Arunachal_Pradesh",1978,1,"TAWANG-I","GEN",4960
"Arunachal_Pradesh",1978,2,"TAWANG - II","GEN",4650
"Arunachal_Pradesh",1978,3,"DIRANG KALAKTANG","GEN",7232
"Arunachal_Pradesh",1978,4,"BOMDILA","GEN",5105
"Arunachal_Pradesh",1978,5,"SEPPA","GEN",10831
"Arunachal_Pradesh",1978,6,"CHAYANGTAJO","GEN",9645
"Arunachal_Pradesh",1978,7,"KOLORIANG","GEN",6399
"Arunachal_Pradesh",1978,8,"NYAPIN PALIN","GEN",8743
"Arunachal_Pradesh",1978,9,"DOIMUKH SAGALEE","GEN",8352
"Arunachal_Pradesh",1978,10,"ZIRO","GEN",13814
"Arunachal_Pradesh",1978,11,"RAGA-TALI","GEN",8662
"Arunachal_Pradesh",1978,12,"DAPORIJO","GEN",9918
"Arunachal_Pradesh",1978,13,"TOKSING TALIHA","GEN",8480
"Arunachal_Pradesh",1978,14,"MECHUKA","GEN",4843
"Arunachal_Pradesh",1978,15,"ALONG NORTH","GEN",8306
"Arunachal_Pradesh",1978,16,"ALONG SOUTH","GEN",8738
"Arunachal_Pradesh",1978,17,"BASAR","GEN",7857
"Arunachal_Pradesh",1978,18,"PALIN","ST",10271
"Arunachal_Pradesh",1978,19,"YINGKIONG PANGIN","GEN",10855
"Arunachal_Pradesh",1978,20,"MARIYANG MEBO","GEN",8602
"Arunachal_Pradesh",1978,21,"KOLORIANG","ST",3596
"Arunachal_Pradesh",1978,22,"ROING","GEN",4887
"Arunachal_Pradesh",1978,23,"NOMSAI CHOWKHAM","GEN",13880
"Arunachal_Pradesh",1978,24,"TEZU HAYULIANG","GEN",10309
"Arunachal_Pradesh",1978,25,"NOADEHING NAMPONG","GEN",4735
"Arunachal_Pradesh",1978,26,"CHANGLANG","GEN",5831
"Arunachal_Pradesh",1978,27,"KHONSA SOUTH","GEN",7736
"Arunachal_Pradesh",1978,28,"KHONSA NORTH","GEN",7073
"Arunachal_Pradesh",1978,29,"NIAUSA KANUBARI","GEN",7975
"Arunachal_Pradesh",1978,30,"PONGCHAU WAKKA","GEN",7761
"Arunachal_Pradesh",1980,1,"TAWANG I","GEN",5473
"Arunachal_Pradesh",1980,2,"TAWANG II","GEN",5156
"Arunachal_Pradesh",1980,3,"DIRANG KALAKTANG","GEN",7812
"Arunachal_Pradesh",1980,4,"BOMDILA","GEN",6016
"Arunachal_Pradesh",1980,5,"SEPPA","GEN",12009
"Arunachal_Pradesh",1980,6,"CHAYANG TAJO","GEN",10096
"Arunachal_Pradesh",1980,7,"KALORIANG","GEN",7067
"Arunachal_Pradesh",1980,8,"NYAPIN PALIN","GEN",9184
"Arunachal_Pradesh",1980,9,"DOIMUKH SAGALEE","GEN",11991
"Arunachal_Pradesh",1980,10,"ZIRO","GEN",15528
"Arunachal_Pradesh",1980,11,"RAGA TALI","GEN",9304
"Arunachal_Pradesh",1980,12,"DAPORIJO","GEN",10786
"Arunachal_Pradesh",1980,13,"TAKSING TALIHA","GEN",8971
"Arunachal_Pradesh",1980,14,"MECHUKA","GEN",4849
"Arunachal_Pradesh",1980,15,"ALONG NORTH","GEN",8905
"Arunachal_Pradesh",1980,16,"ALONG SOUTH","GEN",9488
"Arunachal_Pradesh",1980,17,"BASAR","GEN",9001
"Arunachal_Pradesh",1980,18,"PASIGHAT","GEN",11784
"Arunachal_Pradesh",1980,19,"YINGKIONG PANGIN","GEN",11685
"Arunachal_Pradesh",1980,20,"MARIYANG MEBO","GEN",9536
"Arunachal_Pradesh",1980,21,"ANINI","GEN",4189
"Arunachal_Pradesh",1980,22,"ROING","GEN",5622
"Arunachal_Pradesh",1980,23,"NAMSAI CHOWKHAM","GEN",15689
"Arunachal_Pradesh",1980,24,"TEZU HAYULIANG","GEN",12181
"Arunachal_Pradesh",1980,25,"NOADIHING NAMPONG","GEN",6198
"Arunachal_Pradesh",1980,26,"CHANGLANG","GEN",5929
"Arunachal_Pradesh",1980,27,"KHONSA SOUTH","GEN",7812
"Arunachal_Pradesh",1980,28,"KHONSA NORTH","GEN",8055
"Arunachal_Pradesh",1980,29,"NIAUSA KANUBARI","GEN",8529
"Arunachal_Pradesh",1980,30,"PONGCHOU WAKKA","GEN",7796
"Arunachal_Pradesh",1984,1,"TAWANG I","GEN",6059
"Arunachal_Pradesh",1984,2,"TAWANG II","GEN",6421
"Arunachal_Pradesh",1984,3,"DIRANG- KALAKTONG","GEN",10284
"Arunachal_Pradesh",1984,4,"BOMDILA","GEN",7315
"Arunachal_Pradesh",1984,5,"SEPPA","GEN",13793
"Arunachal_Pradesh",1984,6,"CHAYANGTAJO","GEN",11211
"Arunachal_Pradesh",1984,7,"KOLORIANG","GEN",7826
"Arunachal_Pradesh",1984,8,"NYAPIN PALIM","GEN",10795
"Arunachal_Pradesh",1984,9,"DOIMUKH-SAGALEE","GEN",19525
"Arunachal_Pradesh",1984,10,"ZIRO","GEN",16695
"Arunachal_Pradesh",1984,11,"RIGA-TALI","GEN",10259
"Arunachal_Pradesh",1984,12,"DAPORIJO","ST",13174
"Arunachal_Pradesh",1984,13,"DAKSING-TALIHA","ST",11119
"Arunachal_Pradesh",1984,14,"MACHUKA","GEN",5443
"Arunachal_Pradesh",1984,15,"ALONG NORTH","GEN",10903
"Arunachal_Pradesh",1984,16,"ALONG SOUTH","GEN",11390
"Arunachal_Pradesh",1984,17,"BASAR","GEN",10956
"Arunachal_Pradesh",1984,18,"PASIGHAT","GEN",13659
"Arunachal_Pradesh",1984,19,"YINGKIONG-PANGIN","GEN",13389
"Arunachal_Pradesh",1984,20,"MERIANG-MEBO","GEN",10498
"Arunachal_Pradesh",1984,21,"ANINI","GEN",4420
"Arunachal_Pradesh",1984,22,"ROING","GEN",8964
"Arunachal_Pradesh",1984,23,"NAMSAI CHOWKHAM","GEN",18772
"Arunachal_Pradesh",1984,24,"TEZU HAYULIANG","GEN",13931
"Arunachal_Pradesh",1984,25,"NOADIHING NAMPONG","GEN",8426
