"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Assam",3,1962,2,1,"LUNGLEH",30.76,45.77,"ST",39513,1050,3,1,"Male","HLC",5563,"SAPRAWNGA",8.64,"R. DENGTHUAMA","IND","M",NA
"Assam",3,1962,2,2,"AIJAL EAST",33.27,84.18,"ST",36849,8382,2,1,"Male","HLC",10321,"R. THANHLIRA",68.37,"LALSAWIA","INC","M",NA
"Assam",3,1962,2,3,"AIJAL WEST",43.44,73.58,"ST",50273,10299,2,1,"Male","HLC",16070,"CH. CHHUNGA",47.15,"A. THANGLURA","INC","M",NA
"Assam",3,1962,2,4,"RATABARI",57.51,42.71,"General",54564,1322,5,1,"Male","INC",13403,"BAIDYANATH MOOKERJEE",4.21,"BISWANATH UPADHYAYA","PSP","M",NA
"Assam",3,1962,2,5,"PATHARKANDI",49.75,65.65,"SC",54038,8418,2,1,"Male","INC",17652,"RAMDEB MALAH",31.31,"GOPESH NAMASUDRA","CPI","M",NA
"Assam",3,1962,2,6,"KARIMGANJ SOUTH",57.72,35.47,"General",48266,2967,4,1,"Male","INC",9881,"ABDUL MUNIM CHOWDHURY",10.65,"JAJNESWAR DAS","CPI","M",NA
"Assam",3,1962,2,7,"KARIMGANJ NORTH",69.23,39.12,"General",47715,2321,3,1,"Male","IND",12922,"RATHINDRA NATH SEN",7.03,"RANENDRA MOHAN DAS","INC","M",NA
"Assam",3,1962,2,8,"KATIGORA",56.39,57.1,"General",47704,3817,2,1,"Male","IND",15358,"TARAPADA BHATTACHARJEE",14.19,"ABDUL HAMID MAZUMDAR","INC","M",NA
"Assam",3,1962,2,9,"BADARPUR",49.18,54.97,"General",48324,4939,4,1,"Male","INC",13062,"MOULANA ABDUL JALIL CHOWDHURY",20.78,"KUMUD RANJAN CHAKRAVARTY","IND","M",NA
"Assam",3,1962,2,10,"HAILAKANDI",54.73,44.52,"General",47937,2744,3,1,"Male","IND",11681,"RAMPIRIT RUDRAPAUL",10.46,"ABDUL MATLIB MAZUMDAR","INC","M",NA
"Assam",3,1962,2,11,"KATLICHERRA",52.71,45.05,"General",49266,5470,6,1,"Male","INC",11700,"GOURI SANKAR ROY",21.06,"BADANMAL SURANA","IND","M",NA
"Assam",3,1962,2,12,"SILCHAR WEST",64.99,41.97,"General",52205,7759,5,1,"Male","IND",14240,"NANDA KISHORE SINGH",22.87,"MAHITOSH PURKAYASTHA","INC","M",NA
"Assam",3,1962,2,13,"SILCHAR EAST",73.35,58.95,"General",53305,7002,2,1,"Male","INC",23050,"MOINUL HAQUE CHOWDHURY",17.91,"JITENDRA NATH CHOWDHURY","IND","M",NA
"Assam",3,1962,2,14,"SONAI",57.1,56.76,"General",51383,4969,3,1,"Male","INC",16654,"PULAKESHI SINGH",16.94,"JATINDRA MOHAN BARBHUIYA","IND","M",NA
"Assam",3,1962,2,15,"LAKHIPUR",49.18,58.53,"General",51813,9649,7,1,"Male","INC",14916,"RAM PRASAD CHOUBEY",37.86,"GOUR SINGH","IND","M",NA
"Assam",3,1962,2,16,"UDHARBAND",46.52,73.62,"General",47704,10482,2,1,"Male","INC",16336,"DWARIKA NATH TEWARI",47.24,"ANIL KUMAR BARMAN","PSP","M",NA
