"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Assam",1962,1,"LUNGLEH","ST","SAPRAWNGA","HLC",5563,1,45.77
"Assam",1962,1,"LUNGLEH","ST","R. DENGTHUAMA","IND",4513,2,37.13
"Assam",1962,1,"LUNGLEH","ST","R. SAPZOVA","IND",2079,3,17.1
"Assam",1962,2,"AIJAL EAST","ST","R. THANHLIRA","HLC",10321,1,84.18
"Assam",1962,2,"AIJAL EAST","ST","LALSAWIA","INC",1939,2,15.82
"Assam",1962,3,"AIJAL WEST","ST","CH. CHHUNGA","HLC",16070,1,73.58
"Assam",1962,3,"AIJAL WEST","ST","A. THANGLURA","INC",5771,2,26.42
"Assam",1962,4,"RATABARI","GEN","BAIDYANATH MOOKERJEE","INC",13403,1,42.71
"Assam",1962,4,"RATABARI","GEN","BISWANATH UPADHYAYA","PSP",12081,2,38.5
"Assam",1962,4,"RATABARI","GEN","MRINAL KANTI DAS GUPTA","CPI",3365,3,10.72
"Assam",1962,4,"RATABARI","GEN","SUBAL CHANDRA DAS","IND",2045,4,6.52
"Assam",1962,4,"RATABARI","GEN","ABDUL MAJID","IND",485,5,1.55
"Assam",1962,5,"PATHARKANDI","SC","RAMDEB MALAH","INC",17652,1,65.65
"Assam",1962,5,"PATHARKANDI","SC","GOPESH NAMASUDRA","CPI",9234,2,34.35
"Assam",1962,6,"KARIMGANJ SOUTH","GEN","ABDUL MUNIM CHOWDHURY","INC",9881,1,35.47
"Assam",1962,6,"KARIMGANJ SOUTH","GEN","JAJNESWAR DAS","CPI",6914,2,24.82
"Assam",1962,6,"KARIMGANJ SOUTH","GEN","MOHIT MOHAN DAS","IND",6705,3,24.07
"Assam",1962,6,"KARIMGANJ SOUTH","GEN","ABDUL LATIF","IND",4361,4,15.65
"Assam",1962,7,"KARIMGANJ NORTH","GEN","RATHINDRA NATH SEN","IND",12922,1,39.12
"Assam",1962,7,"KARIMGANJ NORTH","GEN","RANENDRA MOHAN DAS","INC",10601,2,32.09
"Assam",1962,7,"KARIMGANJ NORTH","GEN","MD. IBRAHIM ALI CHOWDHURY","IND",9509,3,28.79
"Assam",1962,8,"KATIGORA","GEN","TARAPADA BHATTACHARJEE","IND",15358,1,57.1
"Assam",1962,8,"KATIGORA","GEN","ABDUL HAMID MAZUMDAR","INC",11541,2,42.9
"Assam",1962,9,"BADARPUR","GEN","MOULANA ABDUL JALIL CHOWDHURY","INC",13062,1,54.97
"Assam",1962,9,"BADARPUR","GEN","KUMUD RANJAN CHAKRAVARTY","IND",8123,2,34.18
"Assam",1962,9,"BADARPUR","GEN","JNANENDRA CHANDRA BANERJEE","PSP",2274,3,9.57
"Assam",1962,9,"BADARPUR","GEN","UCHMAN ALI LASKAR","IND",305,4,1.28
"Assam",1962,10,"HAILAKANDI","GEN","RAMPIRIT RUDRAPAUL","IND",11681,1,44.52
"Assam",1962,10,"HAILAKANDI","GEN","ABDUL MATLIB MAZUMDAR","INC",8937,2,34.06
"Assam",1962,10,"HAILAKANDI","GEN","MAHMUD ALI BARBHUIYA","IND",5618,3,21.41
"Assam",1962,11,"KATLICHERRA","GEN","GOURI SANKAR ROY","INC",11700,1,45.05
"Assam",1962,11,"KATLICHERRA","GEN","BADANMAL SURANA","IND",6230,2,23.99
"Assam",1962,11,"KATLICHERRA","GEN","TAZAMUL ALI LASKAR","IND",5836,3,22.47
"Assam",1962,11,"KATLICHERRA","GEN","LALBEHARI NATH","PSP",1358,4,5.23
"Assam",1962,11,"KATLICHERRA","GEN","MAYANA MIAH LASKAR","IND",474,5,1.83
"Assam",1962,11,"KATLICHERRA","GEN","DINABANDHU DAS GUPTA","IND",372,6,1.43
"Assam",1962,12,"SILCHAR WEST","GEN","NANDA KISHORE SINGH","IND",14240,1,41.97
"Assam",1962,12,"SILCHAR WEST","GEN","MAHITOSH PURKAYASTHA","INC",6481,2,19.1
"Assam",1962,12,"SILCHAR WEST","GEN","LUTFUR RAHMAN","IND",6355,3,18.73
"Assam",1962,12,"SILCHAR WEST","GEN","ACHINTA KUMAR BHATTACHARJEE","CPI",5698,4,16.79
"Assam",1962,12,"SILCHAR WEST","GEN","NILMONI SINGH","IND",1156,5,3.41
"Assam",1962,13,"SILCHAR EAST","GEN","MOINUL HAQUE CHOWDHURY","INC",23050,1,58.95
"Assam",1962,13,"SILCHAR EAST","GEN","JITENDRA NATH CHOWDHURY","IND",16048,2,41.05
"Assam",1962,14,"SONAI","GEN","PULAKESHI SINGH","INC",16654,1,56.76
"Assam",1962,14,"SONAI","GEN","JATINDRA MOHAN BARBHUIYA","IND",11685,2,39.83
"Assam",1962,14,"SONAI","GEN","A. B. AHMEDUL HAQUE","IND",1001,3,3.41
"Assam",1962,15,"LAKHIPUR","GEN","RAM PRASAD CHOUBEY","INC",14916,1,58.53
"Assam",1962,15,"LAKHIPUR","GEN","GOUR SINGH","IND",5267,2,20.67
"Assam",1962,15,"LAKHIPUR","GEN","M. H. AYEEN UDDIN AHMAD","IND",1705,3,6.69
"Assam",1962,15,"LAKHIPUR","GEN","KAUSHINI KUMAR SHARMA","IND",1526,4,5.99
"Assam",1962,15,"LAKHIPUR","GEN","SANT DEB CHAUBEY","IND",805,5,3.16
"Assam",1962,15,"LAKHIPUR","GEN","CHAITU RI","IND",676,6,2.65
"Assam",1962,15,"LAKHIPUR","GEN","KHIRODHAR MAJHI","IND",589,7,2.31
"Assam",1962,16,"UDHARBAND","GEN","DWARIKA NATH TEWARI","INC",16336,1,73.62
"Assam",1962,16,"UDHARBAND","GEN","ANIL KUMAR BARMAN","PSP",5854,2,26.38
"Assam",1962,17,"NORTH CACHAR HILLS","ST","J. B. HAGJER","INC",5708,1,50.07
"Assam",1962,17,"NORTH CACHAR HILLS","ST","MOHAN HAMDHAN","HLC",5693,2,49.93
"Assam",1962,18,"MIKIR HILLS EAST","ST","SAI SAI TERANG","INC",7059,1,43.63
"Assam",1962,18,"MIKIR HILLS EAST","ST","BARELONG TERANG","IND",4750,2,29.36
"Assam",1962,18,"MIKIR HILLS EAST","ST","LOCHANDRA MAIBANGSA","IND",2209,3,13.65
"Assam",1962,18,"MIKIR HILLS EAST","ST","RAIDANG INGTI","HLC",2163,4,13.37
"Assam",1962,19,"MIKIR HILLS WEST","ST","CHATRASING TERON","INC",10020,1,65.97
"Assam",1962,19,"MIKIR HILLS WEST","ST","BASA INGTI KATHAR","HLC",5169,2,34.03
"Assam",1962,20,"JOWAI","ST","ENOWELL POHSHNA","HLC",10762,1,46.7
"Assam",1962,20,"JOWAI","ST","KISTOBIN RYMBAI","IND",4537,2,19.69
"Assam",1962,20,"JOWAI","ST","DISINGH SHALLAM","IND",4347,3,18.86
"Assam",1962,20,"JOWAI","ST","LARSINGH KHYRIEM","IND",3397,4,14.74
"Assam",1962,21,"NONGPOH","ST","BRINGTON BUHAI LYNGDOH","HLC",13076,1,73.47
"Assam",1962,21,"NONGPOH","ST","AJRA SINGH KHONGPHAI","INC",2926,2,16.44
"Assam",1962,21,"NONGPOH","ST","JORMANIK SIEM","IND",1796,3,10.09
"Assam",1962,22,"SHILLONG","GEN","WILSON READE","HLC",10751,1,49.58
