"state","year","month","party","seats"
"Assam",1962,2,"INC","75.24"
"Assam",1967,2,"INC","58.4"
"Assam",1972,2,"INC","83.33"
"Assam",1978,2,"INC","20.63"
"Assam",1983,2,"INC","83.49"
"Assam",1985,2,"INC","19.84"
"Assam",1991,2,"INC","52.38"
"Assam",1996,2,"INC","27.87"
"Assam",2001,2,"INC","56.35"
"Assam",2006,2,"INC","44.44"
"Assam",2011,2,"INC","61.9"
"Assam",2016,2,"INC","20.63"
"Assam",1962,2,"HLC","10.48"
"Assam",1962,2,"RCP","0.95"
"Assam",1962,2,"IND","7.62"
"Assam",1967,2,"IND","20"
"Assam",1972,2,"IND","8.77"
"Assam",1978,2,"IND","11.9"
"Assam",1983,2,"IND","9.17"
"Assam",1985,2,"IND","73.02"
"Assam",1991,2,"IND","11.9"
"Assam",1996,2,"IND","9.02"
"Assam",2001,2,"IND","15.08"
"Assam",2006,2,"IND","14.29"
"Assam",2011,2,"IND","1.59"
"Assam",2016,2,"IND","0.79"
"Assam",1962,2,"PSP","5.71"
"Assam",1967,2,"PSP","4"
"Assam",1967,2,"AHL","7.2"
"Assam",1962,2,"CPI","0"
"Assam",1967,2,"CPI","5.6"
"Assam",1972,2,"CPI","2.63"
"Assam",1978,2,"CPI","3.97"
"Assam",1983,2,"CPI","0.92"
"Assam",1985,2,"CPI","0"
"Assam",1991,2,"CPI","3.17"
"Assam",1996,2,"CPI","2.46"
"Assam",2001,2,"CPI","0"
"Assam",2006,2,"CPI","0.79"
"Assam",2011,2,"CPI","0"
"Assam",2016,2,"CPI","0"
"Assam",1967,2,"SWA","1.6"
"Assam",1972,2,"SWA","0.88"
"Assam",1972,2,"SOP","3.51"
"Assam",1967,2,"CPM","0"
"Assam",1972,2,"CPM","0"
"Assam",1978,2,"CPM","8.73"
"Assam",1983,2,"CPM","1.83"
"Assam",1985,2,"CPM","1.59"
"Assam",1991,2,"CPM","1.59"
"Assam",1996,2,"CPM","1.64"
"Assam",2001,2,"CPM","0"
"Assam",2011,2,"CPM","0"
"Assam",2016,2,"CPM","0"
"Assam",1978,2,"JNP","42.06"
"Assam",1985,2,"JNP","0"
"Assam",1978,2,"INC(I)","6.35"
"Assam",1972,2,"PTC","0.88"
"Assam",1978,2,"PTC","3.17"
"Assam",1983,2,"PTC","2.75"
"Assam",1985,2,"PTC","2.38"
"Assam",1983,2,"ICS","1.83"
"Assam",1985,2,"ICS","3.17"
"Assam",1996,2,"ICS","0"
"Assam",1991,2,"AGP","15.08"
"Assam",1996,2,"AGP","48.36"
"Assam",2001,2,"AGP","15.87"
"Assam",2006,2,"AGP","18.25"
"Assam",2011,2,"AGP","7.94"
"Assam",2016,2,"AGP","11.11"
"Assam",1985,2,"BJP","0"
"Assam",1991,2,"BJP","7.94"
"Assam",1996,2,"BJP","3.28"
"Assam",2001,2,"BJP","6.35"
"Assam",2006,2,"BJP","9.52"
"Assam",2011,2,"BJP","3.97"
"Assam",2016,2,"BJP","47.62"
"Assam",1991,2,"NAGP","3.97"
"Assam",1996,2,"ASDC","4.1"
"Assam",2006,2,"ASDC","0.79"
"Assam",2011,2,"ASDC","0"
"Assam",2001,2,"NCP","2.38"
"Assam",2006,2,"NCP","0.79"
"Assam",2011,2,"NCP","0"
"Assam",2016,2,"NCP","0"
"Assam",2006,2,"AUDF","7.94"
"Assam",2011,2,"AIUDF","14.29"
"Assam",2016,2,"AIUDF","10.32"
"Assam",2011,2,"BOPF","9.52"
"Assam",2016,2,"BOPF","9.52"
