"state","year","month","party","votes"
"Assam",1962,2,"HLC","5.51"
"Assam",1962,2,"PSP","12.69"
"Assam",1967,2,"PSP","6.86"
"Assam",1962,2,"INC","48.25"
"Assam",1967,2,"INC","43.6"
"Assam",1972,2,"INC","53.2"
"Assam",1978,2,"INC","23.62"
"Assam",1983,2,"INC","52.53"
"Assam",1985,2,"INC","23.23"
"Assam",1991,2,"INC","29.35"
"Assam",1996,2,"INC","30.56"
"Assam",2001,2,"INC","39.76"
"Assam",2006,2,"INC","31.87"
"Assam",2011,2,"INC","39.39"
"Assam",2016,2,"INC","30.96"
"Assam",1962,2,"CPI","6.39"
"Assam",1967,2,"CPI","5.15"
"Assam",1972,2,"CPI","5.64"
"Assam",1978,2,"CPI","4.09"
"Assam",1983,2,"CPI","2.58"
"Assam",1985,2,"CPI","1.21"
"Assam",1991,2,"CPI","2.47"
"Assam",1996,2,"CPI","1.95"
"Assam",2001,2,"CPI","1.1"
"Assam",2006,2,"CPI","1.1"
"Assam",2011,2,"CPI","0.52"
"Assam",2016,2,"CPI","0.22"
"Assam",1962,2,"IND","23.81"
"Assam",1967,2,"IND","32.33"
"Assam",1972,2,"IND","29.75"
"Assam",1978,2,"IND","25.67"
"Assam",1983,2,"IND","29.02"
"Assam",1985,2,"IND","61.5"
"Assam",1991,2,"IND","21.41"
"Assam",1996,2,"IND","17.42"
"Assam",2001,2,"IND","19.51"
"Assam",2006,2,"IND","14.57"
"Assam",2011,2,"IND","9.17"
"Assam",2016,2,"IND","11.04"
"Assam",1962,2,"SOC","1.5"
"Assam",1967,2,"SSP","3.28"
"Assam",1967,2,"AHL","3.49"
"Assam",1972,2,"PTC","1.67"
"Assam",1978,2,"PTC","2.6"
"Assam",1983,2,"PTC","4.66"
"Assam",1985,2,"PTC","3.62"
"Assam",1972,2,"SOP","5.77"
"Assam",1967,2,"CPM","1.97"
"Assam",1972,2,"CPM","2.59"
"Assam",1978,2,"CPM","5.62"
"Assam",1983,2,"CPM","5.14"
"Assam",1985,2,"CPM","4.48"
"Assam",1991,2,"CPM","3.85"
"Assam",1996,2,"CPM","1.94"
"Assam",2001,2,"CPM","1.78"
"Assam",2011,2,"CPM","1.13"
"Assam",2016,2,"CPM","0.55"
"Assam",1978,2,"JNP","27.55"
"Assam",1985,2,"JNP","1.44"
"Assam",1978,2,"INC(I)","8.78"
"Assam",1983,2,"ICS","6.05"
"Assam",1985,2,"ICS","3.17"
"Assam",1996,2,"ICS","0.14"
"Assam",1991,2,"AGP","17.93"
"Assam",1996,2,"AGP","29.71"
"Assam",2001,2,"AGP","20.02"
"Assam",2006,2,"AGP","20.29"
"Assam",2011,2,"AGP","16.29"
"Assam",2016,2,"AGP","8.14"
"Assam",1991,2,"NAGP","5.45"
"Assam",1991,2,"JD","4.77"
"Assam",1996,2,"JD","0.58"
"Assam",1985,2,"BJP","1.07"
"Assam",1991,2,"BJP","6.55"
"Assam",1996,2,"BJP","10.41"
"Assam",2001,2,"BJP","9.35"
"Assam",2006,2,"BJP","12.41"
"Assam",2011,2,"BJP","11.47"
"Assam",2016,2,"BJP","29.51"
"Assam",1996,2,"AIIC(T)","3.71"
"Assam",1996,2,"ASDC","1.98"
"Assam",2006,2,"ASDC","0.97"
"Assam",2011,2,"ASDC","0.07"
"Assam",2001,2,"NCP","2.51"
"Assam",2006,2,"NCP","2.22"
"Assam",2011,2,"NCP","0.43"
"Assam",2016,2,"NCP","0.27"
"Assam",2006,2,"AUDF","9.2"
"Assam",2006,2,"AGP(P)","2.72"
"Assam",2011,2,"BOPF","6.13"
"Assam",2016,2,"BOPF","3.94"
"Assam",2011,2,"AIUDF","12.57"
"Assam",2016,2,"AIUDF","13.05"
