"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Assam",1962,1,"LUNGLEH","ST",39513
"Assam",1962,2,"AIJAL EAST","ST",36849
"Assam",1962,3,"AIJAL WEST","ST",50273
"Assam",1962,4,"RATABARI","GEN",54564
"Assam",1962,5,"PATHARKANDI","SC",54038
"Assam",1962,6,"KARIMGANJ SOUTH","GEN",48266
"Assam",1962,7,"KARIMGANJ NORTH","GEN",47715
"Assam",1962,8,"KATIGORA","GEN",47704
"Assam",1962,9,"BADARPUR","GEN",48324
"Assam",1962,10,"HAILAKANDI","GEN",47937
"Assam",1962,11,"KATLICHERRA","GEN",49266
"Assam",1962,12,"SILCHAR WEST","GEN",52205
"Assam",1962,13,"SILCHAR EAST","GEN",53305
"Assam",1962,14,"SONAI","GEN",51383
"Assam",1962,15,"LAKHIPUR","GEN",51813
"Assam",1962,16,"UDHARBAND","GEN",47704
"Assam",1962,17,"NORTH CACHAR HILLS","ST",23181
"Assam",1962,18,"MIKIR HILLS EAST","ST",48399
"Assam",1962,19,"MIKIR HILLS WEST","ST",41952
"Assam",1962,20,"JOWAI","ST",41051
"Assam",1962,21,"NONGPOH","ST",41905
"Assam",1962,22,"SHILLONG","GEN",36855
"Assam",1962,23,"NONGSTOIN","ST",37147
"Assam",1962,24,"CHERRAPUNJI","ST",49642
"Assam",1962,25,"BAGHMARA","ST",27151
"Assam",1962,26,"DAINADUBI","ST",31255
"Assam",1962,27,"TURA","ST",32844
"Assam",1962,28,"PHULBARI","ST",31854
"Assam",1962,29,"MANKACHAR","GEN",45629
"Assam",1962,30,"SOUTH SALMARA","GEN",48709
"Assam",1962,31,"DHUBRI","GEN",35730
"Assam",1962,32,"GOLAKGANJ","GEN",47515
"Assam",1962,33,"GAURIPUR","GEN",43339
"Assam",1962,34,"BILASIPARA","GEN",47334
"Assam",1962,35,"GOSSALGAON","GEN",43135
"Assam",1962,36,"SIDLI","ST",41433
"Assam",1962,37,"KOKRAJHAR","GEN",42979
"Assam",1962,38,"BIJNI","GEN",48449
"Assam",1962,39,"NORTH SALMARA","SC",50438
"Assam",1962,40,"GOALPARA","GEN",58415
"Assam",1962,41,"DUDNAI","ST",50097
"Assam",1962,42,"BOKO","GEN",44622
"Assam",1962,43,"RAMPUR","GEN",46546
"Assam",1962,44,"PALASBARI","GEN",50304
"Assam",1962,45,"GAUHATI","GEN",65671
"Assam",1962,46,"KAMALPUR","GEN",52998
"Assam",1962,47,"HAJO","GEN",57669
"Assam",1962,48,"TARABARI","GEN",45907
"Assam",1962,49,"BHABANIPUR","SC",46918
"Assam",1962,50,"BARPETA","GEN",50404
"Assam",1962,51,"JANIA","GEN",45191
"Assam",1962,52,"SORBHOG","GEN",49474
"Assam",1962,53,"BARAMA","ST",44800
"Assam",1962,54,"PATACHARKUCHI","GEN",46136
"Assam",1962,55,"NALBARI WEST","GEN",53881
"Assam",1962,56,"NALBARI EAST","GEN",49577
"Assam",1962,57,"RANGIYA","GEN",47448
"Assam",1962,58,"TAMALPUR","ST",44306
"Assam",1962,59,"PANERY","ST",60634
"Assam",1962,60,"KALAIGAON","GEN",55019
"Assam",1962,61,"MANGAKLAI","GEN",54128
"Assam",1962,62,"DALGAON","GEN",48145
"Assam",1962,63,"DHEKIAJULI","GEN",46263
"Assam",1962,64,"BARCHALLA","GEN",50556
"Assam",1962,65,"BALIPARA","GEN",46521
"Assam",1962,66,"TEZPUR","GEN",38875
"Assam",1962,67,"BISWANATH","GEN",46982
"Assam",1962,68,"GOHPUR","GEN",55359
"Assam",1962,69,"MARIGAON","ST",48302
"Assam",1962,70,"LAHARIGHAT","GEN",55604
"Assam",1962,71,"DHING","GEN",46053
"Assam",1962,72,"RUPOHIHAT","GEN",47083
"Assam",1962,73,"KALIABOR","GEN",41011
"Assam",1962,74,"SAMAGURI","GEN",46591
"Assam",1962,75,"NOWGONG","GEN",57588
"Assam",1962,76,"RAHA","SC",59666
"Assam",1962,77,"JAMUNAMUKH","GEN",55170
"Assam",1962,78,"LUMDING","GEN",60335
"Assam",1962,79,"MARANGI","GEN",36439
"Assam",1962,80,"GOLAGHAT","GEN",41937
"Assam",1962,81,"BOKAKHAT","GEN",39267
"Assam",1962,82,"DERGAON","SC",38689
"Assam",1962,83,"TITABAR","GEN",49496
"Assam",1962,84,"KATONIGAON","GEN",48377
"Assam",1962,85,"JORHAT","GEN",54444
"Assam",1962,86,"MAJULI","ST",50474
"Assam",1962,87,"TEOK","GEN",45097
"Assam",1962,88,"AMGURI","GEN",41156
"Assam",1962,89,"MAZIRA","GEN",45818
"Assam",1962,90,"SONARI","GEN",38964
"Assam",1962,91,"THOWRA","GEN",55329
"Assam",1962,92,"SIBSAGAR","GEN",44611
"Assam",1962,93,"BIHPURIA","GEN",55624
"Assam",1962,94,"NORTH LAKHIMPUR","ST",65409
"Assam",1962,95,"DHAKUAKHANA","ST",64195
"Assam",1962,96,"MORAN","GEN",47892
"Assam",1962,97,"DIBRUGARH","GEN",38199
"Assam",1962,98,"LAHOWAL","GEN",41296
"Assam",1962,99,"TENGAKHAT","GEN",45419
"Assam",1962,100,"JAIPUR","GEN",47004
"Assam",1962,101,"BOGDUNG","GEN",37025
