"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Assam",4,1,"RATABARI","SC","KARIMGANJ","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,2,"PATHARKANDI","GEN","KARIMGANJ","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,3,"KARIMGANJ NORTH","GEN","KARIMGANJ","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,4,"KARIMGANJ SOUTH","GEN","KARIMGANJ","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,5,"BADARPUR","GEN","KARIMGANJ","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,6,"HAILAKANDI","GEN","HAILAKANDI","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,7,"KATLICHERRA","GEN","HAILAKANDI","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,8,"ALGAPUR","GEN","HAILAKANDI","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,9,"SILCHAR","GEN","SILCHAR","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,10,"SONAI","GEN","SILCHAR","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,11,"DHOLAI","SC","SILCHAR","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,12,"UDHARBOND","GEN","SILCHAR","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,13,"LAKHIPUR","GEN","SILCHAR","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,14,"BARKHOLA","GEN","SILCHAR","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,15,"KATIGORA","GEN","SILCHAR","SOUTHERN ASSAM (BARAK VALLEY)",NA
"Assam",4,16,"HAFLONG","ST","N. C. HILLS","HILL DISTRICTS (DIMA HASAO AND KARBI ANGLONG)",NA
"Assam",4,17,"BOKAJAN","ST","BOKAJAN","HILL DISTRICTS (DIMA HASAO AND KARBI ANGLONG)",NA
"Assam",4,18,"HOWRAGHAT","ST","DIPHU","HILL DISTRICTS (DIMA HASAO AND KARBI ANGLONG)",NA
"Assam",4,19,"DIPHU","ST","DIPHU","HILL DISTRICTS (DIMA HASAO AND KARBI ANGLONG)",NA
"Assam",4,20,"BAITHALANGSO","ST","HAMREN","HILL DISTRICTS (DIMA HASAO AND KARBI ANGLONG)",NA
"Assam",4,21,"MANKACHAR","GEN","SOUTH SALMARA","LOWER ASSAM",NA
"Assam",4,22,"SALMARA SOUTH","GEN","SOUTH SALMARA","LOWER ASSAM",NA
"Assam",4,23,"DHUBRI","GEN","DHUBRI","LOWER ASSAM",NA
"Assam",4,24,"GAURIPUR","GEN","DHUBRI","LOWER ASSAM",NA
"Assam",4,25,"GOLAKGANJ","GEN","DHUBRI","LOWER ASSAM",NA
"Assam",4,26,"BILASIPARA WEST","GEN","BILASIPARA","LOWER ASSAM",NA
"Assam",4,27,"BILASIPARA EAST","GEN","BILASIPARA","LOWER ASSAM",NA
"Assam",4,28,"GOSSALGAON","GEN","GOSSAIGAON","LOWER ASSAM",NA
"Assam",4,29,"KOKRAJHAR WEST","ST","GOSSAIGAON","LOWER ASSAM",NA
"Assam",4,30,"KOKRAJHAR EAST","ST","KOKRAJHAR","LOWER ASSAM",NA
"Assam",4,31,"SIDLI","ST","KOKRAJHAR","LOWER ASSAM",NA
"Assam",4,32,"BONGAIGAON","GEN","BOGAIGAON","LOWER ASSAM",NA
"Assam",4,33,"BIJNI","GEN","BIJNI","LOWER ASSAM",NA
"Assam",4,34,"ABHAYAPURI NORTH","GEN","NORTH SALMARA","LOWER ASSAM",NA
"Assam",4,35,"ABHAYAPURI SOUTH","SC","NORTH SALMARA","LOWER ASSAM",NA
"Assam",4,36,"DUDHNAI","ST","GOALPARA","LOWER ASSAM",NA
"Assam",4,37,"GOALPARA EAST","GEN","GOALPARA","LOWER ASSAM",NA
"Assam",4,38,"GOALPARA WEST","GEN","GOALPARA","LOWER ASSAM",NA
"Assam",4,39,"JALESWAR","GEN","GOALPARA","LOWER ASSAM",NA
"Assam",4,40,"SORBHOG","GEN","BARPETA","LOWER ASSAM",NA
"Assam",4,41,"BHABANIPUR","GEN","BAJALI","LOWER ASSAM",NA
"Assam",4,42,"PATACHARKUCHI","GEN","BAJALI","LOWER ASSAM",NA
"Assam",4,43,"BARPETA","GEN","BARPETA","LOWER ASSAM",NA
"Assam",4,44,"JANIA","GEN","BARPETA","LOWER ASSAM",NA
"Assam",4,45,"BAGHBAR","GEN","BARPETA","LOWER ASSAM",NA
"Assam",4,46,"SARUKHETRI","GEN","BARPETA","LOWER ASSAM",NA
"Assam",4,47,"CHENGA","GEN","BARPETA","LOWER ASSAM",NA
"Assam",4,48,"BOKO","SC","KAMRUP","LOWER ASSAM",NA
"Assam",4,49,"CHAYGAON","GEN","KAMRUP","LOWER ASSAM",NA
"Assam",4,50,"PALASBARI","GEN","KAMRUP","LOWER ASSAM",NA
"Assam",4,51,"JALUKBARI","GEN","KAMRUP METRO","LOWER ASSAM",NA
"Assam",4,52,"DISPUR","GEN","KAMRUP METRO","LOWER ASSAM",NA
"Assam",4,53,"GAUHATI EAST","GEN","KAMRUP METRO","LOWER ASSAM",NA
"Assam",4,54,"GAUHATI WEST","GEN","KAMRUP METRO","LOWER ASSAM",NA
"Assam",4,55,"HAJO","GEN","KAMRUP","LOWER ASSAM",NA
"Assam",4,56,"KAMALPUR","GEN","RANGIA","NORTH ASSAM",NA
"Assam",4,57,"RANGIYA","GEN","RANGIA","NORTH ASSAM",NA
"Assam",4,58,"TAMULPUR","GEN","NALBARI","LOWER ASSAM",NA
"Assam",4,59,"NALBARI","GEN","NALBARI","NORTH ASSAM",NA
"Assam",4,60,"BARKHETRY","GEN","NALBARI","LOWER ASSAM",NA
"Assam",4,61,"DHARMAPUR","GEN","NALBARI","LOWER ASSAM",NA
"Assam",4,62,"BARAMA","ST","NALBARI","LOWER ASSAM",NA
"Assam",4,63,"CHAPAGURI","ST","NALBARI","LOWER ASSAM",NA
"Assam",4,64,"PANERY","GEN","UDALGURI","NORTH ASSAM",NA
"Assam",4,65,"KALAIGAON","GEN","MANGALDOI","NORTH ASSAM",NA
"Assam",4,66,"SIPAJHAR","GEN","MANGALDOI","NORTH ASSAM",NA
"Assam",4,67,"MANGALDOI","SC","MANGALDOI","NORTH ASSAM",NA
"Assam",4,68,"DALGAON","GEN","MANGALDOI","NORTH ASSAM",NA
"Assam",4,69,"UDALGURI","ST","UDALGURI","NORTH ASSAM",NA
"Assam",4,70,"MAZBAT","GEN","UDALGURI","NORTH ASSAM",NA
"Assam",4,71,"DHEKIAJULI","GEN","TEZPUR","NORTH ASSAM",NA
"Assam",4,72,"BORCHALLA","GEN","TEZPUR","NORTH ASSAM",NA
"Assam",4,73,"TEZPUR","GEN","TEZPUR","NORTH ASSAM",NA
"Assam",4,74,"RANGAPARA","GEN","TEZPUR","NORTH ASSAM",NA
"Assam",4,75,"SOOTEA","GEN","TEZPUR","NORTH ASSAM",NA
"Assam",4,76,"BISWANATH","GEN","BISWANATH CHARIALI","NORTH ASSAM",NA
"Assam",4,77,"BIHALI","GEN","BISWANATH CHARIALI","NORTH ASSAM",NA
"Assam",4,78,"GAHPUR","GEN","GOHPUR","NORTH ASSAM",NA
"Assam",4,79,"JAGIROAD","SC","MORIGAON","CENTRAL ASSAM",NA
"Assam",4,80,"MORIGAON","GEN","MORIGAON","CENTRAL ASSAM",NA
"Assam",4,81,"LAHARIGHAT","GEN","MORIGAON","CENTRAL ASSAM",NA
"Assam",4,82,"RAHA","SC","NAGAON","CENTRAL ASSAM",NA
"Assam",4,83,"DHING","GEN","NAGAON","CENTRAL ASSAM",NA
"Assam",4,84,"BATADROBA","GEN","NAGAON","CENTRAL ASSAM",NA
"Assam",4,85,"RUPOHIHAT","GEN","NAGAON","CENTRAL ASSAM",NA
"Assam",4,86,"NOWGONG","GEN","NAGAON","CENTRAL ASSAM",NA
"Assam",4,87,"BARHAMPUR","GEN","NAGAON","CENTRAL ASSAM",NA
"Assam",4,88,"SAMAGURI","GEN","NAGAON","CENTRAL ASSAM",NA
"Assam",4,89,"KALIABOR","GEN","KALIABOR","CENTRAL ASSAM",NA
"Assam",4,90,"JAMUNAMUKH","GEN","HOJAI","CENTRAL ASSAM",NA
"Assam",4,91,"HOJAI","GEN","HOJAI","CENTRAL ASSAM",NA
"Assam",4,92,"LUMDING","GEN","HOJAI","CENTRAL ASSAM",NA
"Assam",4,93,"BOKAKHAT","GEN","BOKAKHAT","CENTRAL ASSAM",NA
"Assam",4,94,"SARUPATHAR","GEN","DHANSIRI","CENTRAL ASSAM",NA
"Assam",4,95,"GOLAGHAT","GEN","GOLAGHAT","CENTRAL ASSAM",NA
"Assam",4,96,"KHUMTAI","GEN","GOLAGHAT","CENTRAL ASSAM",NA
"Assam",4,97,"DERGAON","SC","JORHAT","CENTRAL ASSAM",NA
"Assam",4,98,"JORHAT","GEN","JORHAT","UPPER ASSAM",NA
"Assam",4,99,"MAJULI","ST","MAJULI","UPPER ASSAM",NA
"Assam",4,100,"TITABAR","GEN","TITABOR","UPPER ASSAM",NA
"Assam",4,101,"MORIANI","GEN","TITABOR","UPPER ASSAM",NA
"Assam",4,102,"TEOK","GEN","JORHAT","UPPER ASSAM",NA
"Assam",4,103,"AMGURI","GEN","SIBSAGAR","UPPER ASSAM",NA
"Assam",4,104,"NAZIRA","GEN","NAZIRA","UPPER ASSAM",NA
"Assam",4,105,"MAHMARA","GEN","CHARAIDEO (SONARI)","UPPER ASSAM",NA
"Assam",4,106,"SONARI","GEN","CHARAIDEO (SONARI)","UPPER ASSAM",NA
"Assam",4,107,"THOWRA","GEN","SIBSAGAR","UPPER ASSAM",NA
"Assam",4,108,"SIBSAGAR","GEN","SIBSAGAR","UPPER ASSAM",NA
"Assam",4,109,"BIHPURIA","GEN","LAKHIMPUR","NORTH ASSAM",NA
"Assam",4,110,"NAOBOICHA","GEN","LAKHIMPUR","UPPER ASSAM",NA
"Assam",4,111,"LAKHIMPUR","GEN","LAKHIMPUR","UPPER ASSAM",NA
"Assam",4,112,"DHAKUAKHANA","ST","DHAKUAKHANA","UPPER ASSAM",NA
"Assam",4,113,"DHEMAJI","ST","DHEMAJI","UPPER ASSAM",NA
"Assam",4,114,"JONAI","ST","JONAI","UPPER ASSAM",NA
"Assam",4,115,"MORAN","GEN","DIBRUGARH","UPPER ASSAM",NA
"Assam",4,116,"DIBRUGARH","GEN","DIBRUGARH","UPPER ASSAM",NA
"Assam",4,117,"LAHOWAL","GEN","DIBRUGARH","UPPER ASSAM",NA
"Assam",4,118,"DULIAJAN","GEN","DIBRUGARH","UPPER ASSAM",NA
"Assam",4,119,"TINGKHONG","GEN","DIBRUGARH","UPPER ASSAM",NA
"Assam",4,120,"NAHARKATIA","GEN","DIBRUGARH","UPPER ASSAM",NA
"Assam",4,121,"CHABUA","GEN","DIBRUGARH","UPPER ASSAM",NA
"Assam",4,122,"TINSUKIA","GEN","TINSUKIA","UPPER ASSAM",NA
"Assam",4,123,"DIGBOI","GEN","TINSUKIA","UPPER ASSAM",NA
"Assam",4,124,"MARGHERITA","GEN","MARGHERITA","UPPER ASSAM",NA
"Assam",4,125,"DOOM DOOMA","GEN","TINSUKIA","UPPER ASSAM",NA
"Assam",4,126,"SADIYA","GEN","SADIYA","UPPER ASSAM",NA
