"state","year","month","party","seats"
"Bihar",1962,2,"CPI","3.77"
"Bihar",1967,2,"CPI","7.55"
"Bihar",1969,2,"CPI","7.86"
"Bihar",1972,2,"CPI","11.01"
"Bihar",1977,2,"CPI","6.48"
"Bihar",1980,2,"CPI","7.1"
"Bihar",1985,2,"CPI","3.7"
"Bihar",1990,2,"CPI","7.1"
"Bihar",1995,2,"CPI","8.02"
"Bihar",2000,2,"CPI","1.54"
"Bihar",2005,2,"CPI","1.23"
"Bihar",2005,10,"CPI","1.23"
"Bihar",2010,2,"CPI","0.41"
"Bihar",2015,2,"CPI","0"
"Bihar",1962,2,"PSP","9.12"
"Bihar",1967,2,"PSP","5.66"
"Bihar",1969,2,"PSP","5.66"
"Bihar",1962,2,"INC","58.18"
"Bihar",1967,2,"INC","40.25"
"Bihar",1969,2,"INC","37.11"
"Bihar",1972,2,"INC","52.52"
"Bihar",1977,2,"INC","17.59"
"Bihar",1985,2,"INC","60.49"
"Bihar",1990,2,"INC","21.91"
"Bihar",1995,2,"INC","8.95"
"Bihar",2000,2,"INC","7.1"
"Bihar",2005,2,"INC","4.12"
"Bihar",2005,10,"INC","3.7"
"Bihar",2010,2,"INC","1.65"
"Bihar",2015,2,"INC","11.25"
"Bihar",1962,2,"SWA","15.72"
"Bihar",1967,2,"SWA","0.94"
"Bihar",1969,2,"SWA","0.94"
"Bihar",1972,2,"SWA","0.31"
"Bihar",1962,2,"JP","6.29"
"Bihar",1995,2,"JP","0"
"Bihar",2000,2,"JP","0"
"Bihar",2005,2,"JP","0"
"Bihar",2005,10,"JP","0"
"Bihar",1967,2,"BJS","8.18"
"Bihar",1969,2,"BJS","10.69"
"Bihar",1972,2,"BJS","7.86"
"Bihar",1990,2,"BJS","0"
"Bihar",1967,2,"SSP","21.38"
"Bihar",1969,2,"SSP","16.35"
"Bihar",1962,2,"IND","3.77"
"Bihar",1967,2,"IND","10.38"
"Bihar",1969,2,"IND","7.55"
"Bihar",1972,2,"IND","5.35"
"Bihar",1977,2,"IND","7.41"
"Bihar",1980,2,"IND","7.1"
"Bihar",1985,2,"IND","8.95"
"Bihar",1990,2,"IND","9.26"
"Bihar",1995,2,"IND","3.7"
"Bihar",2000,2,"IND","6.17"
"Bihar",2005,2,"IND","7"
"Bihar",2005,10,"IND","4.12"
"Bihar",2010,2,"IND","2.47"
"Bihar",2015,2,"IND","1.67"
"Bihar",1972,2,"NCO","9.43"
"Bihar",1972,2,"SOP","10.38"
"Bihar",1977,2,"JNP","66.05"
"Bihar",1980,2,"JNP","0"
"Bihar",1985,2,"JNP","4.01"
"Bihar",1967,2,"CPM","1.26"
"Bihar",1969,2,"CPM","0.94"
"Bihar",1972,2,"CPM","0"
"Bihar",1977,2,"CPM","1.23"
"Bihar",1980,2,"CPM","1.85"
"Bihar",1985,2,"CPM","0.31"
"Bihar",1990,2,"CPM","1.85"
"Bihar",1995,2,"CPM","1.85"
"Bihar",2000,2,"CPM","0.62"
"Bihar",2005,2,"CPM","0.41"
"Bihar",2005,10,"CPM","0.41"
"Bihar",2010,2,"CPM","0"
"Bihar",2015,2,"CPM","0"
"Bihar",1980,2,"BJP","6.48"
"Bihar",1985,2,"BJP","4.94"
"Bihar",1990,2,"BJP","12.04"
"Bihar",1995,2,"BJP","12.65"
"Bihar",2000,2,"BJP","20.68"
"Bihar",2005,2,"BJP","15.23"
"Bihar",2005,10,"BJP","22.63"
"Bihar",2010,2,"BJP","37.45"
"Bihar",2015,2,"BJP","22.08"
"Bihar",1980,2,"INC(I)","52.16"
"Bihar",1980,2,"JNP(SC)","12.96"
"Bihar",1980,2,"LKD","0"
"Bihar",1985,2,"LKD","14.2"
"Bihar",1995,2,"LKD","0"
"Bihar",1990,2,"JD","37.65"
"Bihar",1995,2,"JD","51.54"
"Bihar",2000,2,"RJD","38.27"
"Bihar",2005,2,"RJD","30.86"
"Bihar",2005,10,"RJD","22.22"
"Bihar",2010,2,"RJD","9.05"
"Bihar",2015,2,"RJD","32.92"
"Bihar",1995,2,"SAP","2.16"
"Bihar",2000,2,"SAP","10.49"
"Bihar",2005,2,"SAP","0"
"Bihar",2005,10,"SAP","0"
"Bihar",2010,2,"SAP","0"
"Bihar",2015,2,"SAP","0"
"Bihar",2000,2,"JD(U)","6.48"
"Bihar",2005,2,"JD(U)","22.63"
"Bihar",2005,10,"JD(U)","36.21"
"Bihar",2010,2,"JD(U)","47.33"
"Bihar",2015,2,"JD(U)","28.75"
"Bihar",2005,2,"LJP","11.93"
"Bihar",2005,10,"LJP","4.12"
"Bihar",2010,2,"LJP","1.23"
"Bihar",2015,2,"LJP","0.83"
