"state","year","month","party","votes"
"Bihar",1962,2,"PSP","14.17"
"Bihar",1967,2,"PSP","6.96"
"Bihar",1969,2,"PSP","5.64"
"Bihar",1962,2,"SOC","5.23"
"Bihar",1962,2,"INC","41.35"
"Bihar",1967,2,"INC","33.09"
"Bihar",1969,2,"INC","30.46"
"Bihar",1972,2,"INC","33.12"
"Bihar",1977,2,"INC","23.58"
"Bihar",1985,2,"INC","39.3"
"Bihar",1990,2,"INC","24.79"
"Bihar",1995,2,"INC","16.28"
"Bihar",2000,2,"INC","11.06"
"Bihar",2005,2,"INC","5"
"Bihar",2005,10,"INC","6.09"
"Bihar",2010,2,"INC","8.37"
"Bihar",2015,2,"INC","6.74"
"Bihar",1962,2,"IND","8.4"
"Bihar",1967,2,"IND","17.87"
"Bihar",1969,2,"IND","8.29"
"Bihar",1972,2,"IND","10.77"
"Bihar",1977,2,"IND","23.73"
"Bihar",1980,2,"IND","11.95"
"Bihar",1985,2,"IND","17.87"
"Bihar",1990,2,"IND","18.4"
"Bihar",1995,2,"IND","13.75"
"Bihar",2000,2,"IND","11.36"
"Bihar",2005,2,"IND","16.16"
"Bihar",2005,10,"IND","8.77"
"Bihar",2010,2,"IND","13.22"
"Bihar",2015,2,"IND","9.45"
"Bihar",1962,2,"SWA","17.25"
"Bihar",1967,2,"SWA","2.33"
"Bihar",1969,2,"SWA","0.87"
"Bihar",1972,2,"SWA","0.71"
"Bihar",1962,2,"CPI","6.23"
"Bihar",1967,2,"CPI","6.91"
"Bihar",1969,2,"CPI","10.1"
"Bihar",1972,2,"CPI","6.94"
"Bihar",1977,2,"CPI","7"
"Bihar",1980,2,"CPI","9.12"
"Bihar",1985,2,"CPI","8.86"
"Bihar",1990,2,"CPI","6.59"
"Bihar",1995,2,"CPI","4.76"
"Bihar",2000,2,"CPI","3.6"
"Bihar",2005,2,"CPI","1.58"
"Bihar",2005,10,"CPI","2.09"
"Bihar",2010,2,"CPI","1.69"
"Bihar",2015,2,"CPI","1.36"
"Bihar",1967,2,"SSP","17.62"
"Bihar",1969,2,"SSP","13.68"
"Bihar",1967,2,"BJS","10.42"
"Bihar",1969,2,"BJS","15.63"
"Bihar",1972,2,"BJS","11.69"
"Bihar",1990,2,"BJS","0.19"
"Bihar",1972,2,"NCO","14.82"
"Bihar",1972,2,"SOP","16.39"
"Bihar",1977,2,"JNP","42.68"
"Bihar",1980,2,"JNP","0.03"
"Bihar",1985,2,"JNP","7.21"
"Bihar",1967,2,"CPM","1.28"
"Bihar",1969,2,"CPM","1.25"
"Bihar",1972,2,"CPM","1.61"
"Bihar",1977,2,"CPM","0.93"
"Bihar",1980,2,"CPM","1.75"
"Bihar",1985,2,"CPM","1.61"
"Bihar",1990,2,"CPM","1.33"
"Bihar",1995,2,"CPM","1.44"
"Bihar",2000,2,"CPM","0.91"
"Bihar",2005,2,"CPM","0.64"
"Bihar",2005,10,"CPM","0.68"
"Bihar",2010,2,"CPM","0.71"
"Bihar",2015,2,"CPM","0.62"
"Bihar",1977,2,"SSD","0.8"
"Bihar",1980,2,"SSD","0.57"
"Bihar",1990,2,"SSD","0.07"
"Bihar",1995,2,"SSD","0.06"
"Bihar",2000,2,"SSD","0.02"
"Bihar",2005,2,"SSD","0.04"
"Bihar",2005,10,"SSD","0.03"
"Bihar",2010,2,"SSD","0.03"
"Bihar",2015,2,"SSD","0.03"
"Bihar",1980,2,"JNP(SC)","15.63"
"Bihar",1980,2,"INC(U)","7.34"
"Bihar",1980,2,"INC(I)","34.2"
"Bihar",1980,2,"BJP","8.41"
"Bihar",1985,2,"BJP","7.54"
"Bihar",1990,2,"BJP","11.61"
"Bihar",1995,2,"BJP","12.97"
"Bihar",2000,2,"BJP","14.64"
"Bihar",2005,2,"BJP","10.97"
"Bihar",2005,10,"BJP","15.65"
"Bihar",2010,2,"BJP","16.49"
"Bihar",2015,2,"BJP","24.3"
"Bihar",1980,2,"LKD","0.03"
"Bihar",1985,2,"LKD","14.69"
"Bihar",1995,2,"LKD","0"
"Bihar",1980,2,"JMM","1.69"
"Bihar",1985,2,"JMM","1.82"
"Bihar",1990,2,"JMM","3.15"
"Bihar",1995,2,"JMM","2.33"
"Bihar",2000,2,"JMM","3.53"
"Bihar",2005,2,"JMM","0.31"
"Bihar",2010,2,"JMM","0.61"
"Bihar",2015,2,"JMM","0.28"
"Bihar",1990,2,"JD","25.62"
"Bihar",1995,2,"JD","27.99"
"Bihar",1995,2,"SAP","7.06"
"Bihar",2000,2,"SAP","8.65"
"Bihar",2005,2,"SAP","0.43"
"Bihar",2005,10,"SAP","0.12"
"Bihar",2010,2,"SAP","0.05"
"Bihar",2015,2,"SAP","0"
"Bihar",2000,2,"RJD","28.34"
"Bihar",2005,2,"RJD","25.07"
"Bihar",2005,10,"RJD","23.46"
"Bihar",2010,2,"RJD","18.84"
"Bihar",2015,2,"RJD","18.35"
"Bihar",2000,2,"JD(U)","6.47"
"Bihar",2005,2,"JD(U)","14.55"
"Bihar",2005,10,"JD(U)","20.46"
"Bihar",2010,2,"JD(U)","22.58"
"Bihar",2015,2,"JD(U)","16.72"
"Bihar",2005,2,"LJP","12.62"
"Bihar",2005,10,"LJP","11.08"
"Bihar",2010,2,"LJP","6.74"
"Bihar",2015,2,"LJP","4.89"
