"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Bihar",1962,1,1,"DHANAHA","RANGLAL PRASAD",NA,"3 YADAV","OBC","H","3 YADAV",NA
"Bihar",1962,1,2,"DHANAHA","YOGENDRA PRASAD SHRIVASTAVA",NA,"1 KAYASTH","UC","H","1 KAYASTH",NA
"Bihar",1962,2,1,"BAGAHA","NARSINGH BAITHA",NA,"4 OTHERS","SC","H","4 OTHERS",NA
"Bihar",1962,2,2,"BAGAHA","BHOLA RAUT MESTAR",NA,"4 OTHERS","SC","","4 OTHERS",NA
"Bihar",1962,2,3,"BAGAHA","BALDEO MAHTO",NA,"4 OTHERS","SC","H","4 OTHERS",NA
"Bihar",1962,2,4,"BAGAHA","SHEO PRASAD HARIJAN",NA,"4 OTHERS","SC","H","4 OTHERS",NA
"Bihar",1962,2,5,"BAGAHA","KHOBHARI HARIJAN",NA,"4 OTHERS","SC","H","4 OTHERS",NA
"Bihar",1962,2,6,"BAGAHA","SAJAN CHAMAR",NA,"4 OTHERS","SC","H","4 OTHERS",NA
"Bihar",1962,3,1,"RAMNAGAR","NARAIN BIKRAM SHAH ALIAS NARAIN RAJA",NA,"1 RAJPUT","UC","H","1 RAJPUT",NA
"Bihar",1962,3,2,"RAMNAGAR","KEDAR PANDEY",NA,"1 BRAHMIN","UC","H","1 BRAHMIN",NA
"Bihar",1962,4,1,"SHIKARPUR","UMESH PRASAD VERMA",NA,"1 KAYASTH","UC","H","1 KAYASTH",NA
"Bihar",1962,4,2,"SHIKARPUR","LAKSHMAN PRASAD",NA,"","","","",NA
"Bihar",1962,5,1,"SIKTA","RAIFUL AZAM",NA,"6 MUSLIM","MUSLIM","M","6 MUSLIM",NA
"Bihar",1962,5,2,"SIKTA","MOHAMMAD OBAIDULLAH",NA,"6 MUSLIM","MUSLIM","M","6 MUSLIM",NA
"Bihar",1962,5,3,"SIKTA","UMASHANKER SHUKLA",NA,"1 BRAHMIN","UC","H","1 BRAHMIN",NA
"Bihar",1962,6,1,"LAURIA","SUBH NARAIN PRASAD",NA,"3 KOERI","OBC","H","3 KOERI",NA
"Bihar",1962,6,2,"LAURIA","SINHESHWAR PRASAD VERMA",NA,"","","","",NA
"Bihar",1962,7,1,"CHANPATIA","PRAMOD KUMAR MISHRA",NA,"1 BRAHMIN","UC","H","1 BRAHMIN",NA
"Bihar",1962,7,2,"CHANPATIA","PAWAN KUMAR MISHRA",NA,"1 BRAHMIN","UC","H","1 BRAHMIN",NA
"Bihar",1962,7,3,"CHANPATIA","NAGINA RAI",NA,"1 BHUMIHAR","UC","H","1 BHUMIHAR",NA
"Bihar",1962,8,1,"BETTIAH","JAY NARAYAN PRASAD",NA,"3 KOERI","OBC","H","3 KOERI",NA
"Bihar",1962,8,2,"BETTIAH","MADAN LAL SINGHANIA",NA,"1 VAISHYA","UC","H","1 VAISHYA",NA
"Bihar",1962,8,3,"BETTIAH","ABDUL KHAIR",NA,"6 MUSLIM","MUSLIM","M","6 MUSLIM",NA
"Bihar",1962,9,1,"MANJHAULIA","JILDAR RAM",NA,"4 OTHERS","SC","H","4 OTHERS",NA
"Bihar",1962,9,2,"MANJHAULIA","JAGANNATH PRASAD SWATANTRA",NA,"4 OTHERS","SC","","4 OTHERS",NA
"Bihar",1962,10,1,"RAXAUL","RADHA PANDE",NA,"1 BRAHMIN","UC","H","1 BRAHMIN",NA
"Bihar",1962,10,2,"RAXAUL","VINDHYACHAL SINGH",NA,"","","","",NA
"Bihar",1962,10,3,"RAXAUL","RADHA KRISHNA SINGH",NA,"","","","",NA
"Bihar",1962,10,4,"RAXAUL","DEO NARAIN PRASAD",NA,"","","","",NA
"Bihar",1962,11,1,"ADAPUR","RAMBARAN PRASAD",NA,"3 KOERI","OBC","H","3 KOERI",NA
