"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Bihar",4,1,"VALMIKI NAGAR","GEN","WEST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,2,"RAMNAGAR","SC","WEST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,3,"NARKATIAGANJ","GEN","WEST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,4,"BAGAHA","GEN","WEST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,5,"LAURIYA","GEN","WEST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,6,"NAUTAN","GEN","WEST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,7,"CHANPATIA","GEN","WEST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,8,"BETTIAH","GEN","WEST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,9,"SIKTA","GEN","WEST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,10,"RAXAUL","GEN","EAST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,11,"SUGAULI","GEN","EAST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,12,"NARKATIA","GEN","EAST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,13,"HARSIDHI","SC","EAST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,14,"GOVINDGANJ","GEN","EAST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,15,"KESARIA","GEN","EAST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,16,"KALYANPUR","GEN","EAST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,17,"PIPRA","GEN","EAST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,18,"MADHUBAN","GEN","EAST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,19,"MOTIHARI","GEN","EAST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,20,"CHIRAIA","GEN","EAST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,21,"DHAKA","GEN","EAST CHAMPARAN","TIRHUT","Team3 ELM"
"Bihar",4,22,"SHEOHAR","GEN","SHEOHAR","TIRHUT","Team3 ELM"
"Bihar",4,23,"RIGA","GEN","SITAMARHI","TIRHUT","Team3 ELM"
"Bihar",4,24,"BATHNAHA","SC","SITAMARHI","TIRHUT","Team3 ELM"
"Bihar",4,25,"PARIHAR","GEN","SITAMARHI","TIRHUT","Team3 ELM"
"Bihar",4,26,"SURSAND","GEN","SITAMARHI","TIRHUT","Team3 ELM"
"Bihar",4,27,"BAJPATTI","GEN","SITAMARHI","TIRHUT","Team3 ELM"
"Bihar",4,28,"SITAMARHI","GEN","SITAMARHI","TIRHUT","Team3 ELM"
"Bihar",4,29,"RUNISAIDPUR","GEN","SITAMARHI","TIRHUT","Team3 ELM"
"Bihar",4,30,"BELSAND","GEN","SITAMARHI","TIRHUT","Team3 ELM"
"Bihar",4,31,"HARLAKHI","GEN","MADHUBANI","MITHALANCHAL","Team3 ELM"
"Bihar",4,32,"BENIPATTI","GEN","MADHUBANI","MITHALANCHAL","Team3 ELM"
"Bihar",4,33,"KHAJAULI","GEN","MADHUBANI","MITHALANCHAL","Team3 ELM"
"Bihar",4,34,"BABUBARHI","GEN","MADHUBANI","MITHALANCHAL","Team3 ELM"
"Bihar",4,35,"BISFI","GEN","MADHUBANI","MITHALANCHAL","Team3 ELM"
"Bihar",4,36,"MADHUBANI","GEN","MADHUBANI","MITHALANCHAL","Team3 ELM"
"Bihar",4,37,"RAJNAGAR","SC","MADHUBANI","MITHALANCHAL","Team3 ELM"
"Bihar",4,38,"JHANJHARPUR","GEN","MADHUBANI","MITHALANCHAL","Team3 ELM"
"Bihar",4,39,"PHULPARAS","GEN","MADHUBANI","MITHALANCHAL","Team3 ELM"
"Bihar",4,40,"LAUKAHA","GEN","MADHUBANI","MITHALANCHAL","Team3 ELM"
"Bihar",4,41,"NIRMALI","GEN","SUPAUL","KOSHI","Team3 ELM"
"Bihar",4,42,"PIPRA (SUPAUL)","GEN","SUPAUL","KOSHI","Team3 ELM"
"Bihar",4,43,"SUPAUL","GEN","SUPAUL","KOSHI","Team3 ELM"
"Bihar",4,44,"TRIBENIGANJ","SC","SUPAUL","KOSHI","Team3 ELM"
"Bihar",4,45,"CHHATAPUR","GEN","SUPAUL","KOSHI","Team3 ELM"
"Bihar",4,46,"NARPATGANJ","GEN","ARARIA","SEEMANCHAL","Team3 ELM"
"Bihar",4,47,"RANIGANJ","SC","ARARIA","SEEMANCHAL","Team3 ELM"
"Bihar",4,48,"FORBESGANJ","GEN","ARARIA","SEEMANCHAL","Team3 ELM"
"Bihar",4,49,"ARARIA","GEN","ARARIA","SEEMANCHAL","Team3 ELM"
"Bihar",4,50,"JOKIHAT","GEN","ARARIA","SEEMANCHAL","Team3 ELM"
"Bihar",4,51,"SIKTI","GEN","ARARIA","SEEMANCHAL","Team3 ELM"
"Bihar",4,52,"BAHADURGANJ","GEN","KISHANGANJ","SEEMANCHAL","Team3 ELM"
"Bihar",4,53,"THAKURGANJ","GEN","KISHANGANJ","SEEMANCHAL","Team3 ELM"
"Bihar",4,54,"KISHANGANJ","GEN","KISHANGANJ","SEEMANCHAL","Team3 ELM"
"Bihar",4,55,"KOCHADHAMAN","GEN","KISHANGANJ","SEEMANCHAL","Team3 ELM"
"Bihar",4,56,"AMOUR","GEN","PURNEA","KOSHI","Team3 ELM"
"Bihar",4,57,"BAISI","GEN","PURNEA","KOSHI","Team3 ELM"
"Bihar",4,58,"KASBA","GEN","PURNEA","KOSHI","Team3 ELM"
"Bihar",4,59,"BANMANKHI","SC","PURNEA","KOSHI","Team3 ELM"
"Bihar",4,60,"RUPAULI","GEN","PURNEA","KOSHI","Team3 ELM"
"Bihar",4,61,"DHAMDAHA","GEN","PURNEA","KOSHI","Team3 ELM"
"Bihar",4,62,"PURNIA","GEN","PURNEA","KOSHI","Team3 ELM"
"Bihar",4,63,"KATIHAR","GEN","KATIHAR","SEEMANCHAL","Team3 ELM"
"Bihar",4,64,"KADWA","GEN","KATIHAR","SEEMANCHAL","Team3 ELM"
"Bihar",4,65,"BALRAMPUR","GEN","KATIHAR","SEEMANCHAL","Team3 ELM"
"Bihar",4,66,"PRANPUR","GEN","KATIHAR","SEEMANCHAL","Team3 ELM"
"Bihar",4,67,"MANIHARI","ST","KATIHAR","SEEMANCHAL","Team3 ELM"
"Bihar",4,68,"BARARI","GEN","KATIHAR","SEEMANCHAL","Team3 ELM"
"Bihar",4,69,"KORHA","SC","KATIHAR","SEEMANCHAL","Team3 ELM"
"Bihar",4,70,"ALAMNAGAR","GEN","MADHEPURA","KOSHI","Team3 ELM"
"Bihar",4,71,"BIHARIGANJ","GEN","MADHEPURA","KOSHI","Team3 ELM"
"Bihar",4,72,"SINGHESHWAR","SC","MADHEPURA","KOSHI","Team3 ELM"
"Bihar",4,73,"MADHEPURA","GEN","MADHEPURA","KOSHI","Team3 ELM"
"Bihar",4,74,"SONBARSA","SC","SAHARSA","KOSHI","Team3 ELM"
"Bihar",4,75,"SAHARSA","GEN","SAHARSA","KOSHI","Team3 ELM"
"Bihar",4,76,"SIMRI BAKHTIARPUR","GEN","SAHARSA","KOSHI","Team3 ELM"
"Bihar",4,77,"MAHISHI","GEN","SAHARSA","KOSHI","Team3 ELM"
"Bihar",4,78,"KUSHESHWAR ASTHAN","SC","DARBHANGA","MITHALANCHAL","Team3 ELM"
"Bihar",4,79,"GAURA BAURAM","GEN","DARBHANGA","MITHALANCHAL","Team3 ELM"
"Bihar",4,80,"BENIPUR","GEN","DARBHANGA","MITHALANCHAL","Team3 ELM"
"Bihar",4,81,"ALINAGAR","GEN","DARBHANGA","MITHALANCHAL","Team3 ELM"
"Bihar",4,82,"DARBHANGA RURAL","GEN","DARBHANGA","MITHALANCHAL","Team3 ELM"
"Bihar",4,83,"DARBHANGA","GEN","DARBHANGA","MITHALANCHAL","Team3 ELM"
"Bihar",4,84,"HAYAGHAT","GEN","DARBHANGA","MITHALANCHAL","Team3 ELM"
"Bihar",4,85,"BAHADURPUR","GEN","DARBHANGA","MITHALANCHAL","Team3 ELM"
"Bihar",4,86,"KEOTI","GEN","DARBHANGA","MITHALANCHAL","Team3 ELM"
"Bihar",4,87,"JALE","GEN","DARBHANGA","MITHALANCHAL","Team3 ELM"
"Bihar",4,88,"GAIGHAT","GEN","MUZAFFARPUR","TIRHUT","Team3 ELM"
"Bihar",4,89,"AURAI","GEN","MUZAFFARPUR","TIRHUT","Team3 ELM"
"Bihar",4,90,"MINAPUR","GEN","MUZAFFARPUR","TIRHUT","Team3 ELM"
"Bihar",4,91,"BOCHAHA","SC","MUZAFFARPUR","TIRHUT","Team3 ELM"
"Bihar",4,92,"SAKRA","SC","MUZAFFARPUR","TIRHUT","Team3 ELM"
"Bihar",4,93,"KURHANI","GEN","MUZAFFARPUR","TIRHUT","Team3 ELM"
