"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Chhattisgarh",1,2003,2,1,"MANENDRAGARH",64.93,36.86,"ST",173471,7526,11,1,"Male","INC",41515,"GULAB SINGH",6.68,"RAM LAKHAN SINGH","BJP","M",NA
"Chhattisgarh",1,2003,2,2,"BAIKUNTHPUR",69.43,41.92,"General",175583,7970,10,1,"Male","INC",51107,"DR. RAM CHANDRA SINGH DEV",6.54,"BHAIYA LAL RAJWADE","BJP","M",NA
"Chhattisgarh",1,2003,2,3,"PREMNAGAR",70.92,49.9,"ST",136646,17752,6,1,"Female","BJP",48363,"RENUKA SINGH",18.32,"TULESHWAR SINGH","INC","M",NA
"Chhattisgarh",1,2003,2,4,"SURAJPUR",68.26,53.66,"ST",139874,27511,8,1,"Male","BJP",51228,"SHIV PRATAP SINGH",28.82,"BHANU PRATAP SINGH","INC","M",NA
"Chhattisgarh",1,2003,2,5,"PAL",63.7,33.67,"ST",169279,10213,9,1,"Male","BJP",36309,"RAMVICHAR NETAAM",9.47,"BRIHASPAT SINGH","IND","M",NA
"Chhattisgarh",1,2003,2,6,"SAMRI",58.54,42.31,"ST",128697,13382,11,1,"Male","BJP",31878,"SIDHANATH",17.76,"MAHESWAR PAIKARA","INC","M",NA
"Chhattisgarh",1,2003,2,7,"LUNDRA",68.48,35.03,"ST",143235,42,7,1,"Male","BJP",34357,"VIJAYA NATH",0.04,"RAMDEV RAM","INC","M",NA
"Chhattisgarh",1,2003,2,8,"PILKHA",68.91,51.31,"ST",169604,20501,10,1,"Male","BJP",59967,"RAMSEWAK PAIKRA",17.54,"PREM SAI","INC","M",NA
"Chhattisgarh",1,2003,2,9,"AMBIKAPUR",67,53.35,"ST",184121,37222,9,1,"Male","BJP",65812,"KAMAL BHAN SINGH",30.17,"MADAN GOPAL SINGH","INC","M",NA
"Chhattisgarh",1,2003,2,10,"SITAPUR",69.48,42.63,"ST",119397,5102,8,1,"Male","INC",35369,"AMARJEET",6.15,"RAJA RAM BHAGAT","BJP","M",NA
"Chhattisgarh",1,2003,2,11,"BAGICHA",72.09,50.27,"ST",120993,10572,9,1,"Male","BJP",43846,"GANESH RAM BHAGAT",12.12,"ANAND LAL KUJUR","INC","M",NA
"Chhattisgarh",1,2003,2,12,"JASHPUR",75.21,50.24,"ST",119888,9563,7,1,"Male","BJP",45295,"RAJ SHARAN BHAGAT",10.61,"VIKARAM BHAGAT","INC","M",NA
"Chhattisgarh",1,2003,2,13,"TAPKARA",74.39,48.43,"ST",117163,13591,6,1,"Male","BJP",42213,"BHARAT SAI",15.59,"MOHAN SAI","INC","M",NA
"Chhattisgarh",1,2003,2,14,"PATHALGAON",75.27,38.21,"ST",129353,317,5,1,"Male","INC",37205,"RAMPUKAR SINGH",0.33,"VISHNUDEV SAI","BJP","M",NA
"Chhattisgarh",1,2003,2,15,"DHARAMJAIGARH",78.79,49.62,"ST",128276,15618,7,1,"Male","BJP",50148,"OM PRAKASH RATHIA",15.45,"CHANESH RAM RATHIA","INC","M",NA
"Chhattisgarh",1,2003,2,16,"LAILUNGA",77.19,43.77,"ST",121852,5890,7,1,"Male","BJP",41165,"SATYANAND RATHIA",6.26,"PREM SINGH SIDAR","INC","M",NA
"Chhattisgarh",1,2003,2,17,"RAIGARH",76.41,46.55,"General",147066,8439,11,1,"Male","BJP",52310,"VIJAY AGRAWAL",7.51,"KRISHNA KUMAR","INC","M",NA
"Chhattisgarh",1,2003,2,18,"KHARSIA",83.16,61.06,"General",138716,32768,7,1,"Male","INC",70433,"NAND KUMAR PATEL",28.41,"LAXMI PRASAD PATEL","BJP","M",NA
"Chhattisgarh",1,2003,2,19,"SARIA",87.16,37.84,"General",121178,18293,10,1,"Male","INC",39962,"DR. SHAKAJEET NAYAK",17.32,"VIRAJESHWAR PRADHAN","IND","M",NA
"Chhattisgarh",1,2003,2,20,"SARANGARH",73.33,33.12,"SC",134114,8158,11,1,"Female","BSP",32577,"KU. KAMDA JOLHE",8.29,"SHYAM SUNDER","BJP","M",NA
"Chhattisgarh",1,2003,2,21,"RAMPUR",70.46,34.03,"ST",148622,380,11,1,"Male","BJP",35642,"NANKI RAM",0.36,"PYARE LAL","INC","M",NA
"Chhattisgarh",1,2003,2,22,"KATGHORA",67.64,42.33,"General",276074,3853,17,1,"Male","INC",79049,"BODHRAM KANWAR",2.06,"BANWARI LAL (BANWARI BHAIYYA)","BJP","M",NA
"Chhattisgarh",1,2003,2,23,"TANAKHAR",68.94,42.72,"ST",165839,20313,12,1,"Male","INC",48844,"RAM DAYAL UIKE",17.77,"HEERA SINGH MARKAM","GGP","M",NA
"Chhattisgarh",1,2003,2,24,"MARWAHI",78.16,69.72,"ST",139963,54150,7,1,"Male","INC",76269,"AJIT JOGI",49.5,"NAND KUMAR SAI","BJP","M",NA
"Chhattisgarh",1,2003,2,25,"KOTA",71.51,39.57,"General",139743,1679,9,1,"Male","INC",39545,"RAJENDRA PRASAD SHUKLA",1.68,"BHUPENDRA SINGH","BJP","M",NA
"Chhattisgarh",1,2003,2,26,"LORMI",72.27,40.99,"General",162021,15666,8,1,"Male","INC",47998,"DHARMJEET SINGH",13.38,"MUNIRAM SAHU","BJP","M",NA
"Chhattisgarh",1,2003,2,27,"MUNGELI",62.83,43.47,"SC",151499,6756,6,1,"Male","INC",41377,"CHANDRABHAN",7.1,"VIKRAM MOHILE","BJP","M",NA
"Chhattisgarh",1,2003,2,28,"JARHAGAON",67.32,51.13,"SC",135797,11985,5,1,"Male","INC",46744,"CHURAWAN MANGESHKAR",13.11,"CHOUWADAS KHANDEKAR","BJP","M",NA
"Chhattisgarh",1,2003,2,29,"TAKHATPUR",71.14,41.9,"General",132064,6691,12,1,"Male","INC",39362,"BALRAM SINGH",7.12,"JAGJEET SINGH MAKKAD","BJP","M",NA
"Chhattisgarh",1,2003,2,30,"BILASPUR",62.4,46.61,"General",210249,5843,13,1,"Male","BJP",61154,"AMAR AGRAWAL",4.45,"ANIL KUMAR TAH","INC","M",NA
"Chhattisgarh",1,2003,2,31,"BILHA",71.86,45.36,"General",147345,6551,10,1,"Male","INC",48028,"SIYARAM KAUSHIK",6.19,"DHARAM KAUSHIK","BJP","M",NA
"Chhattisgarh",1,2003,2,32,"MASTURI",62.31,39.12,"SC",166072,2268,10,1,"Male","BJP",40485,"DR. KRISHNAMURTI BANDHI",2.19,"MADAN SINGH DAHARIA","INC","M",NA
"Chhattisgarh",1,2003,2,33,"SIPAT",72.85,23.32,"General",133301,299,13,1,"Male","BJP",22649,"BADHRIDHAR DIWAN",0.31,"RAMESH KUMAR KAUSHIK","INC","M",NA
"Chhattisgarh",1,2003,2,34,"AKALTARA",71.73,31.71,"General",164259,1430,11,1,"Male","INC",37368,"RAMADHAR",1.21,"CHHATARAM","BJP","M",NA
"Chhattisgarh",1,2003,2,35,"PAMGARH",75.62,31.37,"General",180330,6734,15,1,"Male","INC",42780,"MAHANT RAM SUNDAR DAS",4.94,"DAURAM","BSP","M",NA
"Chhattisgarh",1,2003,2,36,"CHAMPA",74.15,42.62,"General",164786,7710,9,1,"Male","INC",52075,"MOTI LAL",6.31,"NARAYAN PRASAD","BJP","M",NA
"Chhattisgarh",1,2003,2,37,"SAKTI",71.81,28.61,"General",134727,3272,14,1,"Male","BJP",27680,"MEGHARAM SAHU",3.38,"MANHARAN RATHORE","INC","M",NA
"Chhattisgarh",1,2003,2,38,"MALKHARODA",67.18,32,"SC",159854,896,8,1,"Male","BSP",34360,"LALSAY KHUNTE",0.83,"NIRMAL SINHA","BJP","M",NA
