"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Chhattisgarh",2003,1,"MANENDRAGARH","ST","GULAB SINGH","INC",41515,1,36.86
"Chhattisgarh",2003,1,"MANENDRAGARH","ST","GAMBHIR SINGH","LSWP",1026,10,0.91
"Chhattisgarh",2003,1,"MANENDRAGARH","ST","SAMAY LAL GURUJI","LJNSP",998,11,0.89
"Chhattisgarh",2003,1,"MANENDRAGARH","ST","RAM LAKHAN SINGH","BJP",33989,2,30.18
"Chhattisgarh",2003,1,"MANENDRAGARH","ST","DR. L.S. UDAY","GGP",12615,3,11.2
"Chhattisgarh",2003,1,"MANENDRAGARH","ST","CHHOTE LAL","NCP",10448,4,9.28
"Chhattisgarh",2003,1,"MANENDRAGARH","ST","VIMAL KUMAR","IND",4898,5,4.35
"Chhattisgarh",2003,1,"MANENDRAGARH","ST","DRIGPAL SINGH UIKAY","BSP",2760,6,2.45
"Chhattisgarh",2003,1,"MANENDRAGARH","ST","MAN SINGH","IND",1667,7,1.48
"Chhattisgarh",2003,1,"MANENDRAGARH","ST","BHAGWAN SINGH","SP",1475,8,1.31
"Chhattisgarh",2003,1,"MANENDRAGARH","ST","BUDDHSEN SINGH","JD(U)",1236,9,1.1
"Chhattisgarh",2003,2,"BAIKUNTHPUR","GEN","DR. RAM CHANDRA SINGH DEV","INC",51107,1,41.92
"Chhattisgarh",2003,2,"BAIKUNTHPUR","GEN","KRISHANA SINGH BABA","IND",901,10,0.74
"Chhattisgarh",2003,2,"BAIKUNTHPUR","GEN","BHAIYA LAL RAJWADE","BJP",43137,2,35.39
"Chhattisgarh",2003,2,"BAIKUNTHPUR","GEN","PRAKASH TIWARI","NCP",10319,3,8.46
"Chhattisgarh",2003,2,"BAIKUNTHPUR","GEN","KAMLESHWAR PRASAD","GGP",5694,4,4.67
"Chhattisgarh",2003,2,"BAIKUNTHPUR","GEN","D.L.BHASKAR","BSP",3844,5,3.15
"Chhattisgarh",2003,2,"BAIKUNTHPUR","GEN","HEERA LAL","IND",2763,6,2.27
"Chhattisgarh",2003,2,"BAIKUNTHPUR","GEN","BALBHADRA PANDEY","CPM",1703,7,1.4
"Chhattisgarh",2003,2,"BAIKUNTHPUR","GEN","PT. ANIL 'MAHRAJ'","IND",1358,8,1.11
"Chhattisgarh",2003,2,"BAIKUNTHPUR","GEN","MANI LAL RAJWADE","SP",1077,9,0.88
"Chhattisgarh",2003,3,"PREMNAGAR","ST","RENUKA SINGH","BJP",48363,1,49.9
"Chhattisgarh",2003,3,"PREMNAGAR","ST","TULESHWAR SINGH","INC",30611,2,31.59
"Chhattisgarh",2003,3,"PREMNAGAR","ST","RAM MANOHAR SINGH","GGP",6068,3,6.26
"Chhattisgarh",2003,3,"PREMNAGAR","ST","CHANDAN SINGH","NCP",5345,4,5.52
"Chhattisgarh",2003,3,"PREMNAGAR","ST","SETAN SINGH","IND",3586,5,3.7
"Chhattisgarh",2003,3,"PREMNAGAR","ST","BUDHIMAN SINGH","SP",2941,6,3.03
"Chhattisgarh",2003,4,"SURAJPUR","ST","SHIV PRATAP SINGH","BJP",51228,1,53.66
"Chhattisgarh",2003,4,"SURAJPUR","ST","BHANU PRATAP SINGH","INC",23717,2,24.84
"Chhattisgarh",2003,4,"SURAJPUR","ST","SANTLAL SINGH","IND",9417,3,9.86
"Chhattisgarh",2003,4,"SURAJPUR","ST","SHIV BACHAN","NCP",3876,4,4.06
"Chhattisgarh",2003,4,"SURAJPUR","ST","SOMARU SINGH","SP",3586,5,3.76
"Chhattisgarh",2003,4,"SURAJPUR","ST","DEO NARAYAN","IND",1693,6,1.77
"Chhattisgarh",2003,4,"SURAJPUR","ST","JAINATH SINGH","GGP",1116,7,1.17
"Chhattisgarh",2003,4,"SURAJPUR","ST","KHEMRAJ SINGH","IND",840,8,0.88
"Chhattisgarh",2003,5,"PAL","ST","RAMVICHAR NETAAM","BJP",36309,1,33.67
"Chhattisgarh",2003,5,"PAL","ST","BRIHASPAT SINGH","IND",26096,2,24.2
"Chhattisgarh",2003,5,"PAL","ST","RAMSAGAR","INC",18979,3,17.6
"Chhattisgarh",2003,5,"PAL","ST","DEO SAI","NCP",13068,4,12.12
"Chhattisgarh",2003,5,"PAL","ST","MUNSHI RAM","IND",4509,5,4.18
"Chhattisgarh",2003,5,"PAL","ST","HARIKESWAR SINGH MARKAM","CPI",3985,6,3.7
"Chhattisgarh",2003,5,"PAL","ST","AKHILESH KUMAR","IND",1852,7,1.72
"Chhattisgarh",2003,5,"PAL","ST","ASHA DEVI","GGP",1544,8,1.43
"Chhattisgarh",2003,5,"PAL","ST","MIKHAEL EKKA","SP",1495,9,1.39
"Chhattisgarh",2003,6,"SAMRI","ST","SIDHANATH","BJP",31878,1,42.31
"Chhattisgarh",2003,6,"SAMRI","ST","PRABHA BHAGAT","IND",767,10,1.02
"Chhattisgarh",2003,6,"SAMRI","ST","JILESHWAR RAM","IND",716,11,0.95
"Chhattisgarh",2003,6,"SAMRI","ST","MAHESWAR PAIKARA","INC",18496,2,24.55
"Chhattisgarh",2003,6,"SAMRI","ST","PARASNATH","NCP",9669,3,12.83
"Chhattisgarh",2003,6,"SAMRI","ST","JEGMANI DEVI","CPI",5252,4,6.97
"Chhattisgarh",2003,6,"SAMRI","ST","SOMNATH BHAGAT","IND",2544,5,3.38
"Chhattisgarh",2003,6,"SAMRI","ST","SHIVBHAROS LAKARA","IND",1748,6,2.32
"Chhattisgarh",2003,6,"SAMRI","ST","TARKESHWAR","SP",1620,7,2.15
"Chhattisgarh",2003,6,"SAMRI","ST","BIRENDRA","IND",1394,8,1.85
"Chhattisgarh",2003,6,"SAMRI","ST","DINESH KUMAR KUJUR","IND",1255,9,1.67
"Chhattisgarh",2003,7,"LUNDRA","ST","VIJAYA NATH","BJP",34357,1,35.03
"Chhattisgarh",2003,7,"LUNDRA","ST","RAMDEV RAM","INC",34315,2,34.98
"Chhattisgarh",2003,7,"LUNDRA","ST","RAM JIWAN","CPI",10862,3,11.07
"Chhattisgarh",2003,7,"LUNDRA","ST","BHOLA SINGH","NCP",8994,4,9.17
"Chhattisgarh",2003,7,"LUNDRA","ST","VISWANATH","IND",4205,5,4.29
"Chhattisgarh",2003,7,"LUNDRA","ST","DOMANIK","SP",3427,6,3.49
"Chhattisgarh",2003,7,"LUNDRA","ST","RAMCHAL","JMM",1926,7,1.96
"Chhattisgarh",2003,8,"PILKHA","ST","RAMSEWAK PAIKRA","BJP",59967,1,51.31
"Chhattisgarh",2003,8,"PILKHA","ST","CHANDA","IND",687,10,0.59
"Chhattisgarh",2003,8,"PILKHA","ST","PREM SAI","INC",39466,2,33.77
"Chhattisgarh",2003,8,"PILKHA","ST","BIRBAL","CPI",3872,3,3.31
"Chhattisgarh",2003,8,"PILKHA","ST","MAHENDRA PRASAD","IND",3400,4,2.91
"Chhattisgarh",2003,8,"PILKHA","ST","BAL SINGH","CPM",3397,5,2.91
"Chhattisgarh",2003,8,"PILKHA","ST","DUBRAJ SINGH","GGP",2246,6,1.92
"Chhattisgarh",2003,8,"PILKHA","ST","RAGHUWAR","NCP",1795,7,1.54
"Chhattisgarh",2003,8,"PILKHA","ST","NARENDRA KUMAR SINGH","IND",1184,8,1.01
"Chhattisgarh",2003,8,"PILKHA","ST","BERNADET JOSEPH","JMM",860,9,0.74
"Chhattisgarh",2003,9,"AMBIKAPUR","ST","KAMAL BHAN SINGH","BJP",65812,1,53.35
"Chhattisgarh",2003,9,"AMBIKAPUR","ST","MADAN GOPAL SINGH","INC",28590,2,23.18
"Chhattisgarh",2003,9,"AMBIKAPUR","ST","PRABODH MINJ","NCP",14568,3,11.81
"Chhattisgarh",2003,9,"AMBIKAPUR","ST","GURUSHARAN SINGH PAINKARA","BSP",4011,4,3.25
"Chhattisgarh",2003,9,"AMBIKAPUR","ST","SMT FULESWARI SINGH","IND",3935,5,3.19
"Chhattisgarh",2003,9,"AMBIKAPUR","ST","GANJHA RAM THAKUR","SP",2977,6,2.41
"Chhattisgarh",2003,9,"AMBIKAPUR","ST","BANSIDHAR URAWAN","JMM",1406,7,1.14
