"state","year","month","party","seats"
"Chhattisgarh",2003,2,"BJP","55.56"
"Chhattisgarh",2008,2,"BJP","55.56"
"Chhattisgarh",2013,2,"BJP","54.44"
"Chhattisgarh",2003,2,"INC","41.11"
"Chhattisgarh",2008,2,"INC","42.22"
"Chhattisgarh",2013,2,"INC","43.33"
"Chhattisgarh",2003,2,"BSP","2.22"
"Chhattisgarh",2008,2,"BSP","2.22"
"Chhattisgarh",2013,2,"BSP","1.11"
"Chhattisgarh",2003,2,"NCP","1.11"
"Chhattisgarh",2008,2,"NCP","0"
"Chhattisgarh",2013,2,"NCP","0"
"Chhattisgarh",2003,2,"IND","0"
"Chhattisgarh",2008,2,"IND","0"
"Chhattisgarh",2013,2,"IND","1.11"
