"state","year","month","party","votes"
"Chhattisgarh",2003,2,"GGP","1.6"
"Chhattisgarh",2008,2,"GGP","1.59"
"Chhattisgarh",2013,2,"GGP","1.57"
"Chhattisgarh",2003,2,"NCP","7.02"
"Chhattisgarh",2008,2,"NCP","0.52"
"Chhattisgarh",2013,2,"NCP","0.3"
"Chhattisgarh",2003,2,"BJP","39.26"
"Chhattisgarh",2008,2,"BJP","40.34"
"Chhattisgarh",2013,2,"BJP","41.04"
"Chhattisgarh",2003,2,"IND","7.12"
"Chhattisgarh",2008,2,"IND","8.46"
"Chhattisgarh",2013,2,"IND","5.33"
"Chhattisgarh",2003,2,"BSP","4.45"
"Chhattisgarh",2008,2,"BSP","6.11"
"Chhattisgarh",2013,2,"BSP","4.27"
"Chhattisgarh",2003,2,"INC","36.71"
"Chhattisgarh",2008,2,"INC","38.63"
"Chhattisgarh",2013,2,"INC","40.29"
"Chhattisgarh",2003,2,"CPI","1.08"
"Chhattisgarh",2008,2,"CPI","1.12"
"Chhattisgarh",2013,2,"CPI","0.66"
"Chhattisgarh",2013,2,"NOTA","3.07"
"Chhattisgarh",2013,2,"CSM","1.73"
