"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Chhattisgarh",2003,2,1,3,1,1,"GULAB SINGH","M","INC",41515,NA,NA,112627,173471,"MANENDRAGARH","ST",NA,NA,11,64.93,36.86,"no",7526,6.68,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,1,10,"GAMBHIR SINGH","M","LSWP",1026,NA,NA,112627,173471,"MANENDRAGARH","ST",NA,NA,11,64.93,0.91,"no",28,0.02,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,1,11,"SAMAY LAL GURUJI","M","LJNSP",998,NA,NA,112627,173471,"MANENDRAGARH","ST",NA,NA,11,64.93,0.89,"no",0,0,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,1,2,"RAM LAKHAN SINGH","M","BJP",33989,NA,NA,112627,173471,"MANENDRAGARH","ST",NA,NA,11,64.93,30.18,"no",21374,18.98,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,1,3,"DR. L.S. UDAY","M","GGP",12615,NA,NA,112627,173471,"MANENDRAGARH","ST",NA,NA,11,64.93,11.2,"no",2167,1.92,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,1,4,"CHHOTE LAL","M","NCP",10448,NA,NA,112627,173471,"MANENDRAGARH","ST",NA,NA,11,64.93,9.28,"no",5550,4.93,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,1,5,"VIMAL KUMAR","M","IND",4898,NA,NA,112627,173471,"MANENDRAGARH","ST",NA,NA,11,64.93,4.35,"no",2138,1.9,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,1,6,"DRIGPAL SINGH UIKAY","M","BSP",2760,NA,NA,112627,173471,"MANENDRAGARH","ST",NA,NA,11,64.93,2.45,"no",1093,0.97,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,1,7,"MAN SINGH","M","IND",1667,NA,NA,112627,173471,"MANENDRAGARH","ST",NA,NA,11,64.93,1.48,"no",192,0.17,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,1,8,"BHAGWAN SINGH","M","SP",1475,NA,NA,112627,173471,"MANENDRAGARH","ST",NA,NA,11,64.93,1.31,"no",239,0.21,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,1,9,"BUDDHSEN SINGH","M","JD(U)",1236,NA,NA,112627,173471,"MANENDRAGARH","ST",NA,NA,11,64.93,1.1,"no",210,0.19,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,2,1,"DR. RAM CHANDRA SINGH DEV","M","INC",51107,NA,NA,121903,175583,"BAIKUNTHPUR","GEN",NA,NA,10,69.43,41.92,"no",7970,6.54,"1 RAJPUT","UC","H",NA,NA
"Chhattisgarh",2003,2,1,3,2,10,"KRISHANA SINGH BABA","M","IND",901,NA,NA,121903,175583,"BAIKUNTHPUR","GEN",NA,NA,10,69.43,0.74,"no",0,0,"","","",NA,NA
"Chhattisgarh",2003,2,1,3,2,2,"BHAIYA LAL RAJWADE","M","BJP",43137,NA,NA,121903,175583,"BAIKUNTHPUR","GEN",NA,NA,10,69.43,35.39,"no",32818,26.92,"","","",NA,NA
"Chhattisgarh",2003,2,1,3,2,3,"PRAKASH TIWARI","M","NCP",10319,NA,NA,121903,175583,"BAIKUNTHPUR","GEN",NA,NA,10,69.43,8.46,"no",4625,3.79,"1 BRAHMIN","UC","H",NA,NA
"Chhattisgarh",2003,2,1,3,2,4,"KAMLESHWAR PRASAD","M","GGP",5694,NA,NA,121903,175583,"BAIKUNTHPUR","GEN",NA,NA,10,69.43,4.67,"no",1850,1.52,"","","",NA,NA
"Chhattisgarh",2003,2,1,3,2,5,"D.L.BHASKAR","M","BSP",3844,NA,NA,121903,175583,"BAIKUNTHPUR","GEN",NA,NA,10,69.43,3.15,"no",1081,0.89,"","","",NA,NA
"Chhattisgarh",2003,2,1,3,2,6,"HEERA LAL","M","IND",2763,NA,NA,121903,175583,"BAIKUNTHPUR","GEN",NA,NA,10,69.43,2.27,"no",1060,0.87,"","","",NA,NA
"Chhattisgarh",2003,2,1,3,2,7,"BALBHADRA PANDEY","M","CPM",1703,NA,NA,121903,175583,"BAIKUNTHPUR","GEN",NA,NA,10,69.43,1.4,"no",345,0.28,"1 BRAHMIN","UC","H",NA,NA
"Chhattisgarh",2003,2,1,3,2,8,"PT. ANIL 'MAHRAJ'","M","IND",1358,NA,NA,121903,175583,"BAIKUNTHPUR","GEN",NA,NA,10,69.43,1.11,"no",281,0.23,"","","",NA,NA
"Chhattisgarh",2003,2,1,3,2,9,"MANI LAL RAJWADE","M","SP",1077,NA,NA,121903,175583,"BAIKUNTHPUR","GEN",NA,NA,10,69.43,0.88,"no",176,0.14,"","","",NA,NA
"Chhattisgarh",2003,2,1,3,3,1,"RENUKA SINGH","F","BJP",48363,NA,NA,96914,136646,"PREMNAGAR","ST",NA,NA,6,70.92,49.9,"no",17752,18.32,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,3,2,"TULESHWAR SINGH","M","INC",30611,NA,NA,96914,136646,"PREMNAGAR","ST",NA,NA,6,70.92,31.59,"no",24543,25.32,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,3,3,"RAM MANOHAR SINGH","M","GGP",6068,NA,NA,96914,136646,"PREMNAGAR","ST",NA,NA,6,70.92,6.26,"no",723,0.75,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,3,4,"CHANDAN SINGH","M","NCP",5345,NA,NA,96914,136646,"PREMNAGAR","ST",NA,NA,6,70.92,5.52,"no",1759,1.82,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,3,5,"SETAN SINGH","M","IND",3586,NA,NA,96914,136646,"PREMNAGAR","ST",NA,NA,6,70.92,3.7,"no",645,0.67,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,3,6,"BUDHIMAN SINGH","M","SP",2941,NA,NA,96914,136646,"PREMNAGAR","ST",NA,NA,6,70.92,3.03,"no",0,0,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,4,1,"SHIV PRATAP SINGH","M","BJP",51228,NA,NA,95473,139874,"SURAJPUR","ST",NA,NA,8,68.26,53.66,"no",27511,28.82,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,4,2,"BHANU PRATAP SINGH","M","INC",23717,NA,NA,95473,139874,"SURAJPUR","ST",NA,NA,8,68.26,24.84,"no",14300,14.98,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,4,3,"SANTLAL SINGH","M","IND",9417,NA,NA,95473,139874,"SURAJPUR","ST",NA,NA,8,68.26,9.86,"no",5541,5.8,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,4,4,"SHIV BACHAN","M","NCP",3876,NA,NA,95473,139874,"SURAJPUR","ST",NA,NA,8,68.26,4.06,"no",290,0.3,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,4,5,"SOMARU SINGH","M","SP",3586,NA,NA,95473,139874,"SURAJPUR","ST",NA,NA,8,68.26,3.76,"no",1893,1.98,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,4,6,"DEO NARAYAN","M","IND",1693,NA,NA,95473,139874,"SURAJPUR","ST",NA,NA,8,68.26,1.77,"no",577,0.6,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,4,7,"JAINATH SINGH","M","GGP",1116,NA,NA,95473,139874,"SURAJPUR","ST",NA,NA,8,68.26,1.17,"no",276,0.29,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,1,3,4,8,"KHEMRAJ SINGH","M","IND",840,NA,NA,95473,139874,"SURAJPUR","ST",NA,NA,8,68.26,0.88,"no",0,0,"5 OTHERS","ST","",NA,NA
