"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Chhattisgarh",2003,10,1,"SITAPUR","AMARJEET",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,10,2,"SITAPUR","RAJA RAM BHAGAT",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,10,3,"SITAPUR","AMAR SINGH",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,10,4,"SITAPUR","FUL SAI LAKRA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,10,5,"SITAPUR","BHUNESWAR SINGH PAINKARA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,10,6,"SITAPUR","NET RAM",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,10,7,"SITAPUR","AALAM SAI GHICHHA MANJHI",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,10,8,"SITAPUR","SHIRACHAND",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,1,1,"MANENDRAGARH","GULAB SINGH",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,1,10,"MANENDRAGARH","GAMBHIR SINGH",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,1,11,"MANENDRAGARH","SAMAY LAL GURUJI",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,11,1,"BAGICHA","GANESH RAM BHAGAT",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,11,2,"BAGICHA","ANAND LAL KUJUR",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,11,3,"BAGICHA","RAM MUNI",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,11,4,"BAGICHA","JOWAKIM",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,11,5,"BAGICHA","HEMLATA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,11,6,"BAGICHA","INJOR SAI",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,11,7,"BAGICHA","JEEVAN",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,11,8,"BAGICHA","ANDHERIAS",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,11,9,"BAGICHA","RAMVRISHA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,1,2,"MANENDRAGARH","RAM LAKHAN SINGH",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,12,1,"JASHPUR","RAJ SHARAN BHAGAT",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,12,2,"JASHPUR","VIKARAM BHAGAT",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,12,3,"JASHPUR","MANOHAR MINJ",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,12,4,"JASHPUR","ANANT DAN MINJ",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,12,5,"JASHPUR","SUBHASH",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,12,6,"JASHPUR","TULSI BAIGA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,12,7,"JASHPUR","JAIPRAKASH",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,1,3,"MANENDRAGARH","DR. L.S. UDAY",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,13,1,"TAPKARA","BHARAT SAI",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,13,2,"TAPKARA","MOHAN SAI",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,13,3,"TAPKARA","JOLPHOLHEM",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,13,4,"TAPKARA","THEODOR",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,13,5,"TAPKARA","MEGHNATH SAI",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,13,6,"TAPKARA","PARMANAND",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,1,4,"MANENDRAGARH","CHHOTE LAL",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,14,1,"PATHALGAON","RAMPUKAR SINGH",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,14,2,"PATHALGAON","VISHNUDEV SAI",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,14,3,"PATHALGAON","NEHRU LAKDA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,14,4,"PATHALGAON","AMRIT",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,14,5,"PATHALGAON","PURAN SINGH",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,1,5,"MANENDRAGARH","VIMAL KUMAR",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,15,1,"DHARAMJAIGARH","OM PRAKASH RATHIA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,15,2,"DHARAMJAIGARH","CHANESH RAM RATHIA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,15,3,"DHARAMJAIGARH","SHYAM SUNDER RATHIA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,15,4,"DHARAMJAIGARH","SADHU RAM RATHIA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,15,5,"DHARAMJAIGARH","BALAK RAM RATHIA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,15,6,"DHARAMJAIGARH","HARICHAND",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,15,7,"DHARAMJAIGARH","JALINDHAR RATHIA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,1,6,"MANENDRAGARH","DRIGPAL SINGH UIKAY",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,16,1,"LAILUNGA","SATYANAND RATHIA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,16,2,"LAILUNGA","PREM SINGH SIDAR",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,16,3,"LAILUNGA","CHAIT RAM",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,16,4,"LAILUNGA","AKABAR SINGH SIDAR JAGAT",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,16,5,"LAILUNGA","RAM PRASAD PAIKARA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,16,6,"LAILUNGA","GOVIND SINGH NETI",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,16,7,"LAILUNGA","SHASHI BHUSHAN",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,1,7,"MANENDRAGARH","MAN SINGH",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,17,1,"RAIGARH","VIJAY AGRAWAL",NA,"1 BANIA/JAIN","UC","H",NA,NA
"Chhattisgarh",2003,17,10,"RAIGARH","JAGAN PRASAD",NA,"","","",NA,NA
"Chhattisgarh",2003,17,11,"RAIGARH","KAMRISH SINGH",NA,"","","",NA,NA
"Chhattisgarh",2003,17,2,"RAIGARH","KRISHNA KUMAR",NA,"","","",NA,NA
"Chhattisgarh",2003,17,3,"RAIGARH","SANTOSH RAI",NA,"1 BHUMIHAR","UC","H",NA,NA
"Chhattisgarh",2003,17,4,"RAIGARH","PT. KESHAVA PRASAD MISHRA",NA,"1 BRAHMIN","UC","H",NA,NA
"Chhattisgarh",2003,17,5,"RAIGARH","VIJAY BHAIYA",NA,"","","",NA,NA
"Chhattisgarh",2003,17,6,"RAIGARH","RAM KUMAR",NA,"","","",NA,NA
"Chhattisgarh",2003,17,7,"RAIGARH","RAZZAQ SABARI",NA,"6 MUSLIM","MUSLIM","M",NA,NA
"Chhattisgarh",2003,17,8,"RAIGARH","JEVAN LAL",NA,"","","",NA,NA
"Chhattisgarh",2003,17,9,"RAIGARH","NATWAR LAL DEWANGAN",NA,"","","",NA,NA
"Chhattisgarh",2003,1,8,"MANENDRAGARH","BHAGWAN SINGH",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,18,1,"KHARSIA","NAND KUMAR PATEL",NA,"3 AGHARIA","OBC","H",NA,NA
"Chhattisgarh",2003,18,2,"KHARSIA","LAXMI PRASAD PATEL",NA,"3 KURMI","OBC","H",NA,NA
"Chhattisgarh",2003,18,3,"KHARSIA","VISHNU TIWARI",NA,"1 BRAHMIN","UC","H",NA,NA
"Chhattisgarh",2003,18,4,"KHARSIA","HARI LAL PATEL",NA,"3 KURMI","OBC","H",NA,NA
"Chhattisgarh",2003,18,5,"KHARSIA","SHANT KUMAR",NA,"","","",NA,NA
"Chhattisgarh",2003,18,6,"KHARSIA","BHAIYA LAL",NA,"","","",NA,NA
"Chhattisgarh",2003,18,7,"KHARSIA","UJAGAR LAL VARMA",NA,"","","",NA,NA
"Chhattisgarh",2003,1,9,"MANENDRAGARH","BUDDHSEN SINGH",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,19,1,"SARIA","DR. SHAKAJEET NAYAK",NA,"3 AGHARIA","OBC","H",NA,NA
"Chhattisgarh",2003,19,10,"SARIA","DAYARAM",NA,"","","",NA,NA
"Chhattisgarh",2003,19,2,"SARIA","VIRAJESHWAR PRADHAN",NA,"","","",NA,NA
"Chhattisgarh",2003,19,3,"SARIA","JAGANATH PANIGRAHI",NA,"","","",NA,NA
"Chhattisgarh",2003,19,4,"SARIA","DR. PARIVESH MISHRA",NA,"","","",NA,NA
"Chhattisgarh",2003,19,5,"SARIA","NEM CHAND AGRAWAL",NA,"1 BANIA/JAIN","UC","H",NA,NA
"Chhattisgarh",2003,19,6,"SARIA","JAWAHAR LAL",NA,"","","",NA,NA
"Chhattisgarh",2003,19,7,"SARIA","TATHAGAT SHRIVASTAVA",NA,"1 KAYASTH","UC","H",NA,NA
"Chhattisgarh",2003,19,8,"SARIA","NANDE RAM",NA,"","","",NA,NA
"Chhattisgarh",2003,19,9,"SARIA","ROHIT KUMAR",NA,"","","",NA,NA
"Chhattisgarh",2003,20,1,"SARANGARH","KU. KAMDA JOLHE",NA,"4 OTHERS","SC","H",NA,NA
"Chhattisgarh",2003,20,10,"SARANGARH","DHANKA",NA,"4 OTHERS","SC","H",NA,NA
"Chhattisgarh",2003,20,11,"SARANGARH","PILA RAM ANANT",NA,"4 OTHERS","SC","H",NA,NA
"Chhattisgarh",2003,20,2,"SARANGARH","SHYAM SUNDER",NA,"4 OTHERS","SC","H",NA,NA
"Chhattisgarh",2003,20,3,"SARANGARH","RAVI BHARDWAJ",NA,"4 OTHERS","SC","H",NA,NA
"Chhattisgarh",2003,20,4,"SARANGARH","SHAMSHER SINGH",NA,"4 OTHERS","SC","H",NA,NA
"Chhattisgarh",2003,20,5,"SARANGARH","PURI RAM CHAUHAN",NA,"4 OTHERS","SC","H",NA,NA
"Chhattisgarh",2003,20,6,"SARANGARH","NANDAU",NA,"4 OTHERS","SC","H",NA,NA
"Chhattisgarh",2003,20,7,"SARANGARH","GHURAU RAM SARTHI",NA,"4 OTHERS","SC","H",NA,NA
"Chhattisgarh",2003,20,8,"SARANGARH","AJESH",NA,"4 OTHERS","SC","H",NA,NA
"Chhattisgarh",2003,20,9,"SARANGARH","MOHAN LAL",NA,"4 OTHERS","SC","H",NA,NA
"Chhattisgarh",2003,2,1,"BAIKUNTHPUR","DR. RAM CHANDRA SINGH DEV",NA,"1 RAJPUT","UC","H",NA,NA
"Chhattisgarh",2003,2,10,"BAIKUNTHPUR","KRISHANA SINGH BABA",NA,"","","",NA,NA
"Chhattisgarh",2003,21,1,"RAMPUR","NANKI RAM",NA,"5 KANWAR","ST","",NA,NA
"Chhattisgarh",2003,21,10,"RAMPUR","MAHETTAR SINGH KORRAM",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,21,11,"RAMPUR","KU. LATA SINGH",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,21,2,"RAMPUR","PYARE LAL",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,21,3,"RAMPUR","DURGA PRASAD RATHIYA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,21,4,"RAMPUR","BUDHWAR SINGH",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,21,5,"RAMPUR","SHYAMLAL KANWAR",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,21,6,"RAMPUR","D.L. MARKAM",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,21,7,"RAMPUR","HEMLATA",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,21,8,"RAMPUR","SONKUNWAR",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,21,9,"RAMPUR","KALYAN SINGH TANWAR",NA,"5 OTHERS","ST","",NA,NA
"Chhattisgarh",2003,2,2,"BAIKUNTHPUR","BHAIYA LAL RAJWADE",NA,"","","",NA,NA
"Chhattisgarh",2003,22,1,"KATGHORA","BODHRAM KANWAR",NA,"5 KANWAR","ST","",NA,NA
"Chhattisgarh",2003,22,10,"KATGHORA","ASLAM JUGNU",NA,"","","",NA,NA
"Chhattisgarh",2003,22,11,"KATGHORA","SANTRAM BHARIYA",NA,"","","",NA,NA
"Chhattisgarh",2003,22,12,"KATGHORA","SHYAM YADAV",NA,"3 YADAV","OBC","H",NA,NA
"Chhattisgarh",2003,22,13,"KATGHORA","CHHATLAL YADAV",NA,"3 YADAV","OBC","H",NA,NA
"Chhattisgarh",2003,22,14,"KATGHORA","BHARAT LAL CHAUHAN",NA,"","","",NA,NA
"Chhattisgarh",2003,22,15,"KATGHORA","RAJESH KUMAR",NA,"","","",NA,NA
"Chhattisgarh",2003,22,16,"KATGHORA","CHAITI DEVI MAHANT",NA,"","","",NA,NA
"Chhattisgarh",2003,22,17,"KATGHORA","CHANDRABHUSAN MAHATO",NA,"3 KURMI","OBC","H",NA,NA
"Chhattisgarh",2003,22,2,"KATGHORA","BANWARI LAL (BANWARI BHAIYYA)",NA,"1 BANIA/JAIN","UC","H",NA,NA
"Chhattisgarh",2003,22,3,"KATGHORA","RAVI KUMAR MARAR (PATEL)",NA,"3 KURMI","OBC","H",NA,NA
"Chhattisgarh",2003,22,4,"KATGHORA","BADRI PRASHAD RATHORE (GURUJI)",NA,"1 RAJPUT","UC","H",NA,NA
"Chhattisgarh",2003,22,5,"KATGHORA","SANAND DAS DIWAN",NA,"","","",NA,NA
"Chhattisgarh",2003,22,6,"KATGHORA","JANAK DAS KULDIP",NA,"","","",NA,NA
"Chhattisgarh",2003,22,7,"KATGHORA","NAUSHAD",NA,"6 MUSLIM","MUSLIM","M",NA,NA
