"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Chhattisgarh",2003,1,"GULAB SINGH","M","INC",41515,NA,NA,1
"Chhattisgarh",2003,1,"RAM LAKHAN SINGH","M","BJP",33989,NA,NA,2
"Chhattisgarh",2003,1,"DR. L.S. UDAY","M","GGP",12615,NA,NA,3
"Chhattisgarh",2003,1,"CHHOTE LAL","M","NCP",10448,NA,NA,4
"Chhattisgarh",2003,1,"VIMAL KUMAR","M","IND",4898,NA,NA,5
"Chhattisgarh",2003,1,"DRIGPAL SINGH UIKAY","M","BSP",2760,NA,NA,6
"Chhattisgarh",2003,1,"MAN SINGH","M","IND",1667,NA,NA,7
"Chhattisgarh",2003,1,"BHAGWAN SINGH","M","SP",1475,NA,NA,8
"Chhattisgarh",2003,1,"BUDDHSEN SINGH","M","JD(U)",1236,NA,NA,9
"Chhattisgarh",2003,1,"GAMBHIR SINGH","M","LSWP",1026,NA,NA,10
"Chhattisgarh",2003,1,"SAMAY LAL GURUJI","M","LJNSP",998,NA,NA,11
"Chhattisgarh",2003,2,"DR. RAM CHANDRA SINGH DEV","M","INC",51107,NA,NA,1
"Chhattisgarh",2003,2,"BHAIYA LAL RAJWADE","M","BJP",43137,NA,NA,2
"Chhattisgarh",2003,2,"PRAKASH TIWARI","M","NCP",10319,NA,NA,3
"Chhattisgarh",2003,2,"KAMLESHWAR PRASAD","M","GGP",5694,NA,NA,4
"Chhattisgarh",2003,2,"D.L.BHASKAR","M","BSP",3844,NA,NA,5
"Chhattisgarh",2003,2,"HEERA LAL","M","IND",2763,NA,NA,6
"Chhattisgarh",2003,2,"BALBHADRA PANDEY","M","CPM",1703,NA,NA,7
"Chhattisgarh",2003,2,"PT. ANIL 'MAHRAJ'","M","IND",1358,NA,NA,8
"Chhattisgarh",2003,2,"MANI LAL RAJWADE","M","SP",1077,NA,NA,9
"Chhattisgarh",2003,2,"KRISHANA SINGH BABA","M","IND",901,NA,NA,10
"Chhattisgarh",2003,3,"RENUKA SINGH","F","BJP",48363,NA,NA,1
"Chhattisgarh",2003,3,"TULESHWAR SINGH","M","INC",30611,NA,NA,2
"Chhattisgarh",2003,3,"RAM MANOHAR SINGH","M","GGP",6068,NA,NA,3
"Chhattisgarh",2003,3,"CHANDAN SINGH","M","NCP",5345,NA,NA,4
"Chhattisgarh",2003,3,"SETAN SINGH","M","IND",3586,NA,NA,5
"Chhattisgarh",2003,3,"BUDHIMAN SINGH","M","SP",2941,NA,NA,6
"Chhattisgarh",2003,4,"SHIV PRATAP SINGH","M","BJP",51228,NA,NA,1
"Chhattisgarh",2003,4,"BHANU PRATAP SINGH","M","INC",23717,NA,NA,2
"Chhattisgarh",2003,4,"SANTLAL SINGH","M","IND",9417,NA,NA,3
"Chhattisgarh",2003,4,"SHIV BACHAN","M","NCP",3876,NA,NA,4
"Chhattisgarh",2003,4,"SOMARU SINGH","M","SP",3586,NA,NA,5
"Chhattisgarh",2003,4,"DEO NARAYAN","M","IND",1693,NA,NA,6
"Chhattisgarh",2003,4,"JAINATH SINGH","M","GGP",1116,NA,NA,7
"Chhattisgarh",2003,4,"KHEMRAJ SINGH","M","IND",840,NA,NA,8
"Chhattisgarh",2003,5,"RAMVICHAR NETAAM","M","BJP",36309,NA,NA,1
"Chhattisgarh",2003,5,"BRIHASPAT SINGH","M","IND",26096,NA,NA,2
"Chhattisgarh",2003,5,"RAMSAGAR","M","INC",18979,NA,NA,3
"Chhattisgarh",2003,5,"DEO SAI","M","NCP",13068,NA,NA,4
"Chhattisgarh",2003,5,"MUNSHI RAM","M","IND",4509,NA,NA,5
"Chhattisgarh",2003,5,"HARIKESWAR SINGH MARKAM","M","CPI",3985,NA,NA,6
"Chhattisgarh",2003,5,"AKHILESH KUMAR","M","IND",1852,NA,NA,7
"Chhattisgarh",2003,5,"ASHA DEVI","F","GGP",1544,NA,NA,8
"Chhattisgarh",2003,5,"MIKHAEL EKKA","M","SP",1495,NA,NA,9
"Chhattisgarh",2003,6,"SIDHANATH","M","BJP",31878,NA,NA,1
"Chhattisgarh",2003,6,"MAHESWAR PAIKARA","M","INC",18496,NA,NA,2
"Chhattisgarh",2003,6,"PARASNATH","M","NCP",9669,NA,NA,3
"Chhattisgarh",2003,6,"JEGMANI DEVI","F","CPI",5252,NA,NA,4
"Chhattisgarh",2003,6,"SOMNATH BHAGAT","M","IND",2544,NA,NA,5
"Chhattisgarh",2003,6,"SHIVBHAROS LAKARA","M","IND",1748,NA,NA,6
"Chhattisgarh",2003,6,"TARKESHWAR","M","SP",1620,NA,NA,7
"Chhattisgarh",2003,6,"BIRENDRA","M","IND",1394,NA,NA,8
"Chhattisgarh",2003,6,"DINESH KUMAR KUJUR","M","IND",1255,NA,NA,9
"Chhattisgarh",2003,6,"PRABHA BHAGAT","F","IND",767,NA,NA,10
"Chhattisgarh",2003,6,"JILESHWAR RAM","M","IND",716,NA,NA,11
"Chhattisgarh",2003,7,"VIJAYA NATH","M","BJP",34357,NA,NA,1
"Chhattisgarh",2003,7,"RAMDEV RAM","M","INC",34315,NA,NA,2
"Chhattisgarh",2003,7,"RAM JIWAN","M","CPI",10862,NA,NA,3
"Chhattisgarh",2003,7,"BHOLA SINGH","M","NCP",8994,NA,NA,4
"Chhattisgarh",2003,7,"VISWANATH","M","IND",4205,NA,NA,5
"Chhattisgarh",2003,7,"DOMANIK","M","SP",3427,NA,NA,6
"Chhattisgarh",2003,7,"RAMCHAL","M","JMM",1926,NA,NA,7
"Chhattisgarh",2003,8,"RAMSEWAK PAIKRA","M","BJP",59967,NA,NA,1
"Chhattisgarh",2003,8,"PREM SAI","M","INC",39466,NA,NA,2
"Chhattisgarh",2003,8,"BIRBAL","M","CPI",3872,NA,NA,3
"Chhattisgarh",2003,8,"MAHENDRA PRASAD","M","IND",3400,NA,NA,4
"Chhattisgarh",2003,8,"BAL SINGH","M","CPM",3397,NA,NA,5
"Chhattisgarh",2003,8,"DUBRAJ SINGH","M","GGP",2246,NA,NA,6
"Chhattisgarh",2003,8,"RAGHUWAR","M","NCP",1795,NA,NA,7
"Chhattisgarh",2003,8,"NARENDRA KUMAR SINGH","M","IND",1184,NA,NA,8
"Chhattisgarh",2003,8,"BERNADET JOSEPH","F","JMM",860,NA,NA,9
"Chhattisgarh",2003,8,"CHANDA","F","IND",687,NA,NA,10
"Chhattisgarh",2003,9,"KAMAL BHAN SINGH","M","BJP",65812,NA,NA,1
"Chhattisgarh",2003,9,"MADAN GOPAL SINGH","M","INC",28590,NA,NA,2
"Chhattisgarh",2003,9,"PRABODH MINJ","M","NCP",14568,NA,NA,3
"Chhattisgarh",2003,9,"GURUSHARAN SINGH PAINKARA","M","BSP",4011,NA,NA,4
"Chhattisgarh",2003,9,"SMT FULESWARI SINGH","F","IND",3935,NA,NA,5
"Chhattisgarh",2003,9,"GANJHA RAM THAKUR","M","SP",2977,NA,NA,6
"Chhattisgarh",2003,9,"BANSIDHAR URAWAN","M","JMM",1406,NA,NA,7
"Chhattisgarh",2003,9,"DEVNARAYAN SINGH","M","IND",1069,NA,NA,8
"Chhattisgarh",2003,9,"PRAVEEN KUMAR","M","IND",995,NA,NA,9
"Chhattisgarh",2003,10,"AMARJEET","M","INC",35369,NA,NA,1
"Chhattisgarh",2003,10,"RAJA RAM BHAGAT","M","BJP",30267,NA,NA,2
"Chhattisgarh",2003,10,"AMAR SINGH","M","NCP",9037,NA,NA,3
"Chhattisgarh",2003,10,"FUL SAI LAKRA","M","IND",3083,NA,NA,4
"Chhattisgarh",2003,10,"BHUNESWAR SINGH PAINKARA","M","SP",1575,NA,NA,5
"Chhattisgarh",2003,10,"NET RAM","M","IND",1547,NA,NA,6
"Chhattisgarh",2003,10,"AALAM SAI GHICHHA MANJHI","M","IND",1294,NA,NA,7
"Chhattisgarh",2003,10,"SHIRACHAND","M","JMM",789,NA,NA,8
"Chhattisgarh",2003,11,"GANESH RAM BHAGAT","M","BJP",43846,NA,NA,1
"Chhattisgarh",2003,11,"ANAND LAL KUJUR","M","INC",33274,NA,NA,2
"Chhattisgarh",2003,11,"RAM MUNI","F","IND",2456,NA,NA,3
"Chhattisgarh",2003,11,"JOWAKIM","M","NCP",1996,NA,NA,4
"Chhattisgarh",2003,11,"HEMLATA","F","BSP",1857,NA,NA,5
"Chhattisgarh",2003,11,"INJOR SAI","M","IND",1290,NA,NA,6
"Chhattisgarh",2003,11,"JEEVAN","M","IND",1132,NA,NA,7
"Chhattisgarh",2003,11,"ANDHERIAS","M","IND",797,NA,NA,8
"Chhattisgarh",2003,11,"RAMVRISHA","M","JMM",576,NA,NA,9
"Chhattisgarh",2003,12,"RAJ SHARAN BHAGAT","M","BJP",45295,NA,NA,1
"Chhattisgarh",2003,12,"VIKARAM BHAGAT","M","INC",35732,NA,NA,2
"Chhattisgarh",2003,12,"MANOHAR MINJ","M","NCP",3320,NA,NA,3
"Chhattisgarh",2003,12,"ANANT DAN MINJ","M","IND",2050,NA,NA,4
"Chhattisgarh",2003,12,"SUBHASH","M","BSP",1709,NA,NA,5
"Chhattisgarh",2003,12,"TULSI BAIGA","F","GGP",1041,NA,NA,6
"Chhattisgarh",2003,12,"JAIPRAKASH","M","JMM",1019,NA,NA,7
"Chhattisgarh",2003,13,"BHARAT SAI","M","BJP",42213,NA,NA,1
"Chhattisgarh",2003,13,"MOHAN SAI","M","INC",28622,NA,NA,2
"Chhattisgarh",2003,13,"JOLPHOLHEM","M","IND",8284,NA,NA,3
"Chhattisgarh",2003,13,"THEODOR","M","BSP",3982,NA,NA,4
"Chhattisgarh",2003,13,"MEGHNATH SAI","M","NCP",2234,NA,NA,5
"Chhattisgarh",2003,13,"PARMANAND","M","JMM",1823,NA,NA,6
