"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Chhattisgarh",2003,1,"MANENDRAGARH","ST",173471
"Chhattisgarh",2003,2,"BAIKUNTHPUR","GEN",175583
"Chhattisgarh",2003,3,"PREMNAGAR","ST",136646
"Chhattisgarh",2003,4,"SURAJPUR","ST",139874
"Chhattisgarh",2003,5,"PAL","ST",169279
"Chhattisgarh",2003,6,"SAMRI","ST",128697
"Chhattisgarh",2003,7,"LUNDRA","ST",143235
"Chhattisgarh",2003,8,"PILKHA","ST",169604
"Chhattisgarh",2003,9,"AMBIKAPUR","ST",184121
"Chhattisgarh",2003,10,"SITAPUR","ST",119397
"Chhattisgarh",2003,11,"BAGICHA","ST",120993
"Chhattisgarh",2003,12,"JASHPUR","ST",119888
"Chhattisgarh",2003,13,"TAPKARA","ST",117163
"Chhattisgarh",2003,14,"PATHALGAON","ST",129353
"Chhattisgarh",2003,15,"DHARAMJAIGARH","ST",128276
"Chhattisgarh",2003,16,"LAILUNGA","ST",121852
"Chhattisgarh",2003,17,"RAIGARH","GEN",147066
"Chhattisgarh",2003,18,"KHARSIA","GEN",138716
"Chhattisgarh",2003,19,"SARIA","GEN",121178
"Chhattisgarh",2003,20,"SARANGARH","SC",134114
"Chhattisgarh",2003,21,"RAMPUR","ST",148622
"Chhattisgarh",2003,22,"KATGHORA","GEN",276074
"Chhattisgarh",2003,23,"TANAKHAR","ST",165839
"Chhattisgarh",2003,24,"MARWAHI","ST",139963
"Chhattisgarh",2003,25,"KOTA","GEN",139743
"Chhattisgarh",2003,26,"LORMI","GEN",162021
"Chhattisgarh",2003,27,"MUNGELI","SC",151499
"Chhattisgarh",2003,28,"JARHAGAON","SC",135797
"Chhattisgarh",2003,29,"TAKHATPUR","GEN",132064
"Chhattisgarh",2003,30,"BILASPUR","GEN",210249
"Chhattisgarh",2003,31,"BILHA","GEN",147345
"Chhattisgarh",2003,32,"MASTURI","SC",166072
"Chhattisgarh",2003,33,"SIPAT","GEN",133301
"Chhattisgarh",2003,34,"AKALTARA","GEN",164259
"Chhattisgarh",2003,35,"PAMGARH","GEN",180330
"Chhattisgarh",2003,36,"CHAMPA","GEN",164786
"Chhattisgarh",2003,37,"SAKTI","GEN",134727
"Chhattisgarh",2003,38,"MALKHARODA","SC",159854
"Chhattisgarh",2003,39,"CHANDRAPUR","GEN",123950
"Chhattisgarh",2003,40,"RAIPUR TOWN","GEN",183193
"Chhattisgarh",2003,41,"RAIPUR RURAL","GEN",341682
"Chhattisgarh",2003,42,"ABHANPUR","GEN",141268
"Chhattisgarh",2003,43,"MANDIRHASOD","GEN",82127
"Chhattisgarh",2003,44,"ARANG","SC",129199
"Chhattisgarh",2003,45,"DHARSIWA","GEN",165752
"Chhattisgarh",2003,46,"BHATAPARA","GEN",152904
"Chhattisgarh",2003,47,"BALODA BAZAR","GEN",156327
"Chhattisgarh",2003,48,"PALLARI","SC",147750
"Chhattisgarh",2003,49,"KASDOL","GEN",166188
"Chhattisgarh",2003,50,"BHATGAON","SC",148982
"Chhattisgarh",2003,51,"RAJIM","GEN",160809
"Chhattisgarh",2003,52,"BINDRANAWAGARH","ST",154292
"Chhattisgarh",2003,53,"SARAIPALI","GEN",137111
"Chhattisgarh",2003,54,"BASNA","GEN",129445
"Chhattisgarh",2003,55,"KHALLARI","GEN",131336
"Chhattisgarh",2003,56,"MAHASAMUND","GEN",139316
"Chhattisgarh",2003,57,"SIHAWA","ST",131185
"Chhattisgarh",2003,58,"KURUD","GEN",144590
"Chhattisgarh",2003,59,"DHAMTARI","GEN",163822
"Chhattisgarh",2003,60,"BHANUPRATAPPUR","ST",147694
"Chhattisgarh",2003,61,"KANKER","ST",133092
"Chhattisgarh",2003,62,"NARAYANPUR","ST",142249
"Chhattisgarh",2003,63,"KESKALA","ST",133619
"Chhattisgarh",2003,64,"KONDAGAON","ST",140604
"Chhattisgarh",2003,65,"BHANPURI","ST",133148
"Chhattisgarh",2003,66,"JAGDALPUR","ST",165944
"Chhattisgarh",2003,67,"KESLUR","ST",127467
"Chhattisgarh",2003,68,"CHITRAKOTE","ST",100661
"Chhattisgarh",2003,69,"DANTEWADA","ST",113625
"Chhattisgarh",2003,70,"KONTA","ST",118715
"Chhattisgarh",2003,71,"BIJAPUR","ST",133665
"Chhattisgarh",2003,72,"MARO","SC",141666
"Chhattisgarh",2003,73,"BEMETARA","GEN",134914
"Chhattisgarh",2003,74,"SAJA","GEN",143704
"Chhattisgarh",2003,75,"DHAMDHA","GEN",153233
"Chhattisgarh",2003,76,"DURG","GEN",334976
"Chhattisgarh",2003,77,"BHILAI","GEN",243634
"Chhattisgarh",2003,78,"PATAN","GEN",166316
"Chhattisgarh",2003,79,"GUNDERDEHI","GEN",127095
"Chhattisgarh",2003,80,"KHERTHA","GEN",128823
"Chhattisgarh",2003,81,"BALOD","GEN",156936
"Chhattisgarh",2003,82,"DONDI LOHARA","ST",146503
"Chhattisgarh",2003,83,"CHOWKI","ST",135281
"Chhattisgarh",2003,84,"KHUJJI","GEN",129640
"Chhattisgarh",2003,85,"DONGARGAON","GEN",112084
"Chhattisgarh",2003,86,"RAJNANDGAON","GEN",148513
"Chhattisgarh",2003,87,"DONGARGARH","SC",139534
"Chhattisgarh",2003,88,"KHAIRAGARH","GEN",142578
"Chhattisgarh",2003,89,"BIRENDRANAGAR","GEN",144197
"Chhattisgarh",2003,90,"KAWARDHA","GEN",161267
