"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Chhattisgarh",4,1,"BHARATPUR-SONHAT","ST","KORIA","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,2,"MANENDRAGARH","GEN","KORIA","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,3,"BAIKUNTHPUR","GEN","KORIA","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,4,"PREMNAGAR","GEN","SURAJPUR","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,5,"BHATGAON","GEN","SURAJPUR","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,6,"PRATAPPUR","ST","SURAJPUR","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,7,"RAMANUJGANJ","ST","BALRAMPUR","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,8,"SAMRI","ST","BALRAMPUR","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,9,"LUNDRA","ST","SURGUJA","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,10,"AMBIKAPUR","GEN","SURGUJA","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,11,"SITAPUR","ST","SURGUJA","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,12,"JASHPUR","ST","JASHPUR","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,13,"KUNKURI","ST","JASHPUR","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,14,"PATHALGAON","ST","JASHPUR","NOTHERN HILLS","Team3 ELM"
"Chhattisgarh",4,15,"LAILUNGA","ST","RAIGARH","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,16,"RAIGARH","GEN","RAIGARH","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,17,"SARANGARH","SC","RAIGARH","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,18,"KHARSIA","GEN","RAIGARH","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,19,"DHARAMJAIGARH","ST","RAIGARH","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,20,"RAMPUR","ST","KORBA","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,21,"KORBA","GEN","KORBA","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,22,"KATGHORA","GEN","KORBA","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,23,"PALI-TANAKHAR","ST","KORBA","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,24,"MARWAHI","ST","BILASPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,25,"KOTA","GEN","BILASPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,26,"LORMI","GEN","MUNGELI","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,27,"MUNGELI","SC","MUNGELI","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,28,"TAKHATPUR","GEN","BILASPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,29,"BILHA","GEN","BILASPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,30,"BILASPUR","GEN","BILASPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,31,"BELTARA","GEN","BILASPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,32,"MASTURI","SC","BILASPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,33,"AKALTARA","GEN","JANJGIR-CHAMPA","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,34,"JANJGIR-CHAMPA","GEN","JANJGIR-CHAMPA","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,35,"SAKTI","GEN","JANJGIR-CHAMPA","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,36,"CHANDRAPUR","GEN","JANJGIR-CHAMPA","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,37,"JAIJAIPUR","GEN","JANJGIR-CHAMPA","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,38,"PAMGARH","SC","JANJGIR-CHAMPA","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,39,"SARAIPALI","SC","MAHASAMUND","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,40,"BASNA","GEN","MAHASAMUND","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,41,"KHALLARI","GEN","MAHASAMUND","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,42,"MAHASAMUND","GEN","MAHASAMUND","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,43,"BILAIGARH","SC","BALODABAZAR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,44,"KASDOL","GEN","BALODABAZAR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,45,"BALODA BAZAR","GEN","BALODABAZAR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,46,"BHATAPARA","GEN","BALODABAZAR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,47,"DHARSIWA","GEN","RAIPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,48,"RAIPUR CITY GRAMIN","GEN","RAIPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,49,"RAIPUR CITY WEST","GEN","RAIPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,50,"RAIPUR CITY NORTH","GEN","RAIPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,51,"RAIPUR CITY SOUTH","GEN","RAIPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,52,"ARANG","SC","RAIPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,53,"ABHANPUR","GEN","RAIPUR","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,54,"RAJIM","GEN","GARIABAND","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,55,"BINDRANAWAGARH","ST","GARIABAND","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,56,"SIHAWA","ST","DHAMTARI","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,57,"KURUD","GEN","DHAMTARI","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,58,"DHAMTARI","GEN","DHAMTARI","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,59,"SANJARI BALOD","GEN","BALOD","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,60,"DONDI LAHARA","ST","BALOD","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,61,"GUNDERDEHI","GEN","BALOD","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,62,"PATAN","GEN","DURG","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,63,"DURG GRAMIN","GEN","DURG","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,64,"DURG CITY","GEN","DURG","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,65,"BHILAI NAGAR","GEN","DURG","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,66,"VAISHALI NAGAR","GEN","DURG","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,67,"AHIWARA","SC","DURG","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,68,"SAJA","GEN","DURG","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,69,"BEMETARA","GEN","BEMETARA","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,70,"NAVAGARH","SC","BEMETARA","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,71,"PANDARIYA","GEN","KABIRDHAM","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,72,"KAWARDHA","GEN","KABIRDHAM","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,73,"KHAIRAGARH","GEN","RAJNANDGAON","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,74,"DONGARGARH","SC","RAJNANDGAON","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,75,"RAJNANDGAON","GEN","RAJNANDGAON","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,76,"DONGARGAON","GEN","RAJNANDGAON","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,77,"KHUJJI","GEN","RAJNANDGAON","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,78,"MOHALA-MANPUR","ST","RAJNANDGAON","CHHATTISGARH PLAINS","Team3 ELM"
"Chhattisgarh",4,79,"ANTAGARH","ST","UTTAR BASTAR KANKER","BASTAR PLATEAU","Team3 ELM"
"Chhattisgarh",4,80,"BHANUPRATAPPUR","ST","UTTAR BASTAR KANKER","BASTAR PLATEAU","Team3 ELM"
"Chhattisgarh",4,81,"KANKER","ST","UTTAR BASTAR KANKER","BASTAR PLATEAU","Team3 ELM"
"Chhattisgarh",4,82,"KESHKAL","ST","KONDAGAON","BASTAR PLATEAU","Team3 ELM"
"Chhattisgarh",4,83,"KONDAGAON","ST","KONDAGAON","BASTAR PLATEAU","Team3 ELM"
"Chhattisgarh",4,84,"NARAINPUR","ST","KONDAGAON","BASTAR PLATEAU","Team3 ELM"
"Chhattisgarh",4,85,"BASTAR","ST","BASTAR (JAGDALPUR)","BASTAR PLATEAU","Team3 ELM"
"Chhattisgarh",4,86,"JAGDALPUR","GEN","BASTAR (JAGDALPUR)","BASTAR PLATEAU","Team3 ELM"
"Chhattisgarh",4,87,"CHITRAKOT","ST","BASTAR (JAGDALPUR)","BASTAR PLATEAU","Team3 ELM"
"Chhattisgarh",4,88,"DANTEWARA","ST","DAKSHIN BASTAR DANTEWADA","BASTAR PLATEAU","Team3 ELM"
"Chhattisgarh",4,89,"BIJAPUR","ST","BIJAPUR","BASTAR PLATEAU","Team3 ELM"
"Chhattisgarh",4,90,"KONTA","ST","SUKUMA","BASTAR PLATEAU","Team3 ELM"
