"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Delhi",2,1972,2,1,"SAROJINI NAGAR",67.13,52.82,"General",29444,1116,2,1,"Male","INC",10441,"P. N. SINGH",5.65,"RAM BHAJ","BJS","M",NA
"Delhi",2,1972,2,2,"LAKSHMI BAI NAGAR",61.9,61.21,"General",28711,4152,3,1,"Male","INC",10878,"ARJUN DAS",23.36,"KIDAR NATH SACHDEVA","BJS","M",NA
"Delhi",2,1972,2,3,"GOLE MARKET",62.95,42.69,"General",29432,3166,7,1,"Male","INC",7909,"ASOKE CHATTERJEE",17.09,"MOHINDER PAL CHAWLA","BJS","M",NA
"Delhi",2,1972,2,4,"PRITHVI RAJ ROAD",64.13,59.21,"General",23980,3123,5,1,"Female","INC",9105,"PUSHPA DEVI GUPTA",20.31,"RAJ WADHWA","BJS","M",NA
"Delhi",2,1972,2,5,"BARAKHAMBA",57.12,68.66,"General",26187,5811,3,1,"Male","INC",10271,"A. L. RALIA RAM",38.85,"OM PRAKASH SHARMA","BJS","M",NA
"Delhi",2,1972,2,6,"MINTO ROAD",65.52,59.65,"General",19280,4454,9,1,"Male","INC",7536,"SURINDER SAINI",35.26,"VINOD BHUSHAN SRIVASTVA","BJS","M",NA
"Delhi",2,1972,2,7,"JANGPURA",69.38,58.07,"General",26078,3169,4,1,"Male","INC",10507,"JAG PRAVESH CHANDER",17.52,"INDER MOHAN SEHGAL","BJS","M",NA
"Delhi",2,1972,2,8,"KASTURBA NAGAR",53.64,58.65,"SC",39983,4395,4,1,"Male","INC",12578,"C. L. BALMIKI",20.49,"SANWAL DAS","BJS","M",NA
"Delhi",2,1972,2,9,"LAJPAT NAGAR",71.22,50.1,"General",50185,1127,3,1,"Female","INC",17908,"ARCHNA",3.15,"RAM LAL VERMA","BJS","M",NA
"Delhi",2,1972,2,10,"KALKAJI",62.71,61.37,"General",63837,9683,5,1,"Male","INC",24570,"V. P. SINGH",24.19,"S. P. BANNERJI","BJS","M",NA
"Delhi",2,1972,2,11,"RAMAKRISHNAPURAM",60.75,56.84,"General",90923,8926,6,1,"Male","INC",31395,"JAGDISH CHANDER",16.16,"ONKAR SINGH","BJS","M",NA
"Delhi",2,1972,2,12,"DELHI CANTONMENT",62.94,74.83,"General",24026,7509,2,1,"Male","INC",11316,"BRIJ LAL DUA",49.65,"DEV RAJ SOOD","BJS","M",NA
"Delhi",2,1972,2,13,"RAJINDER NAGAR",69,50.89,"General",48327,895,5,1,"Male","INC",16968,"THAKUR DAS",2.68,"RAM NATH VIJ","BJS","M",NA
"Delhi",2,1972,2,14,"ASHOK NAGAR",71.83,56.95,"General",41425,4543,4,1,"Male","INC",16948,"RAJANDER KUMAR TANWAR",15.27,"LOK VIR SINGH","BJS","M",NA
"Delhi",2,1972,2,15,"SUBHASH NAGAR",71.62,53.32,"General",60970,4088,8,1,"Male","INC",23283,"MANMOHAN SINGH",9.36,"DEVKI NANDAN SHASTRI","BJS","M",NA
"Delhi",2,1972,2,16,"MOTI NAGAR",69.96,51.59,"General",53780,1878,4,1,"Male","INC",19410,"K. C. MALIK",4.99,"TILAK RAJ VERMA","BJS","M",NA
"Delhi",2,1972,2,17,"SHAKURBASTI",67.4,57.63,"General",71128,9287,7,1,"Male","CPI",27630,"SRI CHAND",19.37,"BANARSI DAS","BJS","M",NA
"Delhi",2,1972,2,18,"BADLI",61.44,59.92,"SC",46705,8377,5,1,"Male","INC",17194,"MOOL CHAND",29.19,"ROSHAN LAL","BJS","M",NA
"Delhi",2,1972,2,19,"NARELA",82.14,56.29,"General",27562,4339,5,1,"Male","INC",12744,"HEERA SINGH",19.17,"BABU RAM TYAGI","BJS","M",NA
