"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Delhi",1972,1,"SAROJINI NAGAR","GEN","P. N. SINGH","INC",10441,1,52.82
"Delhi",1972,1,"SAROJINI NAGAR","GEN","RAM BHAJ","BJS",9325,2,47.18
"Delhi",1972,2,"LAKSHMI BAI NAGAR","GEN","ARJUN DAS","INC",10878,1,61.21
"Delhi",1972,2,"LAKSHMI BAI NAGAR","GEN","KIDAR NATH SACHDEVA","BJS",6726,2,37.84
"Delhi",1972,2,"LAKSHMI BAI NAGAR","GEN","CHANDAN","IND",169,3,0.95
"Delhi",1972,3,"GOLE MARKET","GEN","ASOKE CHATTERJEE","INC",7909,1,42.69
"Delhi",1972,3,"GOLE MARKET","GEN","MOHINDER PAL CHAWLA","BJS",4743,2,25.6
"Delhi",1972,3,"GOLE MARKET","GEN","KHEM CHAND","IND",2187,3,11.81
"Delhi",1972,3,"GOLE MARKET","GEN","S. L. KAPUR","NCO",1709,4,9.22
"Delhi",1972,3,"GOLE MARKET","GEN","RAM PARSHAD","IND",1180,5,6.37
"Delhi",1972,3,"GOLE MARKET","GEN","M. K. GUPTA","IND",606,6,3.27
"Delhi",1972,3,"GOLE MARKET","GEN","GUNA NAND","SOP",192,7,1.04
"Delhi",1972,4,"PRITHVI RAJ ROAD","GEN","PUSHPA DEVI GUPTA","INC",9105,1,59.21
"Delhi",1972,4,"PRITHVI RAJ ROAD","GEN","RAJ WADHWA","BJS",5982,2,38.9
"Delhi",1972,4,"PRITHVI RAJ ROAD","GEN","M. S. SANDHU","IND",134,3,0.87
"Delhi",1972,4,"PRITHVI RAJ ROAD","GEN","BABU LAL KAROTIA","IND",84,4,0.55
"Delhi",1972,4,"PRITHVI RAJ ROAD","GEN","KRISHAN CHAND","IND",73,5,0.47
"Delhi",1972,5,"BARAKHAMBA","GEN","A. L. RALIA RAM","INC",10271,1,68.66
"Delhi",1972,5,"BARAKHAMBA","GEN","OM PRAKASH SHARMA","BJS",4460,2,29.81
"Delhi",1972,5,"BARAKHAMBA","GEN","DEEP CHAND UTSAHI","IND",228,3,1.52
"Delhi",1972,6,"MINTO ROAD","GEN","SURINDER SAINI","INC",7536,1,59.65
"Delhi",1972,6,"MINTO ROAD","GEN","VINOD BHUSHAN SRIVASTVA","BJS",3082,2,24.4
"Delhi",1972,6,"MINTO ROAD","GEN","RAMESH CHANDER","IND",524,3,4.15
"Delhi",1972,6,"MINTO ROAD","GEN","JAGRAM","IND",501,4,3.97
"Delhi",1972,6,"MINTO ROAD","GEN","NATHU RAM","IND",419,5,3.32
"Delhi",1972,6,"MINTO ROAD","GEN","TASEEP KHAN","IND",282,6,2.23
"Delhi",1972,6,"MINTO ROAD","GEN","SHAMBHU PARSHAD","IND",151,7,1.2
"Delhi",1972,6,"MINTO ROAD","GEN","RAM RATTAN","RPI",94,8,0.74
"Delhi",1972,6,"MINTO ROAD","GEN","NOOR JAHAN","IND",44,9,0.35
"Delhi",1972,7,"JANGPURA","GEN","JAG PRAVESH CHANDER","INC",10507,1,58.07
"Delhi",1972,7,"JANGPURA","GEN","INDER MOHAN SEHGAL","BJS",7338,2,40.56
"Delhi",1972,7,"JANGPURA","GEN","NATHU RAM","RPI",157,3,0.87
"Delhi",1972,7,"JANGPURA","GEN","DILIP SINGH","IND",91,4,0.5
"Delhi",1972,8,"KASTURBA NAGAR","SC","C. L. BALMIKI","INC",12578,1,58.65
"Delhi",1972,8,"KASTURBA NAGAR","SC","SANWAL DAS","BJS",8183,2,38.16
"Delhi",1972,8,"KASTURBA NAGAR","SC","SHIBBU","RPI",535,3,2.49
"Delhi",1972,8,"KASTURBA NAGAR","SC","RAM PRASAD","SWA",149,4,0.69
"Delhi",1972,9,"LAJPAT NAGAR","GEN","ARCHNA","INC",17908,1,50.1
"Delhi",1972,9,"LAJPAT NAGAR","GEN","RAM LAL VERMA","BJS",16781,2,46.95
"Delhi",1972,9,"LAJPAT NAGAR","GEN","MOHAN SINGH","RPI",1055,3,2.95
"Delhi",1972,10,"KALKAJI","GEN","V. P. SINGH","INC",24570,1,61.37
"Delhi",1972,10,"KALKAJI","GEN","S. P. BANNERJI","BJS",14887,2,37.19
"Delhi",1972,10,"KALKAJI","GEN","SHYAM LAL GAUR","SOP",301,3,0.75
"Delhi",1972,10,"KALKAJI","GEN","UJAGAR SINGH","IND",154,4,0.38
"Delhi",1972,10,"KALKAJI","GEN","IZHARULHAQ","IND",122,5,0.3
"Delhi",1972,11,"RAMAKRISHNAPURAM","GEN","JAGDISH CHANDER","INC",31395,1,56.84
"Delhi",1972,11,"RAMAKRISHNAPURAM","GEN","ONKAR SINGH","BJS",22469,2,40.68
"Delhi",1972,11,"RAMAKRISHNAPURAM","GEN","BUDH RAM","IND",402,3,0.73
"Delhi",1972,11,"RAMAKRISHNAPURAM","GEN","BHARAT SINGH","RPI",393,4,0.71
"Delhi",1972,11,"RAMAKRISHNAPURAM","GEN","PRITAM SINGH","IND",359,5,0.65
"Delhi",1972,11,"RAMAKRISHNAPURAM","GEN","HOTI RAM","SWA",218,6,0.39
"Delhi",1972,12,"DELHI CANTONMENT","GEN","BRIJ LAL DUA","INC",11316,1,74.83
"Delhi",1972,12,"DELHI CANTONMENT","GEN","DEV RAJ SOOD","BJS",3807,2,25.17
"Delhi",1972,13,"RAJINDER NAGAR","GEN","THAKUR DAS","INC",16968,1,50.89
"Delhi",1972,13,"RAJINDER NAGAR","GEN","RAM NATH VIJ","BJS",16073,2,48.2
"Delhi",1972,13,"RAJINDER NAGAR","GEN","FAQUIR CHAND","SWA",193,3,0.58
"Delhi",1972,13,"RAJINDER NAGAR","GEN","ZILE SINGH","IND",60,4,0.18
"Delhi",1972,13,"RAJINDER NAGAR","GEN","SOAM DATT JOSHI","IND",50,5,0.15
"Delhi",1972,14,"ASHOK NAGAR","GEN","RAJANDER KUMAR TANWAR","INC",16948,1,56.95
"Delhi",1972,14,"ASHOK NAGAR","GEN","LOK VIR SINGH","BJS",12405,2,41.69
"Delhi",1972,14,"ASHOK NAGAR","GEN","PYARA LAL","IND",349,3,1.17
"Delhi",1972,14,"ASHOK NAGAR","GEN","GURDIT SINGH TUNG","IND",55,4,0.18
"Delhi",1972,15,"SUBHASH NAGAR","GEN","MANMOHAN SINGH","INC",23283,1,53.32
"Delhi",1972,15,"SUBHASH NAGAR","GEN","DEVKI NANDAN SHASTRI","BJS",19195,2,43.96
"Delhi",1972,15,"SUBHASH NAGAR","GEN","PRATAB SINGH","NCO",406,3,0.93
"Delhi",1972,15,"SUBHASH NAGAR","GEN","S. N. SHARMA","IND",284,4,0.65
"Delhi",1972,15,"SUBHASH NAGAR","GEN","BALBIR SINGH","IND",172,5,0.39
"Delhi",1972,15,"SUBHASH NAGAR","GEN","HARI RAM DUBEY","SOP",160,6,0.37
"Delhi",1972,15,"SUBHASH NAGAR","GEN","GHANSHYAM SHARMA SHASTRI","IND",85,7,0.19
"Delhi",1972,15,"SUBHASH NAGAR","GEN","AMAR SINGH","IND",82,8,0.19
"Delhi",1972,16,"MOTI NAGAR","GEN","K. C. MALIK","INC",19410,1,51.59
"Delhi",1972,16,"MOTI NAGAR","GEN","TILAK RAJ VERMA","BJS",17532,2,46.6
"Delhi",1972,16,"MOTI NAGAR","GEN","PREM NATH","NCO",356,3,0.95
"Delhi",1972,16,"MOTI NAGAR","GEN","KANHAYA LAL","IND",326,4,0.87
"Delhi",1972,17,"SHAKURBASTI","GEN","SRI CHAND","CPI",27630,1,57.63
"Delhi",1972,17,"SHAKURBASTI","GEN","BANARSI DAS","BJS",18343,2,38.26
"Delhi",1972,17,"SHAKURBASTI","GEN","DHARAM PAL GANDHI","NCO",964,3,2.01
"Delhi",1972,17,"SHAKURBASTI","GEN","S. N. PRAKASH","IND",579,4,1.21
"Delhi",1972,17,"SHAKURBASTI","GEN","LAXMI NARAIN","SOP",218,5,0.45
"Delhi",1972,17,"SHAKURBASTI","GEN","HARKIRAT SINGH","IND",113,6,0.24
"Delhi",1972,17,"SHAKURBASTI","GEN","KISHAN LAL","IND",96,7,0.2
"Delhi",1972,18,"BADLI","SC","MOOL CHAND","INC",17194,1,59.92
"Delhi",1972,18,"BADLI","SC","ROSHAN LAL","BJS",8817,2,30.73
"Delhi",1972,18,"BADLI","SC","ANOOP SINGH","SOP",1226,3,4.27
"Delhi",1972,18,"BADLI","SC","RAMJI LAL","IND",979,4,3.41
"Delhi",1972,18,"BADLI","SC","RAM CHANDER","IND",480,5,1.67
"Delhi",1972,19,"NARELA","GEN","HEERA SINGH","INC",12744,1,56.29
"Delhi",1972,19,"NARELA","GEN","BABU RAM TYAGI","BJS",8405,2,37.12
"Delhi",1972,19,"NARELA","GEN","NARAIN SINGH","IND",949,3,4.19
"Delhi",1972,19,"NARELA","GEN","ASHA RAM","IND",322,4,1.42
"Delhi",1972,19,"NARELA","GEN","RAM KISHAN","IND",220,5,0.97
"Delhi",1972,20,"BAWANA","GEN","TEK CHAND","IND",11828,1,51.32
"Delhi",1972,20,"BAWANA","GEN","RAM SINGH","INC",6870,2,29.81
"Delhi",1972,20,"BAWANA","GEN","BALBIR SINGH","BJS",3309,3,14.36
"Delhi",1972,20,"BAWANA","GEN","RAM KALA","IND",729,4,3.16
"Delhi",1972,20,"BAWANA","GEN","BANI SINGH","NCO",251,5,1.09
"Delhi",1972,20,"BAWANA","GEN","GANGA SAROOP","IND",62,6,0.27
"Delhi",1972,21,"NANGLOI","GEN","BHARAT SINGH","INC",18633,1,55.68
"Delhi",1972,21,"NANGLOI","GEN","SUNDER SINGH","BJS",8917,2,26.65
"Delhi",1972,21,"NANGLOI","GEN","KANSHI RAM","IND",4618,3,13.8
"Delhi",1972,21,"NANGLOI","GEN","MUNSHI RAM","NCO",1140,4,3.41
"Delhi",1972,21,"NANGLOI","GEN","CHARAN SINGH","IND",157,5,0.47
"Delhi",1972,22,"NAJAFGARH","GEN","MUKAM SINGH","INC",7318,1,30.19
"Delhi",1972,22,"NAJAFGARH","GEN","SURAJ BHAN","IND",7266,2,29.98
"Delhi",1972,22,"NAJAFGARH","GEN","RISAL SINGH","BJS",5659,3,23.35
"Delhi",1972,22,"NAJAFGARH","GEN","BALDEV SINGH","IND",3736,4,15.42
"Delhi",1972,22,"NAJAFGARH","GEN","TILAK RAM","IND",257,5,1.06
"Delhi",1972,23,"PALAM","GEN","MANGE RAM","INC",13007,1,57.43
"Delhi",1972,23,"PALAM","GEN","RAM DHAN","BJS",4906,2,21.66
"Delhi",1972,23,"PALAM","GEN","OM PRAKASH","IND",2926,3,12.92
"Delhi",1972,23,"PALAM","GEN","THAN SINGH","NCO",1811,4,8
"Delhi",1972,24,"TUGHLAQABAD","SC","PREM SINGH","INC",16407,1,48.25
"Delhi",1972,24,"TUGHLAQABAD","SC","KALKA DASS","BJS",15268,2,44.9
"Delhi",1972,24,"TUGHLAQABAD","SC","DEV DATT","NCO",1447,3,4.26
"Delhi",1972,24,"TUGHLAQABAD","SC","MANGAL RAM","RPI",651,4,1.91
"Delhi",1972,24,"TUGHLAQABAD","SC","CHHOTEY LAL","IND",228,5,0.67
"Delhi",1972,25,"GEETA COLONY","GEN","BRIJ LAL GOSWAMI","INC",15418,1,52.82
"Delhi",1972,25,"GEETA COLONY","GEN","AMAR CHAND SHNBH","BJS",13137,2,45.01
"Delhi",1972,25,"GEETA COLONY","GEN","BRIJ LAL","IND",348,3,1.19
"Delhi",1972,25,"GEETA COLONY","GEN","INDER KUMAR","IND",121,4,0.41
"Delhi",1972,25,"GEETA COLONY","GEN","KARTAR SINGH","IND",99,5,0.34
"Delhi",1972,25,"GEETA COLONY","GEN","MADAN LAL SAPRA","SOP",67,6,0.23
"Delhi",1972,26,"GANDHI NAGAR","GEN","INDER SINGH AZAD","INC",21646,1,53.53
"Delhi",1972,26,"GANDHI NAGAR","GEN","SOM NATH","BJS",17569,2,43.45
"Delhi",1972,26,"GANDHI NAGAR","GEN","LEEL CHAND","RPI",793,3,1.96
"Delhi",1972,26,"GANDHI NAGAR","GEN","THAKUR CHAND","SWA",336,4,0.83
"Delhi",1972,26,"GANDHI NAGAR","GEN","AZIZUDDIN NARYI","SOP",94,5,0.23
"Delhi",1972,27,"SHAHDARA","GEN","RAM NARAIN","INC",17373,1,56.09
"Delhi",1972,27,"SHAHDARA","GEN","PARMESHWARI DASS","BJS",12474,2,40.28
"Delhi",1972,27,"SHAHDARA","GEN","KHEM CHAND","RPI",899,3,2.9
"Delhi",1972,27,"SHAHDARA","GEN","TIRATH RAM","IND",226,4,0.73
"Delhi",1972,28,"GHONDA","GEN","HARGAIN SINGH","INC",28315,1,55.92
"Delhi",1972,28,"GHONDA","GEN","DEVKI NANDAN SHARMA","BJS",17534,2,34.63
"Delhi",1972,28,"GHONDA","GEN","IMDAD SABRI","RPI",2352,3,4.64
"Delhi",1972,28,"GHONDA","GEN","BHIKHARI LAL","IND",1235,4,2.44
"Delhi",1972,28,"GHONDA","GEN","JOGINDER SINGH","IND",394,5,0.78
"Delhi",1972,28,"GHONDA","GEN","RAM DAYAL","IND",385,6,0.76
