"state","year","month","party","votes"
"Delhi",1972,2,"INC","48.54"
"Delhi",1977,2,"INC","36.15"
"Delhi",1983,2,"INC","47.5"
"Delhi",1993,2,"INC","34.49"
"Delhi",1998,2,"INC","47.76"
"Delhi",2003,2,"INC","48.13"
"Delhi",2008,2,"INC","40.31"
"Delhi",2013,2,"INC","24.55"
"Delhi",2015,2,"INC","9.65"
"Delhi",1972,2,"BJS","38.47"
"Delhi",1972,2,"RPI","1.21"
"Delhi",1977,2,"RPI","0"
"Delhi",1993,2,"RPI","0.02"
"Delhi",1998,2,"RPI","0.02"
"Delhi",2003,2,"RPI","0"
"Delhi",2015,2,"RPI","0"
"Delhi",1972,2,"IND","5.57"
"Delhi",1977,2,"IND","7.65"
"Delhi",1983,2,"IND","7.42"
"Delhi",1993,2,"IND","5.87"
"Delhi",1998,2,"IND","8.7"
"Delhi",2003,2,"IND","4.85"
"Delhi",2008,2,"IND","3.91"
"Delhi",2013,2,"IND","2.93"
"Delhi",2015,2,"IND","0.53"
"Delhi",1972,2,"NCO","1.96"
"Delhi",1972,2,"CPI","3.86"
"Delhi",1977,2,"CPI","3.18"
"Delhi",1983,2,"CPI","0.25"
"Delhi",1993,2,"CPI","0.22"
"Delhi",1998,2,"CPI","0.04"
"Delhi",2003,2,"CPI","0.02"
"Delhi",2008,2,"CPI","0.05"
"Delhi",2013,2,"CPI","0.08"
"Delhi",2015,2,"CPI","0.03"
"Delhi",1977,2,"JNP","52.58"
"Delhi",1983,2,"JNP","3.7"
"Delhi",1977,2,"MUL","0.16"
"Delhi",1977,2,"CPM","0.15"
"Delhi",1983,2,"CPM","0.06"
"Delhi",1993,2,"CPM","0.38"
"Delhi",1998,2,"CPM","0.17"
"Delhi",2003,2,"CPM","0.11"
"Delhi",2008,2,"CPM","0.08"
"Delhi",2013,2,"CPM","0.03"
"Delhi",2015,2,"CPM","0.01"
"Delhi",1983,2,"BJP","36.83"
"Delhi",1993,2,"BJP","42.84"
"Delhi",1998,2,"BJP","34.03"
"Delhi",2003,2,"BJP","35.22"
"Delhi",2008,2,"BJP","36.33"
"Delhi",2013,2,"BJP","33.07"
"Delhi",2015,2,"BJP","32.19"
"Delhi",1983,2,"LKD","4.15"
"Delhi",1993,2,"LKD","0.05"
"Delhi",1993,2,"BSP","1.88"
"Delhi",1998,2,"BSP","3.09"
"Delhi",2003,2,"BSP","5.76"
"Delhi",2008,2,"BSP","14.05"
"Delhi",2013,2,"BSP","5.35"
"Delhi",2015,2,"BSP","1.3"
"Delhi",1993,2,"JD","12.65"
"Delhi",1998,2,"JD","1.8"
"Delhi",1993,2,"SP","0.5"
"Delhi",1998,2,"SP","0.48"
"Delhi",2003,2,"SP","0.65"
"Delhi",2008,2,"SP","0.49"
"Delhi",2013,2,"SP","0.22"
"Delhi",1998,2,"INLD","0.95"
"Delhi",2003,2,"INLD","0.25"
"Delhi",2013,2,"INLD","0.57"
"Delhi",2015,2,"INLD","0.61"
"Delhi",2003,2,"NCP","2.24"
"Delhi",2008,2,"NCP","1.38"
"Delhi",2013,2,"NCP","0.11"
"Delhi",2015,2,"NCP","0.02"
"Delhi",2003,2,"JD(S)","0.75"
"Delhi",2008,2,"JD(S)","0.02"
"Delhi",2008,2,"LJP","1.35"
"Delhi",2013,2,"LJP","0.17"
"Delhi",2013,2,"AAAP","29.5"
"Delhi",2015,2,"AAAP","54.34"
"Delhi",2013,2,"SAD","0.91"
"Delhi",2015,2,"SAD","0.5"
