"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Delhi",1972,2,2,2,1,1,"P. N. SINGH","M","INC",10441,NA,NA,19766,29444,"SAROJINI NAGAR","GEN",NA,NA,2,67.13,52.82,"no",1116,5.65,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,1,2,"RAM BHAJ","M","BJS",9325,NA,NA,19766,29444,"SAROJINI NAGAR","GEN",NA,NA,2,67.13,47.18,"no",0,0,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,2,1,"ARJUN DAS","M","INC",10878,NA,NA,17773,28711,"LAKSHMI BAI NAGAR","GEN",NA,NA,3,61.9,61.21,"no",4152,23.36,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,2,2,"KIDAR NATH SACHDEVA","M","BJS",6726,NA,NA,17773,28711,"LAKSHMI BAI NAGAR","GEN",NA,NA,3,61.9,37.84,"no",6557,36.89,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,2,3,"CHANDAN","M","IND",169,NA,NA,17773,28711,"LAKSHMI BAI NAGAR","GEN",NA,NA,3,61.9,0.95,"no",0,0,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,3,1,"ASOKE CHATTERJEE","M","INC",7909,NA,NA,18526,29432,"GOLE MARKET","GEN",NA,NA,7,62.95,42.69,"no",3166,17.09,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,3,2,"MOHINDER PAL CHAWLA","M","BJS",4743,NA,NA,18526,29432,"GOLE MARKET","GEN",NA,NA,7,62.95,25.6,"no",2556,13.8,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,3,3,"KHEM CHAND","M","IND",2187,NA,NA,18526,29432,"GOLE MARKET","GEN",NA,NA,7,62.95,11.81,"no",478,2.58,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,3,4,"S. L. KAPUR","M","NCO",1709,NA,NA,18526,29432,"GOLE MARKET","GEN",NA,NA,7,62.95,9.22,"no",529,2.86,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,3,5,"RAM PARSHAD","M","IND",1180,NA,NA,18526,29432,"GOLE MARKET","GEN",NA,NA,7,62.95,6.37,"no",574,3.1,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,3,6,"M. K. GUPTA","M","IND",606,NA,NA,18526,29432,"GOLE MARKET","GEN",NA,NA,7,62.95,3.27,"no",414,2.23,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,3,7,"GUNA NAND","M","SOP",192,NA,NA,18526,29432,"GOLE MARKET","GEN",NA,NA,7,62.95,1.04,"no",0,0,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,4,1,"PUSHPA DEVI GUPTA","F","INC",9105,NA,NA,15378,23980,"PRITHVI RAJ ROAD","GEN",NA,NA,5,64.13,59.21,"no",3123,20.31,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,4,2,"RAJ WADHWA","M","BJS",5982,NA,NA,15378,23980,"PRITHVI RAJ ROAD","GEN",NA,NA,5,64.13,38.9,"no",5848,38.03,NA,NA,NA,NA,NA
"Delhi",1972,2,2,2,4,3,"M. S. SANDHU","M","IND",134,NA,NA,15378,23980,"PRITHVI RAJ ROAD","GEN",NA,NA,5,64.13,0.87,"no",50,0.33,NA,NA,NA,NA,NA
