"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Delhi",1972,1,1,"SAROJINI NAGAR","P. N. SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,1,2,"SAROJINI NAGAR","RAM BHAJ",NA,NA,NA,NA,NA,NA
"Delhi",1972,2,1,"LAKSHMI BAI NAGAR","ARJUN DAS",NA,NA,NA,NA,NA,NA
"Delhi",1972,2,2,"LAKSHMI BAI NAGAR","KIDAR NATH SACHDEVA",NA,NA,NA,NA,NA,NA
"Delhi",1972,2,3,"LAKSHMI BAI NAGAR","CHANDAN",NA,NA,NA,NA,NA,NA
"Delhi",1972,3,1,"GOLE MARKET","ASOKE CHATTERJEE",NA,NA,NA,NA,NA,NA
"Delhi",1972,3,2,"GOLE MARKET","MOHINDER PAL CHAWLA",NA,NA,NA,NA,NA,NA
"Delhi",1972,3,3,"GOLE MARKET","KHEM CHAND",NA,NA,NA,NA,NA,NA
"Delhi",1972,3,4,"GOLE MARKET","S. L. KAPUR",NA,NA,NA,NA,NA,NA
"Delhi",1972,3,5,"GOLE MARKET","RAM PARSHAD",NA,NA,NA,NA,NA,NA
"Delhi",1972,3,6,"GOLE MARKET","M. K. GUPTA",NA,NA,NA,NA,NA,NA
"Delhi",1972,3,7,"GOLE MARKET","GUNA NAND",NA,NA,NA,NA,NA,NA
"Delhi",1972,4,1,"PRITHVI RAJ ROAD","PUSHPA DEVI GUPTA",NA,NA,NA,NA,NA,NA
"Delhi",1972,4,2,"PRITHVI RAJ ROAD","RAJ WADHWA",NA,NA,NA,NA,NA,NA
"Delhi",1972,4,3,"PRITHVI RAJ ROAD","M. S. SANDHU",NA,NA,NA,NA,NA,NA
"Delhi",1972,4,4,"PRITHVI RAJ ROAD","BABU LAL KAROTIA",NA,NA,NA,NA,NA,NA
"Delhi",1972,4,5,"PRITHVI RAJ ROAD","KRISHAN CHAND",NA,NA,NA,NA,NA,NA
"Delhi",1972,5,1,"BARAKHAMBA","A. L. RALIA RAM",NA,NA,NA,NA,NA,NA
"Delhi",1972,5,2,"BARAKHAMBA","OM PRAKASH SHARMA",NA,NA,NA,NA,NA,NA
"Delhi",1972,5,3,"BARAKHAMBA","DEEP CHAND UTSAHI",NA,NA,NA,NA,NA,NA
"Delhi",1972,6,1,"MINTO ROAD","SURINDER SAINI",NA,NA,NA,NA,NA,NA
"Delhi",1972,6,2,"MINTO ROAD","VINOD BHUSHAN SRIVASTVA",NA,NA,NA,NA,NA,NA
"Delhi",1972,6,3,"MINTO ROAD","RAMESH CHANDER",NA,NA,NA,NA,NA,NA
"Delhi",1972,6,4,"MINTO ROAD","JAGRAM",NA,NA,NA,NA,NA,NA
"Delhi",1972,6,5,"MINTO ROAD","NATHU RAM",NA,NA,NA,NA,NA,NA
"Delhi",1972,6,6,"MINTO ROAD","TASEEP KHAN",NA,NA,NA,NA,NA,NA
"Delhi",1972,6,7,"MINTO ROAD","SHAMBHU PARSHAD",NA,NA,NA,NA,NA,NA
"Delhi",1972,6,8,"MINTO ROAD","RAM RATTAN",NA,NA,NA,NA,NA,NA
"Delhi",1972,6,9,"MINTO ROAD","NOOR JAHAN",NA,NA,NA,NA,NA,NA
"Delhi",1972,7,1,"JANGPURA","JAG PRAVESH CHANDER",NA,NA,NA,NA,NA,NA
"Delhi",1972,7,2,"JANGPURA","INDER MOHAN SEHGAL",NA,NA,NA,NA,NA,NA
"Delhi",1972,7,3,"JANGPURA","NATHU RAM",NA,NA,NA,NA,NA,NA
"Delhi",1972,7,4,"JANGPURA","DILIP SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,8,1,"KASTURBA NAGAR","C. L. BALMIKI",NA,NA,NA,NA,NA,NA
"Delhi",1972,8,2,"KASTURBA NAGAR","SANWAL DAS",NA,NA,NA,NA,NA,NA
"Delhi",1972,8,3,"KASTURBA NAGAR","SHIBBU",NA,NA,NA,NA,NA,NA
"Delhi",1972,8,4,"KASTURBA NAGAR","RAM PRASAD",NA,NA,NA,NA,NA,NA
"Delhi",1972,9,1,"LAJPAT NAGAR","ARCHNA",NA,NA,NA,NA,NA,NA
"Delhi",1972,9,2,"LAJPAT NAGAR","RAM LAL VERMA",NA,NA,NA,NA,NA,NA
"Delhi",1972,9,3,"LAJPAT NAGAR","MOHAN SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,10,1,"KALKAJI","V. P. SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,10,2,"KALKAJI","S. P. BANNERJI",NA,NA,NA,NA,NA,NA
"Delhi",1972,10,3,"KALKAJI","SHYAM LAL GAUR",NA,NA,NA,NA,NA,NA
"Delhi",1972,10,4,"KALKAJI","UJAGAR SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,10,5,"KALKAJI","IZHARULHAQ",NA,NA,NA,NA,NA,NA
"Delhi",1972,11,1,"RAMAKRISHNAPURAM","JAGDISH CHANDER",NA,NA,NA,NA,NA,NA
"Delhi",1972,11,2,"RAMAKRISHNAPURAM","ONKAR SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,11,3,"RAMAKRISHNAPURAM","BUDH RAM",NA,NA,NA,NA,NA,NA
"Delhi",1972,11,4,"RAMAKRISHNAPURAM","BHARAT SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,11,5,"RAMAKRISHNAPURAM","PRITAM SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,11,6,"RAMAKRISHNAPURAM","HOTI RAM",NA,NA,NA,NA,NA,NA
"Delhi",1972,12,1,"DELHI CANTONMENT","BRIJ LAL DUA",NA,NA,NA,NA,NA,NA
"Delhi",1972,12,2,"DELHI CANTONMENT","DEV RAJ SOOD",NA,NA,NA,NA,NA,NA
"Delhi",1972,13,1,"RAJINDER NAGAR","THAKUR DAS",NA,NA,NA,NA,NA,NA
"Delhi",1972,13,2,"RAJINDER NAGAR","RAM NATH VIJ",NA,NA,NA,NA,NA,NA
"Delhi",1972,13,3,"RAJINDER NAGAR","FAQUIR CHAND",NA,NA,NA,NA,NA,NA
"Delhi",1972,13,4,"RAJINDER NAGAR","ZILE SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,13,5,"RAJINDER NAGAR","SOAM DATT JOSHI",NA,NA,NA,NA,NA,NA
"Delhi",1972,14,1,"ASHOK NAGAR","RAJANDER KUMAR TANWAR",NA,NA,NA,NA,NA,NA
"Delhi",1972,14,2,"ASHOK NAGAR","LOK VIR SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,14,3,"ASHOK NAGAR","PYARA LAL",NA,NA,NA,NA,NA,NA
"Delhi",1972,14,4,"ASHOK NAGAR","GURDIT SINGH TUNG",NA,NA,NA,NA,NA,NA
"Delhi",1972,15,1,"SUBHASH NAGAR","MANMOHAN SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,15,2,"SUBHASH NAGAR","DEVKI NANDAN SHASTRI",NA,NA,NA,NA,NA,NA
"Delhi",1972,15,3,"SUBHASH NAGAR","PRATAB SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,15,4,"SUBHASH NAGAR","S. N. SHARMA",NA,NA,NA,NA,NA,NA
"Delhi",1972,15,5,"SUBHASH NAGAR","BALBIR SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,15,6,"SUBHASH NAGAR","HARI RAM DUBEY",NA,NA,NA,NA,NA,NA
"Delhi",1972,15,7,"SUBHASH NAGAR","GHANSHYAM SHARMA SHASTRI",NA,NA,NA,NA,NA,NA
"Delhi",1972,15,8,"SUBHASH NAGAR","AMAR SINGH",NA,NA,NA,NA,NA,NA
"Delhi",1972,16,1,"MOTI NAGAR","K. C. MALIK",NA,NA,NA,NA,NA,NA
"Delhi",1972,16,2,"MOTI NAGAR","TILAK RAJ VERMA",NA,NA,NA,NA,NA,NA
"Delhi",1972,16,3,"MOTI NAGAR","PREM NATH",NA,NA,NA,NA,NA,NA
