"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Delhi",1972,1,"P. N. SINGH","M","INC",10441,NA,NA,1
"Delhi",1972,1,"RAM BHAJ","M","BJS",9325,NA,NA,2
"Delhi",1972,2,"ARJUN DAS","M","INC",10878,NA,NA,1
"Delhi",1972,2,"KIDAR NATH SACHDEVA","M","BJS",6726,NA,NA,2
"Delhi",1972,2,"CHANDAN","M","IND",169,NA,NA,3
"Delhi",1972,3,"ASOKE CHATTERJEE","M","INC",7909,NA,NA,1
"Delhi",1972,3,"MOHINDER PAL CHAWLA","M","BJS",4743,NA,NA,2
"Delhi",1972,3,"KHEM CHAND","M","IND",2187,NA,NA,3
"Delhi",1972,3,"S. L. KAPUR","M","NCO",1709,NA,NA,4
"Delhi",1972,3,"RAM PARSHAD","M","IND",1180,NA,NA,5
"Delhi",1972,3,"M. K. GUPTA","M","IND",606,NA,NA,6
"Delhi",1972,3,"GUNA NAND","M","SOP",192,NA,NA,7
"Delhi",1972,4,"PUSHPA DEVI GUPTA","F","INC",9105,NA,NA,1
"Delhi",1972,4,"RAJ WADHWA","M","BJS",5982,NA,NA,2
"Delhi",1972,4,"M. S. SANDHU","M","IND",134,NA,NA,3
"Delhi",1972,4,"BABU LAL KAROTIA","M","IND",84,NA,NA,4
"Delhi",1972,4,"KRISHAN CHAND","M","IND",73,NA,NA,5
"Delhi",1972,5,"A. L. RALIA RAM","M","INC",10271,NA,NA,1
"Delhi",1972,5,"OM PRAKASH SHARMA","M","BJS",4460,NA,NA,2
"Delhi",1972,5,"DEEP CHAND UTSAHI","M","IND",228,NA,NA,3
"Delhi",1972,6,"SURINDER SAINI","M","INC",7536,NA,NA,1
"Delhi",1972,6,"VINOD BHUSHAN SRIVASTVA","M","BJS",3082,NA,NA,2
"Delhi",1972,6,"RAMESH CHANDER","M","IND",524,NA,NA,3
"Delhi",1972,6,"JAGRAM","M","IND",501,NA,NA,4
"Delhi",1972,6,"NATHU RAM","M","IND",419,NA,NA,5
"Delhi",1972,6,"TASEEP KHAN","M","IND",282,NA,NA,6
"Delhi",1972,6,"SHAMBHU PARSHAD","M","IND",151,NA,NA,7
"Delhi",1972,6,"RAM RATTAN","M","RPI",94,NA,NA,8
"Delhi",1972,6,"NOOR JAHAN","F","IND",44,NA,NA,9
"Delhi",1972,7,"JAG PRAVESH CHANDER","M","INC",10507,NA,NA,1
"Delhi",1972,7,"INDER MOHAN SEHGAL","M","BJS",7338,NA,NA,2
"Delhi",1972,7,"NATHU RAM","M","RPI",157,NA,NA,3
"Delhi",1972,7,"DILIP SINGH","M","IND",91,NA,NA,4
"Delhi",1972,8,"C. L. BALMIKI","M","INC",12578,NA,NA,1
"Delhi",1972,8,"SANWAL DAS","M","BJS",8183,NA,NA,2
"Delhi",1972,8,"SHIBBU","M","RPI",535,NA,NA,3
"Delhi",1972,8,"RAM PRASAD","M","SWA",149,NA,NA,4
"Delhi",1972,9,"ARCHNA","F","INC",17908,NA,NA,1
"Delhi",1972,9,"RAM LAL VERMA","M","BJS",16781,NA,NA,2
"Delhi",1972,9,"MOHAN SINGH","M","RPI",1055,NA,NA,3
"Delhi",1972,10,"V. P. SINGH","M","INC",24570,NA,NA,1
"Delhi",1972,10,"S. P. BANNERJI","M","BJS",14887,NA,NA,2
"Delhi",1972,10,"SHYAM LAL GAUR","M","SOP",301,NA,NA,3
"Delhi",1972,10,"UJAGAR SINGH","M","IND",154,NA,NA,4
"Delhi",1972,10,"IZHARULHAQ","M","IND",122,NA,NA,5
"Delhi",1972,11,"JAGDISH CHANDER","M","INC",31395,NA,NA,1
"Delhi",1972,11,"ONKAR SINGH","M","BJS",22469,NA,NA,2
"Delhi",1972,11,"BUDH RAM","M","IND",402,NA,NA,3
"Delhi",1972,11,"BHARAT SINGH","M","RPI",393,NA,NA,4
"Delhi",1972,11,"PRITAM SINGH","M","IND",359,NA,NA,5
