"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Delhi",1972,1,"SAROJINI NAGAR","GEN",29444
"Delhi",1972,2,"LAKSHMI BAI NAGAR","GEN",28711
"Delhi",1972,3,"GOLE MARKET","GEN",29432
"Delhi",1972,4,"PRITHVI RAJ ROAD","GEN",23980
"Delhi",1972,5,"BARAKHAMBA","GEN",26187
"Delhi",1972,6,"MINTO ROAD","GEN",19280
"Delhi",1972,7,"JANGPURA","GEN",26078
"Delhi",1972,8,"KASTURBA NAGAR","SC",39983
"Delhi",1972,9,"LAJPAT NAGAR","GEN",50185
"Delhi",1972,10,"KALKAJI","GEN",63837
"Delhi",1972,11,"RAMAKRISHNAPURAM","GEN",90923
"Delhi",1972,12,"DELHI CANTONMENT","GEN",24026
"Delhi",1972,13,"RAJINDER NAGAR","GEN",48327
"Delhi",1972,14,"ASHOK NAGAR","GEN",41425
"Delhi",1972,15,"SUBHASH NAGAR","GEN",60970
"Delhi",1972,16,"MOTI NAGAR","GEN",53780
"Delhi",1972,17,"SHAKURBASTI","GEN",71128
"Delhi",1972,18,"BADLI","SC",46705
"Delhi",1972,19,"NARELA","GEN",27562
"Delhi",1972,20,"BAWANA","GEN",27562
"Delhi",1972,21,"NANGLOI","GEN",56391
"Delhi",1972,22,"NAJAFGARH","GEN",32502
"Delhi",1972,23,"PALAM","GEN",38964
"Delhi",1972,24,"TUGHLAQABAD","SC",57010
"Delhi",1972,25,"GEETA COLONY","GEN",38476
"Delhi",1972,26,"GANDHI NAGAR","GEN",66032
"Delhi",1972,27,"SHAHDARA","GEN",47243
"Delhi",1972,28,"GHONDA","GEN",89271
"Delhi",1972,29,"VIJAY NAGAR","GEN",53678
"Delhi",1972,30,"KAMLA NAGAR","GEN",27279
"Delhi",1972,31,"TIMARPUR","GEN",27462
"Delhi",1972,32,"KASHMERE GATE","GEN",19638
"Delhi",1972,33,"CHANDNI CHOWK","GEN",27017
"Delhi",1972,34,"DARYA GANJ","GEN",21803
