"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Delhi",4,1,"NERELA","GEN","NORTH WEST DELHI","NORTH WEST DELHI","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,2,"BURARI","GEN","NORTH EAST DELHI","NORTH EAST DELHI","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,3,"TIMARPUR","GEN","NORTH EAST DELHI","NORTH EAST DELHI","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,4,"ADARSH NAGAR","GEN","CHANDNI CHOWK","CHANDNI CHOWK","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,5,"BADLI","GEN","NORTH WEST DELHI","NORTH WEST DELHI","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,6,"RITHALA","GEN","NORTH WEST DELHI","NORTH WEST DELHI","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,7,"BAWANA","SC","NORTH WEST DELHI","NORTH WEST DELHI","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,8,"MUNDKA","GEN","NORTH WEST DELHI","NORTH WEST DELHI","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,9,"KIRARI","GEN","NORTH WEST DELHI","NORTH WEST DELHI","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,10,"SULTANPUR MAJRA","SC","NORTH WEST DELHI","NORTH WEST DELHI","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,11,"NANGLOI JAT","GEN","NORTH WEST DELHI","NORTH WEST DELHI","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,12,"MANGOL PURI","SC","NORTH WEST DELHI","NORTH WEST DELHI","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,13,"ROHINI","GEN","NORTH WEST DELHI","NORTH WEST DELHI","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,14,"SHALIMAR BAGH","GEN","CHANDNI CHOWK","CHANDNI CHOWK","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,15,"SHAKUR BASTI","GEN","CHANDNI CHOWK","CHANDNI CHOWK","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,16,"TRI NAGAR","GEN","CHANDNI CHOWK","CHANDNI CHOWK","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,17,"WAZIRPUR","GEN","CHANDNI CHOWK","CHANDNI CHOWK","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,18,"MODEL TOWN","GEN","CHANDNI CHOWK","CHANDNI CHOWK","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,19,"SADAR BAZAR","GEN","CHANDNI CHOWK","CHANDNI CHOWK","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,20,"CHANDNI CHOWK","GEN","CHANDNI CHOWK","CHANDNI CHOWK","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
"Delhi",4,21,"MATIA MAHAL","GEN","CHANDNI CHOWK","CHANDNI CHOWK","DELIMITATION OF PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES ORDER , http://eci.nic.in/eci_main/CurrentElections/CONSOLIDATED_ORDER%20_ECI%20.pdf , http://elections.traceall.in/district-wise-assembly-constituencies-vidhan-sabha-seats-list"
