"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Goa",1,1989,2,1,"MANDREM",78.79,52.61,"General",16645,1281,7,1,"Male","MAG",6900,"KHALAP RAMAKANT DATTARAM",9.77,"POROBO SANGITA GOPAL","INC","F",NA
"Goa",1,1989,2,2,"PERNEM",74.6,62,"General",15294,3529,7,1,"Male","MAG",7074,"SALGOANKAR SHANKAR KASHINATH",30.93,"TALEVNEKAR RAJU BAPU","INC","M",NA
"Goa",1,1989,2,3,"DARGALIM",70.08,74.52,"SC",12530,5425,7,1,"Male","MAG",6544,"MANDREKAR DEU GUNAJI",61.78,"BANDEKAR SHAMBHU BHAU","INC","M",NA
"Goa",1,1989,2,4,"TIVIM",70.83,48.18,"General",19917,2033,11,1,"Male","MAG",6797,"NAIK VINAYAK VITTHAL",14.41,"MAULINGKAR PREMNATH ARJUN","INC","M",NA
"Goa",1,1989,2,5,"MAPUSA",67.08,43.92,"General",19580,2157,7,1,"Male","MAG",5769,"SIRSAT SURENDRA V.",16.42,"D SOUZA FRANCIES C.J.A.","IND","M",NA
"Goa",1,1989,2,6,"SIOLIM",73.44,45.17,"General",19407,13,6,1,"Male","MAG",6438,"NAIK SALAGONKAR ASHOK TUKARAM",0.09,"CHODANKAR CHANDRAKANT URRAM","INC","M",NA
"Goa",1,1989,2,7,"CALANGUTE",72.95,50.42,"General",19526,236,3,1,"Male","INC",7182,"PARULEKAR SURESH VISHWANATH",1.66,"MALIK SURIKANT KESHAV","MAG","M",NA
"Goa",1,1989,2,8,"SALIGAO",75.86,50.98,"General",16107,427,4,1,"Male","INC",6229,"DE SOUZA WILFRED TITO FERMINO",3.49,"AHRENKAR PUNAJI PANDURANG","MAG","M",NA
"Goa",1,1989,2,9,"ALDONA",70.65,50.82,"General",22860,333,3,1,"Male","MAG",8208,"CHOPDEKAR RATNAKAR MADDU",2.06,"NARVEKAR DAYANAND GANESH","INC","M",NA
"Goa",1,1989,2,10,"PANAJI",64.29,39.63,"General",15633,1068,7,1,"Male","INC",3983,"JOAN BAPITSTA FLORINI GONSALVES",10.63,"PUSHPASHIL KRISHNA KERKAR","MAG","M",NA
"Goa",1,1989,2,11,"TALEIGAO",66.22,44.51,"General",17077,1379,9,1,"Male","INC",5034,"SOMNATH DATTTA ZUWARKAR",12.19,"RAMESH RAGHUVIR SILIMKHAN","MAG","M",NA
"Goa",1,1989,2,12,"SANTA CRUZ",67.54,41.03,"General",20671,1297,5,1,"Male","INC",5729,"VICTOR BENAMIN GONSALVES",9.29,"VICTORIA ROMEO FERNANDES","GLP","F",NA
"Goa",1,1989,2,13,"SANTO. ANDRE",71.01,40.29,"General",17816,1370,8,1,"Male","IND",5097,"CARMO RAFAEL ANDRE JOSE PEGADO",10.83,"AMILKAR ADELINO ALVARES","INC","M",NA
"Goa",1,1989,2,14,"CUMBARJUA",71.52,38.51,"General",20496,456,10,1,"Male","MAG",5645,"DHARMA VASSUDEO CHODANKAR",3.11,"NIRMALA PRABHAKAR SAWANT","INC","F",NA
"Goa",1,1989,2,15,"BICHOLIM",74.83,50.74,"General",17026,1568,5,1,"Male","MAG",6465,"RAUT PANDURANG DATTARAM",12.31,"PRABHU ZANTYE HARISH NARAYAN","INC","M",NA
"Goa",1,1989,2,16,"MAEM",75.44,64.33,"General",14875,4612,7,1,"Female","MAG",7218,"KAKODKAR SHASHIKALAL GURUDUTT",41.1,"PARAB GAONKAR MANOHAR GANGARAM","INC","M",NA
"Goa",1,1989,2,17,"PALE",67.46,62.33,"General",19048,5188,14,1,"Male","MAG",8009,"USGONKAR VINAY KUMAR PUNDLIK",40.37,"VERENKAR CHANDRAKANT VISHWANATH","INC","M",NA
"Goa",1,1989,2,18,"PORIEM",77.14,57.99,"General",16166,2105,3,1,"Male","INC",7231,"RANE PRATAPSING RAOJI",16.88,"RANE KRISHNARAO APPASAHEB","MAG","M",NA
"Goa",1,1989,2,19,"VALPOI",76.19,54.91,"General",12993,1130,5,1,"Male","INC",5436,"PRABHU BALKRISHNA (ASHOK JAIRAM)",11.41,"DESAI BABURAO HARIJIRAO","MAG","M",NA
"Goa",1,1989,2,20,"PONDA",66.59,43.33,"General",21530,1945,9,1,"Male","MAG",6212,"SHIVDAS ATAMARAM SHET VEREKAR",13.57,"NAIK MOHAN GOVIND","INC","M",NA
"Goa",1,1989,2,21,"PRIOL",76.23,72.55,"General",21273,7753,6,1,"Male","MAG",11766,"JALMI KASHINATH GOVIND",47.81,"SATKAR BABAL BABUSO","INC","M",NA
"Goa",1,1989,2,22,"MARCAIM",75.08,43.3,"General",20185,1651,12,1,"Male","MAG",6561,"NAIK RAVI SITARAM",10.89,"SHAM MAHANANDU NAIK","INC","M",NA
"Goa",1,1989,2,23,"SIRODA",74.83,42.18,"General",19154,285,10,1,"Male","INC",6046,"SIRODKAR SUBHAS ANKUSH",1.99,"NAIK RAMDAS TOPYO","MAG","M",NA
"Goa",1,1989,2,24,"MORMUGAO",57.5,37.47,"General",25038,212,9,1,"Male","INC",5394,"SHAIKH HASSAN HAROON",1.47,"VEZ JOHN MANUEL HENRIQUES","MAG","M",NA
"Goa",1,1989,2,25,"VASCO DA GAMA",60.75,36.91,"General",22498,325,9,1,"Male","INC",5045,"D'SONZA SIMON PETER",2.38,"MENEZAS MESQUITA WILFRED","MAG","M",NA
"Goa",1,1989,2,26,"CORTALIM",72.21,40.08,"General",20566,836,3,1,"Male","INC",5953,"GODINHO MAUVIN",5.63,"VALADARES FRANCISCO","IND","M",NA
"Goa",1,1989,2,27,"LOUTOLIM",67.7,37.4,"General",16085,115,5,1,"Male","INC",4073,"BARBOSA LUIS PROTO ALEIXO",1.06,"FERNANDES SEDY ANTONIO","IND","M",NA
"Goa",1,1989,2,28,"BENAULIM",74.5,70.44,"General",17524,5554,4,1,"Male","INC",9196,"ALIMNO CHURCHIL BRAZ",42.54,"PINTO NAZARIO JOSE","IND","M",NA
"Goa",1,1989,2,29,"FATORDA",68.92,44.79,"General",17985,1865,4,1,"Male","INC",5552,"CARDOZ LUIS ALEX",15.05,"LOTLIKAR SURYAKANT DATTA","MAG","M",NA
"Goa",1,1989,2,30,"MARGAO",66.19,51.11,"General",19058,452,4,1,"Male","IND",6447,"NAIK ANANTA NARCINVA",3.58,"KAMAT DIGAMBAR VASANT","INC","M",NA
"Goa",1,1989,2,31,"CURTORIM",69.49,68.5,"General",18646,4940,4,1,"Male","INC",8876,"SARDINHA COSME FRANCISCO CAETANO",38.12,"BARBOSA AGOSTINHO SEVASTIAO","JD","M",NA
"Goa",1,1989,2,32,"NAVELIM",0,NA,"General",21425,0,1,1,"Male","INC",0,"FALEIRO LUIZINHO JOA-QUIM (UNCONTESTED ELECTED)",NA,NA,NA,NA,NA
"Goa",1,1989,2,33,"VELIM",64.67,78.54,"General",17646,6706,6,1,"Female","INC",8962,"FURTADO FARREL BENITO",58.77,"RODRIGUES GABRIEL MINGUEL","JD","M",NA
"Goa",1,1989,2,34,"CUNCOLIM",67.15,33.1,"General",19089,1051,8,1,"Male","INC",4243,"FERNANDES MANUEL GREGORIO",8.2,"DESSAI SHEBU BABALI","MAG","M",NA
"Goa",1,1989,2,35,"SANVORDEM",71.05,59.22,"General",20765,3349,3,1,"Male","MAG",8737,"AMASHEKAR MOHAN ANANT",22.7,"DESAIMADHAVRAO SHIVAJIRAO","INC","M",NA
"Goa",1,1989,2,36,"SANGUEM",75.26,58.07,"General",16227,2583,6,1,"Male","MAG",7092,"PRABHU DESAI RANU ANANT",21.15,"PANDU VASU NAIK","INC","M",NA
"Goa",1,1989,2,37,"CURCHOREM",75.27,54.2,"General",19755,1376,3,1,"Male","INC",8059,"DOMNICK FERNANDES",9.25,"PRABHU DESAI ANIL HARI","MAG","M",NA
"Goa",1,1989,2,38,"QUEPEM",74.13,63.06,"General",19743,4310,4,1,"Male","MAG",9229,"VALIP PRAKASH SHANKAR",29.45,"GAUNS DESAI VOIKUNT GOVIND","INC","M",NA
"Goa",1,1989,2,39,"CANACONA",73.26,56.55,"General",14334,3330,5,1,"Male","MAG",5938,"BANDEKAR SANJAY VIMAL",31.71,"FERNANDES JOAO JOSE JOAQUIM S.","IND","M",NA
"Goa",1,1989,2,40,"POINGUINIM",75.52,47.06,"General",11794,85,9,1,"Male","INC",4192,"VASU PAIK GAONKAR",0.95,"ACHARYA GOVIND RAGHU CHANDRA","SHS","M",NA
"Goa",2,1994,2,1,"MANDREM",77.16,50.12,"General",18072,633,7,1,"Female","INC",6989,"PARAB SANGEETA GOPAL",4.54,"KHALAP RAMAKANT DATTARAM","MAG","M",NA
"Goa",2,1994,2,2,"PERNEM",77.46,63.1,"General",16773,4279,8,1,"Male","MAG",8198,"KOTKAR PARSHURAM NAGESH",32.93,"SALGAONKAR SHANKAR KASHINATH","INC","M",NA
"Goa",2,1994,2,3,"DARGALIM",68.59,62.12,"SC",13882,3346,6,1,"Male","MAG",5915,"MANDREKAR DEU GUNAJI",35.14,"BANDEKAR SHAMBHU BHAU","INC","M",NA
"Goa",2,1994,2,4,"TIVIM",70.71,70.06,"General",22810,7627,6,1,"Male","INC",11299,"NARVEKAR DAYANAND GANESH",47.29,"NAIK VINAYAK VITHAL","MAG","M",NA
"Goa",2,1994,2,5,"MAPUSA",64,50.37,"General",21628,484,7,1,"Male","MAG",6972,"SHIRSAT SURENDRA VASANT",3.5,"NATEKAR GURUDAS BHALCHANDRA","INC","M",NA
"Goa",2,1994,2,6,"SIOLIM",73.17,44.58,"General",22603,2046,8,1,"Male","MAG",7373,"CHODANKAR CHANDRAKANT UTTAM",12.37,"NAIK SALGAONKAR ASHOK TUKARAM","INC","M",NA
"Goa",2,1994,2,7,"CALANGUTE",70.09,50.57,"General",21769,3970,8,1,"Male","INC",7716,"CARDOZ LEBART TOMAZIN",26.02,"PARULEKAR SURESH VISHWANATH","IND","M",NA
"Goa",2,1994,2,8,"SALIGAO",75.36,45.5,"General",18894,1295,6,1,"Male","INC",6479,"D'SOUZA WILFRED ANTHONY",9.1,"KALANGUTKAR DILIP SONU","SHS","M",NA
"Goa",2,1994,2,9,"ALDONA",68.78,46.65,"General",25880,511,10,1,"Female","INC",8303,"D'SA FATIMA JOSEPH PHILIP",2.87,"ASNODKER ULHAS GOPAL","BJP","M",NA
"Goa",2,1994,2,10,"PANAJI",61.34,44.42,"General",16881,1066,12,1,"Male","BJP",4600,"PRABHU PARRIKAR MANOHAR GOPALKRISHNA",10.29,"PRABHU KESHAV LAXIMIDHAR","INC","M",NA
