"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Goa",1989,1,"MANDREM","GEN","KHALAP RAMAKANT DATTARAM","MAG",6900,1,52.61
"Goa",1989,1,"MANDREM","GEN","POROBO SANGITA GOPAL","INC",5619,2,42.84
"Goa",1989,1,"MANDREM","GEN","PARSHEKAR LAXMIKANT YESHWANT","IND",360,3,2.74
"Goa",1989,1,"MANDREM","GEN","PARSHEKAR RUDRAJI SHIVRAM","IND",113,4,0.86
"Goa",1989,1,"MANDREM","GEN","GAONKAR BABUSO SAVLO","IND",99,5,0.75
"Goa",1989,1,"MANDREM","GEN","GANTWAL GURUNATH SHANKAR","IND",16,6,0.12
"Goa",1989,1,"MANDREM","GEN","BARDE ANIL DHYANESHWAR","IND",8,7,0.06
"Goa",1989,2,"PERNEM","GEN","SALGOANKAR SHANKAR KASHINATH","MAG",7074,1,62
"Goa",1989,2,"PERNEM","GEN","TALEVNEKAR RAJU BAPU","INC",3545,2,31.07
"Goa",1989,2,"PERNEM","GEN","RAUL VASSUDEV SAKHARAM","IND",255,3,2.23
"Goa",1989,2,"PERNEM","GEN","ASSOLKAR ARJUN ATMARAM","GBS",181,4,1.59
"Goa",1989,2,"PERNEM","GEN","DESHPARBHU ANANTRAO","IND",168,5,1.47
"Goa",1989,2,"PERNEM","GEN","KAMULKAR VIJAY MARUTI","SHS",142,6,1.24
"Goa",1989,2,"PERNEM","GEN","RAO GOPINATH WAMAN","CPI",45,7,0.39
"Goa",1989,3,"DARGALIM","SC","MANDREKAR DEU GUNAJI","MAG",6544,1,74.52
"Goa",1989,3,"DARGALIM","SC","BANDEKAR SHAMBHU BHAU","INC",1119,2,12.74
"Goa",1989,3,"DARGALIM","SC","ARLEKAR ANIL RAMCHANDRA","IND",808,3,9.2
"Goa",1989,3,"DARGALIM","SC","NIPANIKAR BALRAM VISHNU","IND",156,4,1.78
"Goa",1989,3,"DARGALIM","SC","ARLEKAR VISHWANATH NARASOBHA","BJP",84,5,0.96
"Goa",1989,3,"DARGALIM","SC","HALARNAKAR SUBHASH RAMNATH","IND",59,6,0.67
"Goa",1989,3,"DARGALIM","SC","MIRAJKAR NARESH MIRAJI","IND",11,7,0.13
"Goa",1989,4,"TIVIM","GEN","NAIK VINAYAK VITTHAL","MAG",6797,1,48.18
"Goa",1989,4,"TIVIM","GEN","RAUT WAMAN GOPAL","IND",14,10,0.1
"Goa",1989,4,"TIVIM","GEN","AMBEDKAR RAMNATH","IND",12,11,0.09
"Goa",1989,4,"TIVIM","GEN","MAULINGKAR PREMNATH ARJUN","INC",4764,2,33.77
"Goa",1989,4,"TIVIM","GEN","HALARNAKAR NIKANT PUNDALIK","IND",1877,3,13.3
"Goa",1989,4,"TIVIM","GEN","HARMALKAR SANJAY PUNDALIK","IND",284,4,2.01
"Goa",1989,4,"TIVIM","GEN","NAIK SUHAS BABURAO","SHS",116,5,0.82
"Goa",1989,4,"TIVIM","GEN","PHADTE ARJUN KRISHNA","GLP",83,6,0.59
"Goa",1989,4,"TIVIM","GEN","BEPARI LALA ISMAIL","IND",80,7,0.57
"Goa",1989,4,"TIVIM","GEN","PRABHU WAMAN SUBHA","IND",51,8,0.36
"Goa",1989,4,"TIVIM","GEN","DUBHATKAR RAMA VITTHAL","IND",30,9,0.21
"Goa",1989,5,"MAPUSA","GEN","SIRSAT SURENDRA V.","MAG",5769,1,43.92
"Goa",1989,5,"MAPUSA","GEN","D SOUZA FRANCIES C.J.A.","IND",3612,2,27.5
"Goa",1989,5,"MAPUSA","GEN","NEVGI SHAMSUNDER JAIRAM","INC",3421,3,26.05
"Goa",1989,5,"MAPUSA","GEN","JOSHI RAMPRASAD RAGHUNATH","SHS",145,4,1.1
"Goa",1989,5,"MAPUSA","GEN","KENAUDEKAR DRONACHARYA DATTARAM","IND",110,5,0.84
"Goa",1989,5,"MAPUSA","GEN","NAIK SHAMSUNDAR RAMAKANT","IND",60,6,0.46
"Goa",1989,5,"MAPUSA","GEN","DIAS ANTHONY LEAO","IND",17,7,0.13
"Goa",1989,6,"SIOLIM","GEN","NAIK SALAGONKAR ASHOK TUKARAM","MAG",6438,1,45.17
"Goa",1989,6,"SIOLIM","GEN","CHODANKAR CHANDRAKANT URRAM","INC",6425,2,45.08
"Goa",1989,6,"SIOLIM","GEN","NARQUIS MILTEN OLOMPIA","IND",1173,3,8.23
"Goa",1989,6,"SIOLIM","GEN","SHIRODKAR MADHUKAR RAOJI","IND",107,4,0.75
"Goa",1989,6,"SIOLIM","GEN","CHODANKAR KALIDAS MAHADEV","IND",87,5,0.61
"Goa",1989,6,"SIOLIM","GEN","DIAS ANTHONY LEAO","IND",23,6,0.16
"Goa",1989,7,"CALANGUTE","GEN","PARULEKAR SURESH VISHWANATH","INC",7182,1,50.42
"Goa",1989,7,"CALANGUTE","GEN","MALIK SURIKANT KESHAV","MAG",6946,2,48.76
"Goa",1989,7,"CALANGUTE","GEN","D. RICARDO MINGUEL MASCARENHAS","GLP",117,3,0.82
"Goa",1989,8,"SALIGAO","GEN","DE SOUZA WILFRED TITO FERMINO","INC",6229,1,50.98
"Goa",1989,8,"SALIGAO","GEN","AHRENKAR PUNAJI PANDURANG","MAG",5802,2,47.49
"Goa",1989,8,"SALIGAO","GEN","YVES ZUZARTE","GLP",169,3,1.38
"Goa",1989,8,"SALIGAO","GEN","NAIK NAGUESH RAGHUVIR","IND",18,4,0.15
"Goa",1989,9,"ALDONA","GEN","CHOPDEKAR RATNAKAR MADDU","MAG",8208,1,50.82
"Goa",1989,9,"ALDONA","GEN","NARVEKAR DAYANAND GANESH","INC",7875,2,48.76
"Goa",1989,9,"ALDONA","GEN","MIRAJKAR NARESH MIRAJI","IND",68,3,0.42
"Goa",1989,10,"PANAJI","GEN","JOAN BAPITSTA FLORINI GONSALVES","INC",3983,1,39.63
"Goa",1989,10,"PANAJI","GEN","PUSHPASHIL KRISHNA KERKAR","MAG",2915,2,29
"Goa",1989,10,"PANAJI","GEN","ERASMO DE SEQUEIRA","GLP",2672,3,26.58
"Goa",1989,10,"PANAJI","GEN","MADHAV MANOHAT DHOND","BJP",269,4,2.68
"Goa",1989,10,"PANAJI","GEN","MADHAV RAMKRISHNA BIR","JD",143,5,1.42
"Goa",1989,10,"PANAJI","GEN","XAVIER CHRISHTANOU FURTADE","IND",61,6,0.61
"Goa",1989,10,"PANAJI","GEN","ARVIND Y. KARAPUKAR","IND",8,7,0.08
"Goa",1989,11,"TALEIGAO","GEN","SOMNATH DATTTA ZUWARKAR","INC",5034,1,44.51
"Goa",1989,11,"TALEIGAO","GEN","RAMESH RAGHUVIR SILIMKHAN","MAG",3655,2,32.32
"Goa",1989,11,"TALEIGAO","GEN","MATANHY JOSE SALDANHA","GLP",1595,3,14.1
"Goa",1989,11,"TALEIGAO","GEN","GURU INACIO SHIRODKAR","JD",577,4,5.1
