"state","year","month","party","seats"
"Goa",1989,2,"INC","50"
"Goa",1994,2,"INC","45"
"Goa",1999,2,"INC","52.5"
"Goa",2002,2,"INC","40"
"Goa",2007,2,"INC","40"
"Goa",2012,2,"INC","22.5"
"Goa",1989,2,"IND","5"
"Goa",1994,2,"IND","7.5"
"Goa",1999,2,"IND","2.5"
"Goa",2002,2,"IND","2.5"
"Goa",2007,2,"IND","5"
"Goa",2012,2,"IND","12.5"
"Goa",1989,2,"MAG","45"
"Goa",1994,2,"MAG","30"
"Goa",1999,2,"MAG","10"
"Goa",2002,2,"MAG","5"
"Goa",2007,2,"MAG","5"
"Goa",2012,2,"MAG","7.5"
"Goa",1989,2,"BJP","0"
"Goa",1994,2,"BJP","10"
"Goa",1999,2,"BJP","25"
"Goa",2002,2,"BJP","42.5"
"Goa",2007,2,"BJP","35"
"Goa",2012,2,"BJP","52.5"
"Goa",1994,2,"UGDP","7.5"
"Goa",1999,2,"UGDP","5"
"Goa",2002,2,"UGDP","7.5"
"Goa",2007,2,"UGDP","2.5"
"Goa",2012,2,"UGDP","0"
"Goa",1999,2,"GRCP","5"
"Goa",2007,2,"SGF","5"
"Goa",2002,2,"NCP","2.5"
"Goa",2007,2,"NCP","7.5"
"Goa",2012,2,"NCP","0"
"Goa",1999,2,"GVP","0"
"Goa",2002,2,"GVP","0"
"Goa",2012,2,"GVP","5"
