"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Goa",1989,2,1,3,1,1,"KHALAP RAMAKANT DATTARAM","M","MAG",6900,NA,NA,13115,16645,"MANDREM","GEN",NA,NA,7,78.79,52.61,"no",1281,9.77,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,1,2,"POROBO SANGITA GOPAL","F","INC",5619,NA,NA,13115,16645,"MANDREM","GEN",NA,NA,7,78.79,42.84,"no",5259,40.1,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,1,3,"PARSHEKAR LAXMIKANT YESHWANT","M","IND",360,NA,NA,13115,16645,"MANDREM","GEN",NA,NA,7,78.79,2.74,"no",247,1.88,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,1,4,"PARSHEKAR RUDRAJI SHIVRAM","M","IND",113,NA,NA,13115,16645,"MANDREM","GEN",NA,NA,7,78.79,0.86,"no",14,0.11,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,1,5,"GAONKAR BABUSO SAVLO","M","IND",99,NA,NA,13115,16645,"MANDREM","GEN",NA,NA,7,78.79,0.75,"no",83,0.63,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,1,6,"GANTWAL GURUNATH SHANKAR","M","IND",16,NA,NA,13115,16645,"MANDREM","GEN",NA,NA,7,78.79,0.12,"yes",8,0.06,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,1,7,"BARDE ANIL DHYANESHWAR","M","IND",8,NA,NA,13115,16645,"MANDREM","GEN",NA,NA,7,78.79,0.06,"yes",0,0,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,2,1,"SALGOANKAR SHANKAR KASHINATH","M","MAG",7074,NA,NA,11410,15294,"PERNEM","GEN",NA,NA,7,74.6,62,"no",3529,30.93,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,2,2,"TALEVNEKAR RAJU BAPU","M","INC",3545,NA,NA,11410,15294,"PERNEM","GEN",NA,NA,7,74.6,31.07,"no",3290,28.83,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,2,3,"RAUL VASSUDEV SAKHARAM","M","IND",255,NA,NA,11410,15294,"PERNEM","GEN",NA,NA,7,74.6,2.23,"no",74,0.65,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,2,4,"ASSOLKAR ARJUN ATMARAM","M","GBS",181,NA,NA,11410,15294,"PERNEM","GEN",NA,NA,7,74.6,1.59,"no",13,0.11,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,2,5,"DESHPARBHU ANANTRAO","M","IND",168,NA,NA,11410,15294,"PERNEM","GEN",NA,NA,7,74.6,1.47,"no",26,0.23,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,2,6,"KAMULKAR VIJAY MARUTI","M","SHS",142,NA,NA,11410,15294,"PERNEM","GEN",NA,NA,7,74.6,1.24,"no",97,0.85,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,2,7,"RAO GOPINATH WAMAN","M","CPI",45,NA,NA,11410,15294,"PERNEM","GEN",NA,NA,7,74.6,0.39,"no",0,0,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,3,1,"MANDREKAR DEU GUNAJI","M","MAG",6544,NA,NA,8781,12530,"DARGALIM","SC",NA,NA,7,70.08,74.52,"no",5425,61.78,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,3,2,"BANDEKAR SHAMBHU BHAU","M","INC",1119,NA,NA,8781,12530,"DARGALIM","SC",NA,NA,7,70.08,12.74,"no",311,3.54,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,3,3,"ARLEKAR ANIL RAMCHANDRA","M","IND",808,NA,NA,8781,12530,"DARGALIM","SC",NA,NA,7,70.08,9.2,"no",652,7.43,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,3,4,"NIPANIKAR BALRAM VISHNU","M","IND",156,NA,NA,8781,12530,"DARGALIM","SC",NA,NA,7,70.08,1.78,"no",72,0.82,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,3,5,"ARLEKAR VISHWANATH NARASOBHA","M","BJP",84,NA,NA,8781,12530,"DARGALIM","SC",NA,NA,7,70.08,0.96,"no",25,0.28,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,3,6,"HALARNAKAR SUBHASH RAMNATH","M","IND",59,NA,NA,8781,12530,"DARGALIM","SC",NA,NA,7,70.08,0.67,"no",48,0.55,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,3,7,"MIRAJKAR NARESH MIRAJI","M","IND",11,NA,NA,8781,12530,"DARGALIM","SC",NA,NA,7,70.08,0.13,"yes",0,0,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,4,1,"NAIK VINAYAK VITTHAL","M","MAG",6797,NA,NA,14108,19917,"TIVIM","GEN",NA,NA,11,70.83,48.18,"no",2033,14.41,NA,NA,NA,NA,NA
"Goa",1989,2,1,3,4,10,"RAUT WAMAN GOPAL","M","IND",14,NA,NA,14108,19917,"TIVIM","GEN",NA,NA,11,70.83,0.1,"yes",2,0.01,NA,NA,NA,NA,NA
