"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Goa",1989,1,1,"MANDREM","KHALAP RAMAKANT DATTARAM",NA,NA,NA,NA,NA,NA
"Goa",1989,1,2,"MANDREM","POROBO SANGITA GOPAL",NA,NA,NA,NA,NA,NA
"Goa",1989,1,3,"MANDREM","PARSHEKAR LAXMIKANT YESHWANT",NA,NA,NA,NA,NA,NA
"Goa",1989,1,4,"MANDREM","PARSHEKAR RUDRAJI SHIVRAM",NA,NA,NA,NA,NA,NA
"Goa",1989,1,5,"MANDREM","GAONKAR BABUSO SAVLO",NA,NA,NA,NA,NA,NA
"Goa",1989,1,6,"MANDREM","GANTWAL GURUNATH SHANKAR",NA,NA,NA,NA,NA,NA
"Goa",1989,1,7,"MANDREM","BARDE ANIL DHYANESHWAR",NA,NA,NA,NA,NA,NA
"Goa",1989,2,1,"PERNEM","SALGOANKAR SHANKAR KASHINATH",NA,NA,NA,NA,NA,NA
"Goa",1989,2,2,"PERNEM","TALEVNEKAR RAJU BAPU",NA,NA,NA,NA,NA,NA
"Goa",1989,2,3,"PERNEM","RAUL VASSUDEV SAKHARAM",NA,NA,NA,NA,NA,NA
"Goa",1989,2,4,"PERNEM","ASSOLKAR ARJUN ATMARAM",NA,NA,NA,NA,NA,NA
"Goa",1989,2,5,"PERNEM","DESHPARBHU ANANTRAO",NA,NA,NA,NA,NA,NA
"Goa",1989,2,6,"PERNEM","KAMULKAR VIJAY MARUTI",NA,NA,NA,NA,NA,NA
"Goa",1989,2,7,"PERNEM","RAO GOPINATH WAMAN",NA,NA,NA,NA,NA,NA
"Goa",1989,3,1,"DARGALIM","MANDREKAR DEU GUNAJI",NA,NA,NA,NA,NA,NA
"Goa",1989,3,2,"DARGALIM","BANDEKAR SHAMBHU BHAU",NA,NA,NA,NA,NA,NA
"Goa",1989,3,3,"DARGALIM","ARLEKAR ANIL RAMCHANDRA",NA,NA,NA,NA,NA,NA
"Goa",1989,3,4,"DARGALIM","NIPANIKAR BALRAM VISHNU",NA,NA,NA,NA,NA,NA
"Goa",1989,3,5,"DARGALIM","ARLEKAR VISHWANATH NARASOBHA",NA,NA,NA,NA,NA,NA
"Goa",1989,3,6,"DARGALIM","HALARNAKAR SUBHASH RAMNATH",NA,NA,NA,NA,NA,NA
"Goa",1989,3,7,"DARGALIM","MIRAJKAR NARESH MIRAJI",NA,NA,NA,NA,NA,NA
"Goa",1989,4,1,"TIVIM","NAIK VINAYAK VITTHAL",NA,NA,NA,NA,NA,NA
"Goa",1989,4,2,"TIVIM","MAULINGKAR PREMNATH ARJUN",NA,NA,NA,NA,NA,NA
"Goa",1989,4,3,"TIVIM","HALARNAKAR NIKANT PUNDALIK",NA,NA,NA,NA,NA,NA
"Goa",1989,4,4,"TIVIM","HARMALKAR SANJAY PUNDALIK",NA,NA,NA,NA,NA,NA
"Goa",1989,4,5,"TIVIM","NAIK SUHAS BABURAO",NA,NA,NA,NA,NA,NA
"Goa",1989,4,6,"TIVIM","PHADTE ARJUN KRISHNA",NA,NA,NA,NA,NA,NA
"Goa",1989,4,7,"TIVIM","BEPARI LALA ISMAIL",NA,NA,NA,NA,NA,NA
"Goa",1989,4,8,"TIVIM","PRABHU WAMAN SUBHA",NA,NA,NA,NA,NA,NA
"Goa",1989,4,9,"TIVIM","DUBHATKAR RAMA VITTHAL",NA,NA,NA,NA,NA,NA
