"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Goa",1989,1,"KHALAP RAMAKANT DATTARAM","M","MAG",6900,NA,NA,1
"Goa",1989,1,"POROBO SANGITA GOPAL","F","INC",5619,NA,NA,2
"Goa",1989,1,"PARSHEKAR LAXMIKANT YESHWANT","M","IND",360,NA,NA,3
"Goa",1989,1,"PARSHEKAR RUDRAJI SHIVRAM","M","IND",113,NA,NA,4
"Goa",1989,1,"GAONKAR BABUSO SAVLO","M","IND",99,NA,NA,5
"Goa",1989,1,"GANTWAL GURUNATH SHANKAR","M","IND",16,NA,NA,6
"Goa",1989,1,"BARDE ANIL DHYANESHWAR","M","IND",8,NA,NA,7
"Goa",1989,2,"SALGOANKAR SHANKAR KASHINATH","M","MAG",7074,NA,NA,1
"Goa",1989,2,"TALEVNEKAR RAJU BAPU","M","INC",3545,NA,NA,2
"Goa",1989,2,"RAUL VASSUDEV SAKHARAM","M","IND",255,NA,NA,3
"Goa",1989,2,"ASSOLKAR ARJUN ATMARAM","M","GBS",181,NA,NA,4
"Goa",1989,2,"DESHPARBHU ANANTRAO","M","IND",168,NA,NA,5
"Goa",1989,2,"KAMULKAR VIJAY MARUTI","M","SHS",142,NA,NA,6
"Goa",1989,2,"RAO GOPINATH WAMAN","M","CPI",45,NA,NA,7
"Goa",1989,3,"MANDREKAR DEU GUNAJI","M","MAG",6544,NA,NA,1
"Goa",1989,3,"BANDEKAR SHAMBHU BHAU","M","INC",1119,NA,NA,2
"Goa",1989,3,"ARLEKAR ANIL RAMCHANDRA","M","IND",808,NA,NA,3
"Goa",1989,3,"NIPANIKAR BALRAM VISHNU","M","IND",156,NA,NA,4
"Goa",1989,3,"ARLEKAR VISHWANATH NARASOBHA","M","BJP",84,NA,NA,5
"Goa",1989,3,"HALARNAKAR SUBHASH RAMNATH","M","IND",59,NA,NA,6
"Goa",1989,3,"MIRAJKAR NARESH MIRAJI","M","IND",11,NA,NA,7
"Goa",1989,4,"NAIK VINAYAK VITTHAL","M","MAG",6797,NA,NA,1
"Goa",1989,4,"MAULINGKAR PREMNATH ARJUN","M","INC",4764,NA,NA,2
"Goa",1989,4,"HALARNAKAR NIKANT PUNDALIK","M","IND",1877,NA,NA,3
"Goa",1989,4,"HARMALKAR SANJAY PUNDALIK","M","IND",284,NA,NA,4
"Goa",1989,4,"NAIK SUHAS BABURAO","M","SHS",116,NA,NA,5
"Goa",1989,4,"PHADTE ARJUN KRISHNA","M","GLP",83,NA,NA,6
"Goa",1989,4,"BEPARI LALA ISMAIL","M","IND",80,NA,NA,7
"Goa",1989,4,"PRABHU WAMAN SUBHA","M","IND",51,NA,NA,8
"Goa",1989,4,"DUBHATKAR RAMA VITTHAL","M","IND",30,NA,NA,9
"Goa",1989,4,"RAUT WAMAN GOPAL","M","IND",14,NA,NA,10
"Goa",1989,4,"AMBEDKAR RAMNATH","M","IND",12,NA,NA,11
"Goa",1989,5,"SIRSAT SURENDRA V.","M","MAG",5769,NA,NA,1
"Goa",1989,5,"D SOUZA FRANCIES C.J.A.","M","IND",3612,NA,NA,2
"Goa",1989,5,"NEVGI SHAMSUNDER JAIRAM","M","INC",3421,NA,NA,3
"Goa",1989,5,"JOSHI RAMPRASAD RAGHUNATH","M","SHS",145,NA,NA,4
"Goa",1989,5,"KENAUDEKAR DRONACHARYA DATTARAM","M","IND",110,NA,NA,5
"Goa",1989,5,"NAIK SHAMSUNDAR RAMAKANT","M","IND",60,NA,NA,6
"Goa",1989,5,"DIAS ANTHONY LEAO","M","IND",17,NA,NA,7
"Goa",1989,6,"NAIK SALAGONKAR ASHOK TUKARAM","M","MAG",6438,NA,NA,1
"Goa",1989,6,"CHODANKAR CHANDRAKANT URRAM","M","INC",6425,NA,NA,2
"Goa",1989,6,"NARQUIS MILTEN OLOMPIA","M","IND",1173,NA,NA,3
"Goa",1989,6,"SHIRODKAR MADHUKAR RAOJI","M","IND",107,NA,NA,4
"Goa",1989,6,"CHODANKAR KALIDAS MAHADEV","M","IND",87,NA,NA,5
"Goa",1989,6,"DIAS ANTHONY LEAO","M","IND",23,NA,NA,6
"Goa",1989,7,"PARULEKAR SURESH VISHWANATH","M","INC",7182,NA,NA,1
"Goa",1989,7,"MALIK SURIKANT KESHAV","M","MAG",6946,NA,NA,2
"Goa",1989,7,"D. RICARDO MINGUEL MASCARENHAS","M","GLP",117,NA,NA,3
