"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Goa",2007,1,"MANDREM","GEN",20602
"Goa",2007,2,"PERNEM","GEN",19349
"Goa",2007,3,"DARGALIM","SC",16345
"Goa",2007,4,"TIVIM","GEN",27262
"Goa",2007,5,"MAPUSA","GEN",28344
"Goa",2007,6,"SIOLIM","GEN",25674
"Goa",2007,7,"CALANGUTE","GEN",27826
"Goa",2007,8,"SALIGAO","GEN",22026
"Goa",2007,9,"ALDONA","GEN",31592
"Goa",2007,10,"PANAJI","GEN",14937
"Goa",2007,11,"TALEIGAO","GEN",28993
"Goa",2007,12,"SANTA CRUZ","GEN",29368
"Goa",2007,13,"ST. ANDRE","GEN",22197
"Goa",2007,14,"CUMBARJUA","GEN",27785
"Goa",2007,15,"BICHOLIM","GEN",23176
"Goa",2007,16,"MAEM","GEN",19137
"Goa",2007,17,"PALE","GEN",23559
"Goa",2007,18,"PORIEM","GEN",23251
"Goa",2007,19,"VALPOI","GEN",17669
"Goa",2007,20,"PONDA","GEN",37068
"Goa",2007,21,"PRIOL","GEN",26635
"Goa",2007,22,"MARCAIM","GEN",24750
"Goa",2007,23,"SIRODA","GEN",25791
"Goa",2007,24,"MORMUGAO","GEN",28930
"Goa",2007,25,"VASCO DA GAMA","GEN",32541
"Goa",2007,26,"CORTALIM","GEN",34947
"Goa",2007,27,"LOUTULIM","GEN",22626
"Goa",2007,28,"BENAULIM","GEN",23453
"Goa",2007,29,"FATORDA","GEN",32630
"Goa",2007,30,"MARGAO","GEN",28141
"Goa",2007,31,"CURTORIM","GEN",26552
"Goa",2007,32,"NAVELIM","GEN",34947
"Goa",2007,33,"VELIM","GEN",20405
"Goa",2007,34,"CUNCOLIM","GEN",24150
"Goa",2007,35,"SANVORDEM","GEN",25551
"Goa",2007,36,"SANGUEM","ST",19677
"Goa",2007,37,"CURCHOREM","GEN",28519
"Goa",2007,38,"QUEPEM","GEN",28167
"Goa",2007,39,"CANACONA","GEN",20070
"Goa",2007,40,"POINGUINIM","GEN",15604
"Goa",1989,1,"MANDREM","GEN",16645
"Goa",1989,2,"PERNEM","GEN",15294
"Goa",1989,3,"DARGALIM","SC",12530
"Goa",1989,4,"TIVIM","GEN",19917
"Goa",1989,5,"MAPUSA","GEN",19580
"Goa",1989,6,"SIOLIM","GEN",19407
"Goa",1989,7,"CALANGUTE","GEN",19526
"Goa",1989,8,"SALIGAO","GEN",16107
"Goa",1989,9,"ALDONA","GEN",22860
"Goa",1989,10,"PANAJI","GEN",15633
"Goa",1989,11,"TALEIGAO","GEN",17077
"Goa",1989,12,"SANTA CRUZ","GEN",20671
"Goa",1989,13,"SANTO. ANDRE","GEN",17816
"Goa",1989,14,"CUMBARJUA","GEN",20496
"Goa",1989,15,"BICHOLIM","GEN",17026
"Goa",1989,16,"MAEM","GEN",14875
"Goa",1989,17,"PALE","GEN",19048
"Goa",1989,18,"PORIEM","GEN",16166
"Goa",1989,19,"VALPOI","GEN",12993
"Goa",1989,20,"PONDA","GEN",21530
"Goa",1989,21,"PRIOL","GEN",21273
"Goa",1989,22,"MARCAIM","GEN",20185
"Goa",1989,23,"SIRODA","GEN",19154
"Goa",1989,24,"MORMUGAO","GEN",25038
"Goa",1989,25,"VASCO DA GAMA","GEN",22498
"Goa",1989,26,"CORTALIM","GEN",20566
"Goa",1989,27,"LOUTOLIM","GEN",16085
"Goa",1989,28,"BENAULIM","GEN",17524
"Goa",1989,29,"FATORDA","GEN",17985
"Goa",1989,30,"MARGAO","GEN",19058
"Goa",1989,31,"CURTORIM","GEN",18646
"Goa",1989,32,"NAVELIM","GEN",21425
"Goa",1989,33,"VELIM","GEN",17646
"Goa",1989,34,"CUNCOLIM","GEN",19089
"Goa",1989,35,"SANVORDEM","GEN",20765
"Goa",1989,36,"SANGUEM","GEN",16227
"Goa",1989,37,"CURCHOREM","GEN",19755
"Goa",1989,38,"QUEPEM","GEN",19743
"Goa",1989,39,"CANACONA","GEN",14334
"Goa",1989,40,"POINGUINIM","GEN",11794
