"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Goa",4,1,"MANDREM","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,2,"PERNEM","SC","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,3,"BICHOLIM","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,4,"TIVIM","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,5,"MAPUSA","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,6,"SIOLIM","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,7,"SALIGAO","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,8,"CALANGUTE","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,9,"PORVORIM","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,10,"ALDONA","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,11,"PANAJI","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,12,"TALEIGAO","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,13,"ST. CRUZ","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,14,"ST. ANDRE","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,15,"CUMBARJUA","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,16,"MAEM","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,17,"SANQUELIM","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,18,"PORIEM","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,19,"VALPOI","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,20,"PRIOL","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,21,"PONDA","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,22,"SIRODA","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,23,"MARCAIM","GEN","NORTH GOA","NORTH GOA","https://en.wikipedia.org/wiki/North_Goa_district"
"Goa",4,24,"MORMUGAO","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,25,"VASCO-DA-GAMA","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,26,"DABOLIM","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,27,"CORTALIM","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,28,"NUVEM","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,29,"CURTORIM","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,30,"FATORDA","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,31,"MARGAO","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,32,"BENAULIM","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,33,"NAVELIM","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,34,"CUNCOLIM","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,35,"VELIM","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,36,"QUEPEM","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,37,"CURCHOREM","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,38,"SANVORDEM","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,39,"SANGUEM","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
"Goa",4,40,"CANACONA","GEN","SOUTH GOA","SOUTH GOA","https://en.wikipedia.org/wiki/South_Goa_district"
