"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Goa_Daman_&_Diu",1,1967,2,1,"PERNEM",64.22,60.15,"General",11647,2318,8,1,"Male","MAG",4499,"K . B . LAXMAN",30.99,"B . DESPRABHU","IND","M",NA
"Goa_Daman_&_Diu",1,1967,2,2,"MANDREM",64.52,71.65,"General",14942,5367,10,1,"Male","MAG",6907,"A . J . DSOUZA",55.67,"K . M . VINAYAK","UGS","M",NA
"Goa_Daman_&_Diu",1,1967,2,3,"SIOLIM",73.36,50.35,"General",14012,619,6,1,"Male","MAG",5175,"A . P . PANDURANG",6.02,"D . ZEFERINO","UGS","M",NA
"Goa_Daman_&_Diu",1,1967,2,4,"CALANGUTE",74.17,54.29,"General",15716,1696,8,1,"Male","UGS",6329,"S . VALENTE",14.55,"M . R . DHARMA","MAG","M",NA
"Goa_Daman_&_Diu",1,1967,2,5,"ALDONA",73.49,57.79,"General",14324,2115,6,1,"Male","UGS",6084,"L . S . O . FERNANDO",20.09,"M . N . PANDHARINATH","MAG","M",NA
"Goa_Daman_&_Diu",1,1967,2,6,"MAPUCA",72.2,52.57,"General",14427,1436,8,1,"Male","MAG",5476,"M . G . GOVIND",13.79,"K . T . MANGESH","UGS","M",NA
"Goa_Daman_&_Diu",1,1967,2,7,"TIVIM",63.89,61.26,"General",12164,2967,7,1,"Male","MAG",4761,"J . RANE",38.18,"N . NARAYANANANT","UGS","M",NA
"Goa_Daman_&_Diu",1,1967,2,8,"BICHOLIM",70.39,66.96,"General",11807,4416,10,1,"Male","MAG",5565,"C . D . KESHAV",53.13,"S . S . SAKHARAM","IND","M",NA
"Goa_Daman_&_Diu",1,1967,2,9,"PALE",66.02,65.09,"General",13196,3710,6,1,"Male","MAG",5671,"A . K . S . USGAONKAR",42.58,"S . U . P . KRISHNA","IND","M",NA
"Goa_Daman_&_Diu",1,1967,2,10,"SATARI",57.7,40.04,"General",12819,1894,11,1,"Male","MAG",2962,"K . G . APPA",25.6,"D . B . HIROJIRAO","IND","M",NA
