"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Goa_Daman_&_Diu",1967,1,"PERNEM","GEN","K . B . LAXMAN","MAG",4499,1,60.15
"Goa_Daman_&_Diu",1967,1,"PERNEM","GEN","B . DESPRABHU","IND",2181,2,29.16
"Goa_Daman_&_Diu",1967,1,"PERNEM","GEN","P . O . S . GOVIND","UGS",346,3,4.63
"Goa_Daman_&_Diu",1967,1,"PERNEM","GEN","D . S . GOVINDRAO","PSP",169,4,2.26
"Goa_Daman_&_Diu",1967,1,"PERNEM","GEN","P . D . N . YESHWANT","IND",146,5,1.95
"Goa_Daman_&_Diu",1967,1,"PERNEM","GEN","N . D . S . JAGANNATH","IND",89,6,1.19
"Goa_Daman_&_Diu",1967,1,"PERNEM","GEN","T . N . SWAR","IND",26,7,0.35
"Goa_Daman_&_Diu",1967,1,"PERNEM","GEN","B . K . VINAYAK","IND",24,8,0.32
"Goa_Daman_&_Diu",1967,2,"MANDREM","GEN","A . J . DSOUZA","MAG",6907,1,71.65
"Goa_Daman_&_Diu",1967,2,"MANDREM","GEN","V . M . KAMULKAR","IND",22,10,0.23
"Goa_Daman_&_Diu",1967,2,"MANDREM","GEN","K . M . VINAYAK","UGS",1540,2,15.98
"Goa_Daman_&_Diu",1967,2,"MANDREM","GEN","G . N . MUKUND","IND",445,3,4.62
"Goa_Daman_&_Diu",1967,2,"MANDREM","GEN","M . H . NAIK","IND",176,4,1.83
"Goa_Daman_&_Diu",1967,2,"MANDREM","GEN","S . R . BHISU","IND",155,5,1.61
"Goa_Daman_&_Diu",1967,2,"MANDREM","GEN","A . N . WAMAN","IND",148,6,1.54
"Goa_Daman_&_Diu",1967,2,"MANDREM","GEN","P . D . Y . LAXMAN","IND",127,7,1.32
"Goa_Daman_&_Diu",1967,2,"MANDREM","GEN","M . CHAVAN","IND",79,8,0.82
"Goa_Daman_&_Diu",1967,2,"MANDREM","GEN","D . S . WAMAN","IND",41,9,0.43
"Goa_Daman_&_Diu",1967,3,"SIOLIM","GEN","A . P . PANDURANG","MAG",5175,1,50.35
"Goa_Daman_&_Diu",1967,3,"SIOLIM","GEN","D . ZEFERINO","UGS",4556,2,44.32
"Goa_Daman_&_Diu",1967,3,"SIOLIM","GEN","S . P . PURUSHOTTAM","IND",354,3,3.44
