"state","year","month","party","seats"
"Goa_Daman_&_Diu",1967,2,"MAG","53.33"
"Goa_Daman_&_Diu",1972,2,"MAG","60"
"Goa_Daman_&_Diu",1977,2,"MAG","50"
"Goa_Daman_&_Diu",1980,2,"MAG","23.33"
"Goa_Daman_&_Diu",1984,2,"MAG","26.67"
"Goa_Daman_&_Diu",1967,2,"UGS","40"
"Goa_Daman_&_Diu",1972,2,"UGS","33.33"
"Goa_Daman_&_Diu",1967,2,"IND","6.67"
"Goa_Daman_&_Diu",1972,2,"IND","3.33"
"Goa_Daman_&_Diu",1977,2,"IND","6.67"
"Goa_Daman_&_Diu",1980,2,"IND","10"
"Goa_Daman_&_Diu",1984,2,"IND","13.33"
"Goa_Daman_&_Diu",1972,2,"INC","3.33"
"Goa_Daman_&_Diu",1977,2,"INC","33.33"
"Goa_Daman_&_Diu",1984,2,"INC","60"
"Goa_Daman_&_Diu",1977,2,"JNP","10"
"Goa_Daman_&_Diu",1980,2,"JNP","0"
"Goa_Daman_&_Diu",1984,2,"JNP","0"
"Goa_Daman_&_Diu",1980,2,"INC(U)","66.67"
