"state","year","month","party","votes"
"Goa_Daman_&_Diu",1967,2,"MAG","40.45"
"Goa_Daman_&_Diu",1972,2,"MAG","38.3"
"Goa_Daman_&_Diu",1977,2,"MAG","38.49"
"Goa_Daman_&_Diu",1980,2,"MAG","36.39"
"Goa_Daman_&_Diu",1984,2,"MAG","21.12"
"Goa_Daman_&_Diu",1967,2,"IND","17.57"
"Goa_Daman_&_Diu",1972,2,"IND","9.46"
"Goa_Daman_&_Diu",1977,2,"IND","9.27"
"Goa_Daman_&_Diu",1980,2,"IND","15.59"
"Goa_Daman_&_Diu",1984,2,"IND","36.89"
"Goa_Daman_&_Diu",1967,2,"UGF","2.87"
"Goa_Daman_&_Diu",1967,2,"UGS","38.01"
"Goa_Daman_&_Diu",1972,2,"UGS","32.5"
"Goa_Daman_&_Diu",1967,2,"PSP","1.1"
"Goa_Daman_&_Diu",1972,2,"NMG","3.69"
"Goa_Daman_&_Diu",1972,2,"INC","13.64"
"Goa_Daman_&_Diu",1977,2,"INC","28.94"
"Goa_Daman_&_Diu",1984,2,"INC","39.48"
"Goa_Daman_&_Diu",1972,2,"SOP","1.17"
"Goa_Daman_&_Diu",1972,2,"CPI","0.14"
"Goa_Daman_&_Diu",1977,2,"CPI","0.2"
"Goa_Daman_&_Diu",1984,2,"CPI","0.38"
"Goa_Daman_&_Diu",1977,2,"JNP","23.1"
"Goa_Daman_&_Diu",1980,2,"JNP","4.11"
"Goa_Daman_&_Diu",1984,2,"JNP","0.74"
"Goa_Daman_&_Diu",1980,2,"JNP(S)","1.72"
"Goa_Daman_&_Diu",1980,2,"INC(I)","3.52"
"Goa_Daman_&_Diu",1980,2,"INC(U)","38.36"
"Goa_Daman_&_Diu",1984,2,"BJP","1.21"
