"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Goa_Daman_&_Diu",1967,2,1,2,1,1,"K . B . LAXMAN","M","MAG",4499,NA,NA,7480,11647,"PERNEM","GEN",NA,NA,8,64.22,60.15,"no",2318,30.99,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,1,2,"B . DESPRABHU","M","IND",2181,NA,NA,7480,11647,"PERNEM","GEN",NA,NA,8,64.22,29.16,"no",1835,24.53,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,1,3,"P . O . S . GOVIND","M","UGS",346,NA,NA,7480,11647,"PERNEM","GEN",NA,NA,8,64.22,4.63,"no",177,2.37,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,1,4,"D . S . GOVINDRAO","M","PSP",169,NA,NA,7480,11647,"PERNEM","GEN",NA,NA,8,64.22,2.26,"no",23,0.31,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,1,5,"P . D . N . YESHWANT","M","IND",146,NA,NA,7480,11647,"PERNEM","GEN",NA,NA,8,64.22,1.95,"no",57,0.76,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,1,6,"N . D . S . JAGANNATH","M","IND",89,NA,NA,7480,11647,"PERNEM","GEN",NA,NA,8,64.22,1.19,"no",63,0.84,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,1,7,"T . N . SWAR","M","IND",26,NA,NA,7480,11647,"PERNEM","GEN",NA,NA,8,64.22,0.35,"no",2,0.03,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,1,8,"B . K . VINAYAK","M","IND",24,NA,NA,7480,11647,"PERNEM","GEN",NA,NA,8,64.22,0.32,"no",0,0,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,2,1,"A . J . DSOUZA","M","MAG",6907,NA,NA,9640,14942,"MANDREM","GEN",NA,NA,10,64.52,71.65,"no",5367,55.67,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,2,10,"V . M . KAMULKAR","M","IND",22,NA,NA,9640,14942,"MANDREM","GEN",NA,NA,10,64.52,0.23,"no",0,0,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,2,2,"K . M . VINAYAK","M","UGS",1540,NA,NA,9640,14942,"MANDREM","GEN",NA,NA,10,64.52,15.98,"no",1095,11.36,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,2,3,"G . N . MUKUND","M","IND",445,NA,NA,9640,14942,"MANDREM","GEN",NA,NA,10,64.52,4.62,"no",269,2.79,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,2,4,"M . H . NAIK","M","IND",176,NA,NA,9640,14942,"MANDREM","GEN",NA,NA,10,64.52,1.83,"no",21,0.22,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,2,5,"S . R . BHISU","M","IND",155,NA,NA,9640,14942,"MANDREM","GEN",NA,NA,10,64.52,1.61,"no",7,0.07,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,2,6,"A . N . WAMAN","M","IND",148,NA,NA,9640,14942,"MANDREM","GEN",NA,NA,10,64.52,1.54,"no",21,0.22,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,2,7,"P . D . Y . LAXMAN","M","IND",127,NA,NA,9640,14942,"MANDREM","GEN",NA,NA,10,64.52,1.32,"no",48,0.5,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,2,8,"M . CHAVAN","M","IND",79,NA,NA,9640,14942,"MANDREM","GEN",NA,NA,10,64.52,0.82,"no",38,0.39,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,2,9,"D . S . WAMAN","M","IND",41,NA,NA,9640,14942,"MANDREM","GEN",NA,NA,10,64.52,0.43,"no",19,0.2,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,3,1,"A . P . PANDURANG","M","MAG",5175,NA,NA,10279,14012,"SIOLIM","GEN",NA,NA,6,73.36,50.35,"no",619,6.02,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,3,2,"D . ZEFERINO","M","UGS",4556,NA,NA,10279,14012,"SIOLIM","GEN",NA,NA,6,73.36,44.32,"no",4202,40.88,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,3,3,"S . P . PURUSHOTTAM","M","IND",354,NA,NA,10279,14012,"SIOLIM","GEN",NA,NA,6,73.36,3.44,"no",222,2.16,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,3,4,"C . K . NARAYAN","M","IND",132,NA,NA,10279,14012,"SIOLIM","GEN",NA,NA,6,73.36,1.28,"no",82,0.8,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,3,5,"D . A . PRABHU","M","IND",50,NA,NA,10279,14012,"SIOLIM","GEN",NA,NA,6,73.36,0.49,"no",38,0.37,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,3,6,"J . F . SANTAN","M","IND",12,NA,NA,10279,14012,"SIOLIM","GEN",NA,NA,6,73.36,0.12,"yes",0,0,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,4,1,"S . VALENTE","M","UGS",6329,NA,NA,11657,15716,"CALANGUTE","GEN",NA,NA,8,74.17,54.29,"no",1696,14.55,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,4,2,"M . R . DHARMA","M","MAG",4633,NA,NA,11657,15716,"CALANGUTE","GEN",NA,NA,8,74.17,39.74,"no",4387,37.63,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,4,3,"V . S . SOUZA","M","UGF",246,NA,NA,11657,15716,"CALANGUTE","GEN",NA,NA,8,74.17,2.11,"no",64,0.55,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,4,4,"M . A . FERNANDES","M","IND",182,NA,NA,11657,15716,"CALANGUTE","GEN",NA,NA,8,74.17,1.56,"no",45,0.39,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,4,5,"F . A . DOMINGOS","M","IND",137,NA,NA,11657,15716,"CALANGUTE","GEN",NA,NA,8,74.17,1.18,"no",69,0.59,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,4,6,"S . I . ERNESTO","M","IND",68,NA,NA,11657,15716,"CALANGUTE","GEN",NA,NA,8,74.17,0.58,"no",14,0.12,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,4,7,"J . N . PINTO","M","IND",54,NA,NA,11657,15716,"CALANGUTE","GEN",NA,NA,8,74.17,0.46,"no",46,0.39,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,4,8,"M .S . KADAM","M","IND",8,NA,NA,11657,15716,"CALANGUTE","GEN",NA,NA,8,74.17,0.07,"yes",0,0,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,5,1,"L . S . O . FERNANDO","M","UGS",6084,NA,NA,10527,14324,"ALDONA","GEN",NA,NA,6,73.49,57.79,"no",2115,20.09,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,5,2,"M . N . PANDHARINATH","M","MAG",3969,NA,NA,10527,14324,"ALDONA","GEN",NA,NA,6,73.49,37.7,"no",3792,36.02,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,5,3,"L .D . C. NICOLAV","M","IND",177,NA,NA,10527,14324,"ALDONA","GEN",NA,NA,6,73.49,1.68,"no",9,0.09,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,5,4,"C . J . JOAO","M","IND",168,NA,NA,10527,14324,"ALDONA","GEN",NA,NA,6,73.49,1.6,"no",74,0.7,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,5,5,"A . M . DSILVA","M","IND",94,NA,NA,10527,14324,"ALDONA","GEN",NA,NA,6,73.49,0.89,"no",59,0.56,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,5,6,"S . A . SHIVA","M","IND",35,NA,NA,10527,14324,"ALDONA","GEN",NA,NA,6,73.49,0.33,"no",0,0,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,6,1,"M . G . GOVIND","M","MAG",5476,NA,NA,10416,14427,"MAPUCA","GEN",NA,NA,8,72.2,52.57,"no",1436,13.79,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,6,2,"K . T . MANGESH","M","UGS",4040,NA,NA,10416,14427,"MAPUCA","GEN",NA,NA,8,72.2,38.79,"no",3629,34.84,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,6,3,"S . V . PANDURANG","M","IND",411,NA,NA,10416,14427,"MAPUCA","GEN",NA,NA,8,72.2,3.95,"no",158,1.52,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,6,4,"M . T . BRAGANZA","M","IND",253,NA,NA,10416,14427,"MAPUCA","GEN",NA,NA,8,72.2,2.43,"no",102,0.98,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,6,5,"A . J . PIEDADE","M","IND",151,NA,NA,10416,14427,"MAPUCA","GEN",NA,NA,8,72.2,1.45,"no",105,1.01,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,6,6,"D . K . DATTARAM","M","IND",46,NA,NA,10416,14427,"MAPUCA","GEN",NA,NA,8,72.2,0.44,"no",21,0.2,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,6,7,"N . K . YESHWANT","M","IND",25,NA,NA,10416,14427,"MAPUCA","GEN",NA,NA,8,72.2,0.24,"no",11,0.11,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,6,8,"J . V . GORE","M","IND",14,NA,NA,10416,14427,"MAPUCA","GEN",NA,NA,8,72.2,0.13,"yes",0,0,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,7,1,"J . RANE","M","MAG",4761,NA,NA,7772,12164,"TIVIM","GEN",NA,NA,7,63.89,61.26,"no",2967,38.18,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,7,2,"N . NARAYANANANT","M","UGS",1794,NA,NA,7772,12164,"TIVIM","GEN",NA,NA,7,63.89,23.08,"no",925,11.9,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,7,3,"B . MAHADEV","M","IND",869,NA,NA,7772,12164,"TIVIM","GEN",NA,NA,7,63.89,11.18,"no",697,8.97,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,7,4,"S . M . WALHEKAR","M","PSP",172,NA,NA,7772,12164,"TIVIM","GEN",NA,NA,7,63.89,2.21,"no",53,0.68,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,7,5,"L . F . ALBINO","M","IND",119,NA,NA,7772,12164,"TIVIM","GEN",NA,NA,7,63.89,1.53,"no",85,1.09,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,7,6,"D . Z . P . MARIAND","M","IND",34,NA,NA,7772,12164,"TIVIM","GEN",NA,NA,7,63.89,0.44,"no",11,0.14,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,7,7,"P . S . NAGESH","M","IND",23,NA,NA,7772,12164,"TIVIM","GEN",NA,NA,7,63.89,0.3,"no",0,0,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,8,1,"C . D . KESHAV","M","MAG",5565,NA,NA,8311,11807,"BICHOLIM","GEN",NA,NA,10,70.39,66.96,"no",4416,53.13,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,8,10,"D . S . P . DESAI","M","IND",15,NA,NA,8311,11807,"BICHOLIM","GEN",NA,NA,10,70.39,0.18,"no",0,0,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,8,2,"S . S . SAKHARAM","M","IND",1149,NA,NA,8311,11807,"BICHOLIM","GEN",NA,NA,10,70.39,13.83,"no",705,8.48,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,8,3,"P . G . M . GANGARAM","M","IND",444,NA,NA,8311,11807,"BICHOLIM","GEN",NA,NA,10,70.39,5.34,"no",79,0.95,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,8,4,"DA . SHIVAJI","M","UGS",365,NA,NA,8311,11807,"BICHOLIM","GEN",NA,NA,10,70.39,4.39,"no",110,1.32,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,8,5,"P . S . DEU","M","PSP",255,NA,NA,8311,11807,"BICHOLIM","GEN",NA,NA,10,70.39,3.07,"no",13,0.16,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,2,8,6,"M . A . DHAKTOO","M","IND",242,NA,NA,8311,11807,"BICHOLIM","GEN",NA,NA,10,70.39,2.91,"no",115,1.38,NA,NA,NA,NA,NA
