"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Goa_Daman_&_Diu",1967,1,1,"PERNEM","K . B . LAXMAN",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,1,2,"PERNEM","B . DESPRABHU",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,1,3,"PERNEM","P . O . S . GOVIND",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,1,4,"PERNEM","D . S . GOVINDRAO",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,1,5,"PERNEM","P . D . N . YESHWANT",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,1,6,"PERNEM","N . D . S . JAGANNATH",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,1,7,"PERNEM","T . N . SWAR",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,1,8,"PERNEM","B . K . VINAYAK",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,1,"MANDREM","A . J . DSOUZA",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,2,"MANDREM","K . M . VINAYAK",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,3,"MANDREM","G . N . MUKUND",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,4,"MANDREM","M . H . NAIK",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,5,"MANDREM","S . R . BHISU",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,6,"MANDREM","A . N . WAMAN",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,7,"MANDREM","P . D . Y . LAXMAN",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,8,"MANDREM","M . CHAVAN",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,9,"MANDREM","D . S . WAMAN",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,2,10,"MANDREM","V . M . KAMULKAR",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,3,1,"SIOLIM","A . P . PANDURANG",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,3,2,"SIOLIM","D . ZEFERINO",NA,NA,NA,NA,NA,NA
"Goa_Daman_&_Diu",1967,3,3,"SIOLIM","S . P . PURUSHOTTAM",NA,NA,NA,NA,NA,NA
