"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Goa_Daman_&_Diu",1967,1,"K . B . LAXMAN","M","MAG",4499,NA,NA,1
"Goa_Daman_&_Diu",1967,1,"B . DESPRABHU","M","IND",2181,NA,NA,2
"Goa_Daman_&_Diu",1967,1,"P . O . S . GOVIND","M","UGS",346,NA,NA,3
"Goa_Daman_&_Diu",1967,1,"D . S . GOVINDRAO","M","PSP",169,NA,NA,4
"Goa_Daman_&_Diu",1967,1,"P . D . N . YESHWANT","M","IND",146,NA,NA,5
"Goa_Daman_&_Diu",1967,1,"N . D . S . JAGANNATH","M","IND",89,NA,NA,6
"Goa_Daman_&_Diu",1967,1,"T . N . SWAR","M","IND",26,NA,NA,7
"Goa_Daman_&_Diu",1967,1,"B . K . VINAYAK","M","IND",24,NA,NA,8
"Goa_Daman_&_Diu",1967,2,"A . J . DSOUZA","M","MAG",6907,NA,NA,1
"Goa_Daman_&_Diu",1967,2,"K . M . VINAYAK","M","UGS",1540,NA,NA,2
"Goa_Daman_&_Diu",1967,2,"G . N . MUKUND","M","IND",445,NA,NA,3
"Goa_Daman_&_Diu",1967,2,"M . H . NAIK","M","IND",176,NA,NA,4
"Goa_Daman_&_Diu",1967,2,"S . R . BHISU","M","IND",155,NA,NA,5
"Goa_Daman_&_Diu",1967,2,"A . N . WAMAN","M","IND",148,NA,NA,6
"Goa_Daman_&_Diu",1967,2,"P . D . Y . LAXMAN","M","IND",127,NA,NA,7
"Goa_Daman_&_Diu",1967,2,"M . CHAVAN","M","IND",79,NA,NA,8
"Goa_Daman_&_Diu",1967,2,"D . S . WAMAN","M","IND",41,NA,NA,9
"Goa_Daman_&_Diu",1967,2,"V . M . KAMULKAR","M","IND",22,NA,NA,10
"Goa_Daman_&_Diu",1967,3,"A . P . PANDURANG","M","MAG",5175,NA,NA,1
"Goa_Daman_&_Diu",1967,3,"D . ZEFERINO","M","UGS",4556,NA,NA,2
"Goa_Daman_&_Diu",1967,3,"S . P . PURUSHOTTAM","M","IND",354,NA,NA,3
"Goa_Daman_&_Diu",1967,3,"C . K . NARAYAN","M","IND",132,NA,NA,4
"Goa_Daman_&_Diu",1967,3,"D . A . PRABHU","M","IND",50,NA,NA,5
"Goa_Daman_&_Diu",1967,3,"J . F . SANTAN","M","IND",12,NA,NA,6
"Goa_Daman_&_Diu",1967,4,"S . VALENTE","M","UGS",6329,NA,NA,1
"Goa_Daman_&_Diu",1967,4,"M . R . DHARMA","M","MAG",4633,NA,NA,2
"Goa_Daman_&_Diu",1967,4,"V . S . SOUZA","M","UGF",246,NA,NA,3
"Goa_Daman_&_Diu",1967,4,"M . A . FERNANDES","M","IND",182,NA,NA,4
