"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Goa_Daman_&_Diu",1967,1,"PERNEM","GEN",11647
"Goa_Daman_&_Diu",1967,2,"MANDREM","GEN",14942
"Goa_Daman_&_Diu",1967,3,"SIOLIM","GEN",14012
"Goa_Daman_&_Diu",1967,4,"CALANGUTE","GEN",15716
"Goa_Daman_&_Diu",1967,5,"ALDONA","GEN",14324
"Goa_Daman_&_Diu",1967,6,"MAPUCA","GEN",14427
"Goa_Daman_&_Diu",1967,7,"TIVIM","GEN",12164
"Goa_Daman_&_Diu",1967,8,"BICHOLIM","GEN",11807
"Goa_Daman_&_Diu",1967,9,"PALE","GEN",13196
"Goa_Daman_&_Diu",1967,10,"SATARI","GEN",12819
"Goa_Daman_&_Diu",1967,11,"PANJIM","GEN",13494
"Goa_Daman_&_Diu",1967,12,"SANTA CRUZ","GEN",15290
"Goa_Daman_&_Diu",1967,13,"SANTO ANDRE","GEN",13716
"Goa_Daman_&_Diu",1967,14,"ST ESTEVAM","GEN",14401
"Goa_Daman_&_Diu",1967,15,"MARCAIM","GEN",11867
"Goa_Daman_&_Diu",1967,16,"PONDA","GEN",13606
"Goa_Daman_&_Diu",1967,17,"SIRODA","GEN",14554
"Goa_Daman_&_Diu",1967,18,"SANGUEM","GEN",12616
"Goa_Daman_&_Diu",1967,19,"CANACONA","GEN",13146
"Goa_Daman_&_Diu",1967,20,"QUEPEM","GEN",10086
"Goa_Daman_&_Diu",1967,21,"CURCHOREM","GEN",13115
"Goa_Daman_&_Diu",1967,22,"CUNCOLIM","GEN",13952
"Goa_Daman_&_Diu",1967,23,"BENAULIM","GEN",14006
"Goa_Daman_&_Diu",1967,24,"NAVELIM","GEN",17715
"Goa_Daman_&_Diu",1967,25,"MARGAO","GEN",13185
"Goa_Daman_&_Diu",1967,26,"CURTORIM","GEN",16990
"Goa_Daman_&_Diu",1967,27,"CORTALIM","GEN",13915
"Goa_Daman_&_Diu",1967,28,"MARMAGOA","GEN",22253
"Goa_Daman_&_Diu",1967,29,"DAMAN","GEN",15530
"Goa_Daman_&_Diu",1967,30,"DIU","GEN",9913
"Goa_Daman_&_Diu",1972,1,"PERNEM","GEN",12349
"Goa_Daman_&_Diu",1972,2,"MANDREM","GEN",15881
"Goa_Daman_&_Diu",1972,3,"SIOLIM","GEN",14518
"Goa_Daman_&_Diu",1972,4,"CALANGUTE","GEN",16117
"Goa_Daman_&_Diu",1972,5,"ALDONA","GEN",15393
"Goa_Daman_&_Diu",1972,6,"MAPUCA","GEN",15817
