"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Gujarat",1,1962,2,1,"ABDASA",53.19,55.67,"General",66532,5805,3,1,"Male","SWA",19699,"MADHAVSINHJI MOKAJI JADEJA",16.4,"JUGATRAM DALPATRAM RAVAL","INC","M",NA
"Gujarat",1,1962,2,2,"BHUJ",54.47,67.02,"General",66312,13903,3,1,"Male","SWA",24209,"GULABSHANKER AMRITLAL",38.49,"KUNDANLAL JASHVANTRAY","INC","M",NA
"Gujarat",1,1962,2,3,"MANDVI",67.27,67.01,"General",59442,13604,2,1,"Male","SWA",26796,"MAHARAJ KUMARSHRI HIMTSINHJI VIJAYARAJJISAHEB",34.02,"JUMAKHLAL LAKHMICHAND MEHTA","INC","M",NA
"Gujarat",1,1962,2,4,"ANJAR",58.32,51.34,"General",74539,7446,4,1,"Male","SWA",22317,"MULJI PARSOTTAM",17.13,"MAHIPAL MULSHANKAR MEHTA","INC","M",NA
"Gujarat",1,1962,2,5,"RAPAR",53.79,66.06,"General",73492,12695,2,1,"Male","SWA",26113,"JADAVJI RAGHAVJI MORABIA",32.11,"HARILAL NANJI PATEL","INC","M",NA
"Gujarat",1,1962,2,6,"DASADA",55.58,69.51,"General",61924,14537,3,1,"Male","INC",23926,"RASIKLAL UMEDCHAND PARIKH",42.23,"VELJI SHANKER MOTKA","IND","M",NA
"Gujarat",1,1962,2,7,"WADHWAN",53.82,46.77,"General",60930,1769,4,1,"Female","INC",15338,"ARUNA SHANKER PRASAD DESAI",5.39,"CHUNILAL POPATLAL CHUDGAR","IND","M",NA
"Gujarat",1,1962,2,8,"LIMBDI",49.08,67.56,"SC",57495,12899,4,1,"Male","INC",19064,"PETHABHAI GANESHBHAI PARMAR",45.71,"GOVIND SARA PARMAR","IND","M",NA
"Gujarat",1,1962,2,9,"CHOTILA",45.24,55.87,"General",65014,4620,3,1,"Male","INC",16433,"TRAMBAKLAL MOHANLAL DAVE",15.71,"MOHANBHAI KHODABHAI SARVAIYA","IND","M",NA
"Gujarat",1,1962,2,10,"DHRANGADHRA",42.11,67.48,"General",61821,11212,3,1,"Male","INC",17568,"LABHASHANKER MAGANLAL SHUKLA",43.07,"KANTILAL BECHARDAS SHAH","IND","M",NA
"Gujarat",1,1962,2,11,"MORVI",51.84,51.38,"General",68301,5588,5,1,"Male","INC",18193,"GOKALDAS DOSABHAI PARMAR",15.78,"RATIBHAI UKABHAI PATEL","IND","M",NA
"Gujarat",1,1962,2,12,"WANKANER",58.35,60.21,"General",61849,10518,3,1,"Male","IND",21728,"DIGVIJAYSINHJI PRATAPSINHJI",29.15,"JUGATRAM RATANJI RAVAL","INC","M",NA
"Gujarat",1,1962,2,13,"RAJKOT",54.87,39.15,"General",72809,2983,3,1,"Male","IND",15638,"BABUBHAI PARANJIVAN VAIDYA",7.47,"RATILAL DOSABHAI TANNA","INC","M",NA
"Gujarat",1,1962,2,14,"PADDHARI",47.88,53.74,"General",62765,5125,4,1,"Male","IND",16151,"MANOHARSINHJI PRADUMANSINHJI JADEJA",17.05,"JASDANWALA AKBARALI AMIJI","INC","M",NA
"Gujarat",1,1962,2,15,"GONDAL",40.04,69.38,"General",44749,6944,2,1,"Male","INC",12431,"VAJUBHAI MANILAL SHAH",38.75,"POPATBHAI HIRJIBHAI PATEL","IND","M",NA
"Gujarat",1,1962,2,16,"JASDAN",37.43,55.25,"General",54089,4682,4,1,"Male","INC",11186,"VASANT PRABHA JAYSHUKHLAL SHAH",23.13,"GELA KARSHAN CHHAYANI","PSP","M",NA
"Gujarat",1,1962,2,17,"JETPUR",38.58,84.41,"General",51292,14077,3,1,"Male","INC",16704,"NARANBHAI KALIDAS PATEL",71.14,"PRATAPRAI HAKMICHAND DESAI","IND","M",NA
"Gujarat",1,1962,2,18,"DHORAJI",49.54,64.17,"General",50475,8191,4,1,"Male","INC",16046,"GOVIND KESAVJI PATEL",32.76,"CHIMANDAS AMICHAND MEHTA","NJP","M",NA
"Gujarat",1,1962,2,19,"UPLETA",53.92,68.54,"General",54049,12902,3,1,"Male","INC",19974,"JAIRAM ANAND PATEL",44.27,"VAJUBHAI MAYASHANKER SHUKLA","NJP","M",NA
