"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Gujarat",1962,1,"ABDASA","GEN","MADHAVSINHJI MOKAJI JADEJA","SWA",19699,1,55.67
"Gujarat",1962,1,"ABDASA","GEN","JUGATRAM DALPATRAM RAVAL","INC",13894,2,39.26
"Gujarat",1962,1,"ABDASA","GEN","PRANLAL NANCHAND SHAH","NJP",1794,3,5.07
"Gujarat",1962,2,"BHUJ","GEN","GULABSHANKER AMRITLAL","SWA",24209,1,67.02
"Gujarat",1962,2,"BHUJ","GEN","KUNDANLAL JASHVANTRAY","INC",10306,2,28.53
"Gujarat",1962,2,"BHUJ","GEN","MOHANLAL LALJI","IND",1608,3,4.45
"Gujarat",1962,3,"MANDVI","GEN","MAHARAJ KUMARSHRI HIMTSINHJI VIJAYARAJJISAHEB","SWA",26796,1,67.01
"Gujarat",1962,3,"MANDVI","GEN","JUMAKHLAL LAKHMICHAND MEHTA","INC",13192,2,32.99
"Gujarat",1962,4,"ANJAR","GEN","MULJI PARSOTTAM","SWA",22317,1,51.34
"Gujarat",1962,4,"ANJAR","GEN","MAHIPAL MULSHANKAR MEHTA","INC",14871,2,34.21
"Gujarat",1962,4,"ANJAR","GEN","PRATAPRAY BACHOMAL","JS",4700,3,10.81
"Gujarat",1962,4,"ANJAR","GEN","TARAMATI PRANLAL SHAH","NJP",1585,4,3.65
"Gujarat",1962,5,"RAPAR","GEN","JADAVJI RAGHAVJI MORABIA","SWA",26113,1,66.06
"Gujarat",1962,5,"RAPAR","GEN","HARILAL NANJI PATEL","INC",13418,2,33.94
"Gujarat",1962,6,"DASADA","GEN","RASIKLAL UMEDCHAND PARIKH","INC",23926,1,69.51
"Gujarat",1962,6,"DASADA","GEN","VELJI SHANKER MOTKA","IND",9389,2,27.28
"Gujarat",1962,6,"DASADA","GEN","DEVENDRA DHIRAJLAL VYAS","PSP",1105,3,3.21
"Gujarat",1962,7,"WADHWAN","GEN","ARUNA SHANKER PRASAD DESAI","INC",15338,1,46.77
"Gujarat",1962,7,"WADHWAN","GEN","CHUNILAL POPATLAL CHUDGAR","IND",13569,2,41.38
"Gujarat",1962,7,"WADHWAN","GEN","SHANTILAL PARSHOTTAMDAS CHAMPANERI","PSP",3383,3,10.32
"Gujarat",1962,7,"WADHWAN","GEN","KIRTISINH GOVINDSINH RANA","JS",502,4,1.53
"Gujarat",1962,8,"LIMBDI","SC","PETHABHAI GANESHBHAI PARMAR","INC",19064,1,67.56
"Gujarat",1962,8,"LIMBDI","SC","GOVIND SARA PARMAR","IND",6165,2,21.85
"Gujarat",1962,8,"LIMBDI","SC","MANGA CHAKU LADHER","JS",2000,3,7.09
"Gujarat",1962,8,"LIMBDI","SC","KANTILAL MOHANLAL SHARMA","PSP",990,4,3.51
"Gujarat",1962,9,"CHOTILA","GEN","TRAMBAKLAL MOHANLAL DAVE","INC",16433,1,55.87
"Gujarat",1962,9,"CHOTILA","GEN","MOHANBHAI KHODABHAI SARVAIYA","IND",11813,2,40.16
"Gujarat",1962,9,"CHOTILA","GEN","LADHUBHA DIPSINH JHALLA","HMS",1168,3,3.97
"Gujarat",1962,10,"DHRANGADHRA","GEN","LABHASHANKER MAGANLAL SHUKLA","INC",17568,1,67.48
"Gujarat",1962,10,"DHRANGADHRA","GEN","KANTILAL BECHARDAS SHAH","IND",6356,2,24.41
"Gujarat",1962,10,"DHRANGADHRA","GEN","GAVRISHANKER PREMSHANKER SHUKLA","IND",2111,3,8.11
"Gujarat",1962,11,"MORVI","GEN","GOKALDAS DOSABHAI PARMAR","INC",18193,1,51.38
"Gujarat",1962,11,"MORVI","GEN","RATIBHAI UKABHAI PATEL","IND",12605,2,35.6
"Gujarat",1962,11,"MORVI","GEN","CHHAGAN TRIBHOVAN PATEL","JS",3234,3,9.13
"Gujarat",1962,11,"MORVI","GEN","BHOGILAL RAVICHAND MEHTA","SOC",1062,4,3
"Gujarat",1962,11,"MORVI","GEN","DHIRAJLAL KARASAN VED","IND",312,5,0.88
"Gujarat",1962,12,"WANKANER","GEN","DIGVIJAYSINHJI PRATAPSINHJI","IND",21728,1,60.21
"Gujarat",1962,12,"WANKANER","GEN","JUGATRAM RATANJI RAVAL","INC",11210,2,31.06
"Gujarat",1962,12,"WANKANER","GEN","GOVINDBHAI JETHABHAI PATEL","IND",3150,3,8.73
"Gujarat",1962,13,"RAJKOT","GEN","BABUBHAI PARANJIVAN VAIDYA","IND",15638,1,39.15
"Gujarat",1962,13,"RAJKOT","GEN","RATILAL DOSABHAI TANNA","INC",12655,2,31.68
"Gujarat",1962,13,"RAJKOT","GEN","CHIMANLAL HARILAL SHUKLA","JS",11654,3,29.17
"Gujarat",1962,14,"PADDHARI","GEN","MANOHARSINHJI PRADUMANSINHJI JADEJA","IND",16151,1,53.74
"Gujarat",1962,14,"PADDHARI","GEN","JASDANWALA AKBARALI AMIJI","INC",11026,2,36.69
"Gujarat",1962,14,"PADDHARI","GEN","PARSANA MITHABHAI MAVJIBHAI","IND",2361,3,7.86
"Gujarat",1962,14,"PADDHARI","GEN","SAGTHIA LAKHA AMARA","REP",514,4,1.71
"Gujarat",1962,15,"GONDAL","GEN","VAJUBHAI MANILAL SHAH","INC",12431,1,69.38
"Gujarat",1962,15,"GONDAL","GEN","POPATBHAI HIRJIBHAI PATEL","IND",5487,2,30.62
"Gujarat",1962,16,"JASDAN","GEN","VASANT PRABHA JAYSHUKHLAL SHAH","INC",11186,1,55.25
"Gujarat",1962,16,"JASDAN","GEN","GELA KARSHAN CHHAYANI","PSP",6504,2,32.13
"Gujarat",1962,16,"JASDAN","GEN","LABHUBAI RAM BHARAD","JS",1292,3,6.38
"Gujarat",1962,16,"JASDAN","GEN","BHANUSHANKER DIVESHWAR VYAS","IND",1263,4,6.24
"Gujarat",1962,17,"JETPUR","GEN","NARANBHAI KALIDAS PATEL","INC",16704,1,84.41
"Gujarat",1962,17,"JETPUR","GEN","PRATAPRAI HAKMICHAND DESAI","IND",2627,2,13.28
"Gujarat",1962,17,"JETPUR","GEN","CHHOTALAL VITHALJI RAJAPOPAT","HMS",457,3,2.31
"Gujarat",1962,18,"DHORAJI","GEN","GOVIND KESAVJI PATEL","INC",16046,1,64.17
"Gujarat",1962,18,"DHORAJI","GEN","CHIMANDAS AMICHAND MEHTA","NJP",7855,2,31.41
"Gujarat",1962,18,"DHORAJI","GEN","RAJNIKANT SHANTILAL DHRUV","PSP",650,3,2.6
"Gujarat",1962,18,"DHORAJI","GEN","RAJALAL MEGHJI KOTADIA","SWA",453,4,1.81
"Gujarat",1962,19,"UPLETA","GEN","JAIRAM ANAND PATEL","INC",19974,1,68.54
"Gujarat",1962,19,"UPLETA","GEN","VAJUBHAI MAYASHANKER SHUKLA","NJP",7072,2,24.27
"Gujarat",1962,19,"UPLETA","GEN","BLKRISHNA NARENDRARAI MANKAD","SWA",2095,3,7.19
"Gujarat",1962,20,"JODIA","GEN","NARANDAS PITAMBAR ROPAT","IND",12859,1,50.95
"Gujarat",1962,20,"JODIA","GEN","KANTILAL PREMCHAND SHAH","INC",11277,2,44.68
"Gujarat",1962,20,"JODIA","GEN","SHIVAJI KARSHAN CHANDRAPAL","REP",1102,3,4.37
"Gujarat",1962,21,"JAMNAGAR","GEN","MANJULABEN JAYANTILAL DAVE","INC",12614,1,41.05
"Gujarat",1962,21,"JAMNAGAR","GEN","SHANTILALA HEMCHAND VASA","NJP",12056,2,39.23
"Gujarat",1962,21,"JAMNAGAR","GEN","IBRAHIM MUSA KHURESHI","IND",2444,3,7.95
"Gujarat",1962,21,"JAMNAGAR","GEN","MEGHJI JETHABHAI CHAUHAN","JS",2144,4,6.98
"Gujarat",1962,21,"JAMNAGAR","GEN","VINODRAI BHAGVANDAS SHETH","SWA",1045,5,3.4
"Gujarat",1962,21,"JAMNAGAR","GEN","FATEHCHAND POHUSING DUDANI","IND",230,6,0.75
"Gujarat",1962,21,"JAMNAGAR","GEN","KANJI VALJI PADALIA","HMS",195,7,0.63
"Gujarat",1962,22,"KALAWAD","GEN","BHANJI BHIMJI DHUDHAGARA","INC",16386,1,64.21
"Gujarat",1962,22,"KALAWAD","GEN","DIGVIJAYSINHJI HAMIRSINHJI JADEJA","SWA",4355,2,17.07
"Gujarat",1962,22,"KALAWAD","GEN","BHIKHUBHAI DESHALBHAI VAGHELA","NJP",2687,3,10.53
"Gujarat",1962,22,"KALAWAD","GEN","AMRUTLAL MAKANJI BHATT","IND",1358,4,5.32
"Gujarat",1962,22,"KALAWAD","GEN","LAVJI GOVIND VASOYA","IND",732,5,2.87
"Gujarat",1962,23,"JAMJODHPUR","GEN","NANJI DEVJI SINOJIA","INC",16563,1,76.89
"Gujarat",1962,23,"JAMJODHPUR","GEN","NAVALSHANKER BHAGVANJI JOSHI","SWA",4979,2,23.11
"Gujarat",1962,24,"KHAMBHALIA","GEN","HARILAL RAMJI NAKUM","INC",13593,1,67.46
"Gujarat",1962,24,"KHAMBHALIA","GEN","DUWARKASA VITHALDAS BARAI","PSP",5439,2,26.99
"Gujarat",1962,24,"KHAMBHALIA","GEN","RANCHHHODLAL PARSOTAM BHATT","SWA",1117,3,5.54
"Gujarat",1962,25,"DWARKA","GEN","HARIDAS JAMNADAS KANANI","INC",15313,1,64.78
"Gujarat",1962,25,"DWARKA","GEN","RAMBHAI KARABHAI AHER","IND",5945,2,25.15
"Gujarat",1962,25,"DWARKA","GEN","RAMANLAL BHUDERJI THAKER","SWA",2045,3,8.65
"Gujarat",1962,25,"DWARKA","GEN","SHIVLAL JAMNASAS THAKER","IND",335,4,1.42
"Gujarat",1962,26,"PORBANDAR","GEN","POPATLAL DAHYABHAI KAKKAD","INC",12172,1,54.57
"Gujarat",1962,26,"PORBANDAR","GEN","RAMBHAI LAKHANSHI VISANA","CPI",9390,2,42.1
