"state","year","month","party","seats"
"Gujarat",1962,2,"INC","73.38"
"Gujarat",1967,2,"INC","55.36"
"Gujarat",1972,2,"INC","83.33"
"Gujarat",1975,2,"INC","41.44"
"Gujarat",1985,2,"INC","81.87"
"Gujarat",1990,2,"INC","18.13"
"Gujarat",1995,2,"INC","24.73"
"Gujarat",1998,2,"INC","29.12"
"Gujarat",2002,2,"INC","28.02"
"Gujarat",2007,2,"INC","32.42"
"Gujarat",2012,2,"INC","33.52"
"Gujarat",1962,2,"IND","4.55"
"Gujarat",1967,2,"IND","2.98"
"Gujarat",1972,2,"IND","4.76"
"Gujarat",1975,2,"IND","8.29"
"Gujarat",1980,2,"IND","5.49"
"Gujarat",1985,2,"IND","4.4"
"Gujarat",1990,2,"IND","6.04"
"Gujarat",1995,2,"IND","8.79"
"Gujarat",1998,2,"IND","1.65"
"Gujarat",2002,2,"IND","1.1"
"Gujarat",2007,2,"IND","1.1"
"Gujarat",2012,2,"IND","0.55"
"Gujarat",1962,2,"PSP","4.55"
"Gujarat",1967,2,"PSP","1.79"
"Gujarat",1962,2,"SWA","16.88"
"Gujarat",1967,2,"SWA","39.29"
"Gujarat",1972,2,"SWA","0"
"Gujarat",1962,2,"NJP","0.65"
"Gujarat",1967,2,"BJS","0.6"
"Gujarat",1972,2,"BJS","1.79"
"Gujarat",1975,2,"BJS","9.94"
"Gujarat",1990,2,"BJS","0"
"Gujarat",1972,2,"NCO","9.52"
"Gujarat",1975,2,"NCO","30.94"
"Gujarat",1962,2,"CPI","0"
"Gujarat",1972,2,"CPI","0.6"
"Gujarat",1975,2,"CPI","0"
"Gujarat",1980,2,"CPI","0"
"Gujarat",1985,2,"CPI","0"
"Gujarat",1990,2,"CPI","0"
"Gujarat",1995,2,"CPI","0"
"Gujarat",1998,2,"CPI","0"
"Gujarat",2002,2,"CPI","0"
"Gujarat",2007,2,"CPI","0"
"Gujarat",2012,2,"CPI","0"
"Gujarat",1975,2,"KLP","6.63"
"Gujarat",1980,2,"JNP(SC)","0.55"
"Gujarat",1980,2,"JNP(JP)","11.54"
"Gujarat",1990,2,"JNP(JP)","0"
"Gujarat",1980,2,"BJP","4.95"
"Gujarat",1985,2,"BJP","6.04"
"Gujarat",1990,2,"BJP","36.81"
"Gujarat",1995,2,"BJP","66.48"
"Gujarat",1998,2,"BJP","64.29"
"Gujarat",2002,2,"BJP","69.78"
"Gujarat",2007,2,"BJP","63.74"
"Gujarat",2012,2,"BJP","63.19"
"Gujarat",1980,2,"INC(I)","77.47"
"Gujarat",1985,2,"JNP","7.69"
"Gujarat",1990,2,"YVP","0.55"
"Gujarat",1990,2,"JD","38.46"
"Gujarat",1995,2,"JD","0"
"Gujarat",1998,2,"JD","2.2"
"Gujarat",1998,2,"AIRJP","2.2"
"Gujarat",2002,2,"JD(U)","1.1"
"Gujarat",2007,2,"JD(U)","0.55"
"Gujarat",2012,2,"JD(U)","0.55"
"Gujarat",2007,2,"BJNKP","0.55"
"Gujarat",2002,2,"NCP","0"
"Gujarat",2007,2,"NCP","1.65"
"Gujarat",2012,2,"NCP","1.1"
"Gujarat",2012,2,"GPP","1.1"
