"state","year","month","party","votes"
"Gujarat",1962,2,"JS","1.34"
"Gujarat",1962,2,"INC","50.84"
"Gujarat",1967,2,"INC","45.96"
"Gujarat",1972,2,"INC","50.93"
"Gujarat",1975,2,"INC","40.7"
"Gujarat",1985,2,"INC","55.55"
"Gujarat",1990,2,"INC","30.74"
"Gujarat",1995,2,"INC","32.86"
"Gujarat",1998,2,"INC","34.85"
"Gujarat",2002,2,"INC","39.28"
"Gujarat",2007,2,"INC","38.14"
"Gujarat",2012,2,"INC","38.93"
"Gujarat",1962,2,"SWA","24.44"
"Gujarat",1967,2,"SWA","38.19"
"Gujarat",1972,2,"SWA","1.78"
"Gujarat",1962,2,"IND","12.02"
"Gujarat",1967,2,"IND","10.19"
"Gujarat",1972,2,"IND","12.96"
"Gujarat",1975,2,"IND","11.58"
"Gujarat",1980,2,"IND","9.97"
"Gujarat",1985,2,"IND","9.28"
"Gujarat",1990,2,"IND","10.43"
"Gujarat",1995,2,"IND","18.7"
"Gujarat",1998,2,"IND","5.24"
"Gujarat",2002,2,"IND","5.72"
"Gujarat",2007,2,"IND","6.72"
"Gujarat",2012,2,"IND","5.83"
"Gujarat",1962,2,"NJP","2.51"
"Gujarat",1962,2,"PSP","7.74"
"Gujarat",1967,2,"PSP","3.33"
"Gujarat",1967,2,"SSP","0.37"
"Gujarat",1967,2,"BJS","1.88"
"Gujarat",1972,2,"BJS","9.29"
"Gujarat",1975,2,"BJS","8.82"
"Gujarat",1990,2,"BJS","0.04"
"Gujarat",1972,2,"NCO","23.49"
"Gujarat",1975,2,"NCO","23.6"
"Gujarat",1972,2,"SOP","0.72"
"Gujarat",1975,2,"KLP","11.53"
"Gujarat",1975,2,"BLD","1.45"
"Gujarat",1980,2,"JNP(JP)","22.77"
"Gujarat",1990,2,"JNP(JP)","0.55"
"Gujarat",1980,2,"INC(I)","51.04"
"Gujarat",1980,2,"INC(U)","0.97"
"Gujarat",1980,2,"JNP(SC)","0.63"
"Gujarat",1980,2,"BJP","14.02"
"Gujarat",1985,2,"BJP","14.96"
"Gujarat",1990,2,"BJP","26.69"
"Gujarat",1995,2,"BJP","42.52"
"Gujarat",1998,2,"BJP","44.81"
"Gujarat",2002,2,"BJP","49.85"
"Gujarat",2007,2,"BJP","48.9"
"Gujarat",2012,2,"BJP","47.85"
"Gujarat",1962,2,"CPI","0.18"
"Gujarat",1972,2,"CPI","0.47"
"Gujarat",1975,2,"CPI","0.2"
"Gujarat",1980,2,"CPI","0.32"
"Gujarat",1985,2,"CPI","0.26"
"Gujarat",1990,2,"CPI","0.09"
"Gujarat",1995,2,"CPI","0.11"
"Gujarat",1998,2,"CPI","0.06"
"Gujarat",2002,2,"CPI","0.02"
"Gujarat",2007,2,"CPI","0.02"
"Gujarat",2012,2,"CPI","0.02"
"Gujarat",1985,2,"DDP","0.51"
"Gujarat",1990,2,"DDP","0.41"
"Gujarat",1995,2,"DDP","0.66"
"Gujarat",1985,2,"JNP","19.25"
"Gujarat",1990,2,"JD","29.37"
"Gujarat",1995,2,"JD","2.82"
"Gujarat",1998,2,"JD","2.63"
"Gujarat",1990,2,"YVP","0.85"
"Gujarat",1990,2,"BSP","0.04"
"Gujarat",1995,2,"BSP","1.6"
"Gujarat",1998,2,"BSP","0.08"
"Gujarat",2002,2,"BSP","0.32"
"Gujarat",2007,2,"BSP","2.65"
"Gujarat",2012,2,"BSP","1.25"
"Gujarat",1975,2,"SP","0.73"
"Gujarat",1995,2,"SP","0.08"
"Gujarat",1998,2,"SP","0.4"
"Gujarat",2002,2,"SP","0.32"
"Gujarat",2007,2,"SP","0.16"
"Gujarat",2012,2,"SP","0.26"
"Gujarat",1998,2,"AIRJP","11.68"
"Gujarat",2002,2,"BNP","1.15"
"Gujarat",2002,2,"JD(U)","0.86"
"Gujarat",2007,2,"JD(U)","0.65"
"Gujarat",2012,2,"JD(U)","0.67"
"Gujarat",2002,2,"NCP","1.71"
"Gujarat",2007,2,"NCP","0.98"
"Gujarat",2012,2,"NCP","0.95"
"Gujarat",2012,2,"GPP","3.63"
