"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Gujarat",1962,100,1,"UTTARSANDA","RAMANBHAI ASHABHAI PATEL",NA,"PATEL","INTERMEDIARY CASTE","HINDU",NA,NA
"Gujarat",1962,100,2,"UTTARSANDA","AJITKUMAR FULSINHJI DABHI",NA,"","","",NA,NA
"Gujarat",1962,100,3,"UTTARSANDA","VAGHELA AMARSINHJI BHUPATSINHJI",NA,"","","",NA,NA
"Gujarat",1962,10,1,"DHRANGADHRA","LABHASHANKER MAGANLAL SHUKLA",NA,"BRAHMIN","UPPER CASTE","HINDU",NA,NA
"Gujarat",1962,101,1,"NADIAD","MANMOHANDAS BHAGWANDAS DESAI",NA,"BRAHMIN","INTERMEDIARY CASTE","HINDU",NA,NA
"Gujarat",1962,101,2,"NADIAD","CHUNIBHAI MULJIBHAI PATEL",NA,"","","",NA,NA
"Gujarat",1962,101,3,"NADIAD","JITENDRABHAI KANAIYALAL PARIKH",NA,"","","",NA,NA
"Gujarat",1962,10,2,"DHRANGADHRA","KANTILAL BECHARDAS SHAH",NA,"","","",NA,NA
"Gujarat",1962,102,1,"KATHLAL","JUVANSINH AMARSINH THAKOR",NA,"RAJPUT","OBC PP","HINDU",NA,NA
"Gujarat",1962,102,2,"KATHLAL","ABHESING KODARBHAI PARMAR",NA,"","","",NA,NA
"Gujarat",1962,102,3,"KATHLAL","GANPATRAM CHUNILAL JOSHI",NA,"","","",NA,NA
"Gujarat",1962,10,3,"DHRANGADHRA","GAVRISHANKER PREMSHANKER SHUKLA",NA,"","","",NA,NA
"Gujarat",1962,103,1,"KAPADWANJ","UTSAVBHAI SHANKERLAL PARIKH",NA,"BRAHMIN","UPPER CASTE","HINDU",NA,NA
"Gujarat",1962,103,2,"KAPADWANJ","DHANVANTLAL MANEKLAL SHROFF",NA,"","","",NA,NA
"Gujarat",1962,103,3,"KAPADWANJ","KANSINHY SARDARJI ZALA",NA,"","","",NA,NA
"Gujarat",1962,103,4,"KAPADWANJ","GIRDHARBHAI PARSOTAMDAS PATEL",NA,"","","",NA,NA
"Gujarat",1962,104,1,"BALASINOR","MAKAVANA SHANTA YOGENDRAKUMAR",NA,"BALMIKI","SC","HINDU",NA,NA
"Gujarat",1962,104,2,"BALASINOR","DAHYABHAI PITAMBARDAS MAKAVANA",NA,"","","",NA,NA
"Gujarat",1962,104,3,"BALASINOR","MAYAVANSHI GOVINDBHAI VIRABHAI",NA,"","","",NA,NA
"Gujarat",1962,105,1,"THASRA","KIRITSINH AMARSINH THAKORE",NA,"RAJPUT","OBC PP","HINDU",NA,NA
"Gujarat",1962,105,2,"THASRA","FULABHAI JAVARBHAI PATEL",NA,"","","",NA,NA
"Gujarat",1962,105,3,"THASRA","MOTIBHAI MANORBHAI PARMAR",NA,"","","",NA,NA
"Gujarat",1962,106,1,"HALOL","MANSINGH VECHATBHAI NAIK",NA,"BHIL","ST","HINDU",NA,NA
"Gujarat",1962,106,2,"HALOL","JALUBHAI DABHAIBHAI NAIK",NA,"","","",NA,NA
"Gujarat",1962,106,3,"HALOL","NURA KHALPA RATHAWA",NA,"","","",NA,NA
"Gujarat",1962,107,1,"KALOL","VIJAYSINHJI BHARATSINHJI CHAUHAN",NA,"RAJPUT","OBC PP","HINDU",NA,NA
"Gujarat",1962,107,2,"KALOL","RAMSINH RATANSINGH THAKORE",NA,"","","",NA,NA
"Gujarat",1962,107,3,"KALOL","MOHANSINH MANSINH RATHOD",NA,"","","",NA,NA
"Gujarat",1962,107,4,"KALOL","KANCHANBHAI MANGALBHAI PATEL",NA,"","","",NA,NA
"Gujarat",1962,107,5,"KALOL","AMBALAL JOITARAM VYAS",NA,"","","",NA,NA
"Gujarat",1962,107,6,"KALOL","AMBALAL HIRALAL SHAH",NA,"","","",NA,NA
"Gujarat",1962,108,1,"SALIA","RAMUBHAI JETHABHAI BHATIA",NA,"VAISHYA","UPPER CASTE","HINDU",NA,NA
"Gujarat",1962,108,2,"SALIA","SURENDRARAY BHAURAY DESAI",NA,"","","",NA,NA
"Gujarat",1962,108,3,"SALIA","BARIA SHANABHAI NANBHAI",NA,"","","",NA,NA
"Gujarat",1962,108,4,"SALIA","VAGHABHAI CHHALABHAI MALIVAD",NA,"","","",NA,NA
"Gujarat",1962,108,5,"SALIA","CHHATRASINH SAVABHAI BARIA",NA,"","","",NA,NA
"Gujarat",1962,108,6,"SALIA","MANHARSINH NINDRASINHJI RANA",NA,"","","",NA,NA
"Gujarat",1962,108,7,"SALIA","RAJENDRA CHUNILAL SHAH",NA,"","","",NA,NA
"Gujarat",1962,109,1,"GODHRA","TAHERALI ABDULALI",NA,"INSUFFICIENT INFO.","MUSLIM LOWER CASTE","MUSLIM",NA,NA
"Gujarat",1962,109,2,"GODHRA","SHIROIA SOMALAL NATHAJIBHAI",NA,"","","",NA,NA
"Gujarat",1962,109,3,"GODHRA","CHAMPAKLAL DWARKADAS DESAI",NA,"","","",NA,NA
"Gujarat",1962,109,4,"GODHRA","RAJPUT DAHYABHAI LALLUBHAI",NA,"","","",NA,NA
"Gujarat",1962,109,5,"GODHRA","BRAHMKSHATRI NANJIMAL CHANDULMAL",NA,"","","",NA,NA
"Gujarat",1962,109,6,"GODHRA","NANALAL JAGANNATH JOSHI",NA,"","","",NA,NA
"Gujarat",1962,1,1,"ABDASA","MADHAVSINHJI MOKAJI JADEJA",NA,"RAJPUT","UPPER CASTE","HINDU",NA,NA
"Gujarat",1962,110,1,"SHEHRA","PARVATSINH GHAMIRBHAI PARMAR",NA,"RAJPUT","OBC PP","HINDU",NA,NA
"Gujarat",1962,110,2,"SHEHRA","KHATUBHAI ABHENSINH PAGI",NA,"","","",NA,NA
"Gujarat",1962,110,3,"SHEHRA","DAJIBHAI BAPUJIBHAI PATEL",NA,"","","",NA,NA
"Gujarat",1962,110,4,"SHEHRA","SWARUPSINH MAKANSINH RATHOD",NA,"","","",NA,NA
"Gujarat",1962,11,1,"MORVI","GOKALDAS DOSABHAI PARMAR",NA,"JATAV","NOT ASCERTAINED","HINDU",NA,NA
"Gujarat",1962,111,1,"LUNAWADA","SHRI JATASHANKER DALSUKHRAM PANDYA",NA,"BRAHMIN","UPPER CASTE","HINDU",NA,NA
