"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Gujarat",1962,1,"MADHAVSINHJI MOKAJI JADEJA","M","SWA",19699,NA,NA,1
"Gujarat",1962,1,"JUGATRAM DALPATRAM RAVAL","M","INC",13894,NA,NA,2
"Gujarat",1962,1,"PRANLAL NANCHAND SHAH","M","NJP",1794,NA,NA,3
"Gujarat",1962,2,"GULABSHANKER AMRITLAL","M","SWA",24209,NA,NA,1
"Gujarat",1962,2,"KUNDANLAL JASHVANTRAY","M","INC",10306,NA,NA,2
"Gujarat",1962,2,"MOHANLAL LALJI","M","IND",1608,NA,NA,3
"Gujarat",1962,3,"MAHARAJ KUMARSHRI HIMTSINHJI VIJAYARAJJISAHEB","M","SWA",26796,NA,NA,1
"Gujarat",1962,3,"JUMAKHLAL LAKHMICHAND MEHTA","M","INC",13192,NA,NA,2
"Gujarat",1962,4,"MULJI PARSOTTAM","M","SWA",22317,NA,NA,1
"Gujarat",1962,4,"MAHIPAL MULSHANKAR MEHTA","M","INC",14871,NA,NA,2
"Gujarat",1962,4,"PRATAPRAY BACHOMAL","M","JS",4700,NA,NA,3
"Gujarat",1962,4,"TARAMATI PRANLAL SHAH","F","NJP",1585,NA,NA,4
"Gujarat",1962,5,"JADAVJI RAGHAVJI MORABIA","M","SWA",26113,NA,NA,1
"Gujarat",1962,5,"HARILAL NANJI PATEL","M","INC",13418,NA,NA,2
"Gujarat",1962,6,"RASIKLAL UMEDCHAND PARIKH","M","INC",23926,NA,NA,1
"Gujarat",1962,6,"VELJI SHANKER MOTKA","M","IND",9389,NA,NA,2
"Gujarat",1962,6,"DEVENDRA DHIRAJLAL VYAS","M","PSP",1105,NA,NA,3
"Gujarat",1962,7,"ARUNA SHANKER PRASAD DESAI","F","INC",15338,NA,NA,1
"Gujarat",1962,7,"CHUNILAL POPATLAL CHUDGAR","M","IND",13569,NA,NA,2
"Gujarat",1962,7,"SHANTILAL PARSHOTTAMDAS CHAMPANERI","M","PSP",3383,NA,NA,3
"Gujarat",1962,7,"KIRTISINH GOVINDSINH RANA","M","JS",502,NA,NA,4
"Gujarat",1962,8,"PETHABHAI GANESHBHAI PARMAR","M","INC",19064,NA,NA,1
"Gujarat",1962,8,"GOVIND SARA PARMAR","M","IND",6165,NA,NA,2
"Gujarat",1962,8,"MANGA CHAKU LADHER","M","JS",2000,NA,NA,3
"Gujarat",1962,8,"KANTILAL MOHANLAL SHARMA","M","PSP",990,NA,NA,4
"Gujarat",1962,9,"TRAMBAKLAL MOHANLAL DAVE","M","INC",16433,NA,NA,1
"Gujarat",1962,9,"MOHANBHAI KHODABHAI SARVAIYA","M","IND",11813,NA,NA,2
"Gujarat",1962,9,"LADHUBHA DIPSINH JHALLA","M","HMS",1168,NA,NA,3
"Gujarat",1962,10,"LABHASHANKER MAGANLAL SHUKLA","M","INC",17568,NA,NA,1
"Gujarat",1962,10,"KANTILAL BECHARDAS SHAH","M","IND",6356,NA,NA,2
"Gujarat",1962,10,"GAVRISHANKER PREMSHANKER SHUKLA","M","IND",2111,NA,NA,3
"Gujarat",1962,11,"GOKALDAS DOSABHAI PARMAR","M","INC",18193,NA,NA,1
"Gujarat",1962,11,"RATIBHAI UKABHAI PATEL","M","IND",12605,NA,NA,2
"Gujarat",1962,11,"CHHAGAN TRIBHOVAN PATEL","M","JS",3234,NA,NA,3
"Gujarat",1962,11,"BHOGILAL RAVICHAND MEHTA","M","SOC",1062,NA,NA,4
"Gujarat",1962,11,"DHIRAJLAL KARASAN VED","M","IND",312,NA,NA,5
"Gujarat",1962,12,"DIGVIJAYSINHJI PRATAPSINHJI","M","IND",21728,NA,NA,1
"Gujarat",1962,12,"JUGATRAM RATANJI RAVAL","M","INC",11210,NA,NA,2
"Gujarat",1962,12,"GOVINDBHAI JETHABHAI PATEL","M","IND",3150,NA,NA,3
"Gujarat",1962,13,"BABUBHAI PARANJIVAN VAIDYA","M","IND",15638,NA,NA,1
"Gujarat",1962,13,"RATILAL DOSABHAI TANNA","M","INC",12655,NA,NA,2
"Gujarat",1962,13,"CHIMANLAL HARILAL SHUKLA","M","JS",11654,NA,NA,3
"Gujarat",1962,14,"MANOHARSINHJI PRADUMANSINHJI JADEJA","M","IND",16151,NA,NA,1
"Gujarat",1962,14,"JASDANWALA AKBARALI AMIJI","M","INC",11026,NA,NA,2
"Gujarat",1962,14,"PARSANA MITHABHAI MAVJIBHAI","M","IND",2361,NA,NA,3
"Gujarat",1962,14,"SAGTHIA LAKHA AMARA","M","REP",514,NA,NA,4
"Gujarat",1962,15,"VAJUBHAI MANILAL SHAH","M","INC",12431,NA,NA,1
"Gujarat",1962,15,"POPATBHAI HIRJIBHAI PATEL","M","IND",5487,NA,NA,2
"Gujarat",1962,16,"VASANT PRABHA JAYSHUKHLAL SHAH","M","INC",11186,NA,NA,1
"Gujarat",1962,16,"GELA KARSHAN CHHAYANI","M","PSP",6504,NA,NA,2
"Gujarat",1962,16,"LABHUBAI RAM BHARAD","M","JS",1292,NA,NA,3
"Gujarat",1962,16,"BHANUSHANKER DIVESHWAR VYAS","M","IND",1263,NA,NA,4
"Gujarat",1962,17,"NARANBHAI KALIDAS PATEL","M","INC",16704,NA,NA,1
"Gujarat",1962,17,"PRATAPRAI HAKMICHAND DESAI","M","IND",2627,NA,NA,2
"Gujarat",1962,17,"CHHOTALAL VITHALJI RAJAPOPAT","M","HMS",457,NA,NA,3
"Gujarat",1962,18,"GOVIND KESAVJI PATEL","M","INC",16046,NA,NA,1
"Gujarat",1962,18,"CHIMANDAS AMICHAND MEHTA","M","NJP",7855,NA,NA,2
"Gujarat",1962,18,"RAJNIKANT SHANTILAL DHRUV","M","PSP",650,NA,NA,3
"Gujarat",1962,18,"RAJALAL MEGHJI KOTADIA","M","SWA",453,NA,NA,4
"Gujarat",1962,19,"JAIRAM ANAND PATEL","M","INC",19974,NA,NA,1
"Gujarat",1962,19,"VAJUBHAI MAYASHANKER SHUKLA","M","NJP",7072,NA,NA,2
"Gujarat",1962,19,"BLKRISHNA NARENDRARAI MANKAD","M","SWA",2095,NA,NA,3
"Gujarat",1962,20,"NARANDAS PITAMBAR ROPAT","M","IND",12859,NA,NA,1
"Gujarat",1962,20,"KANTILAL PREMCHAND SHAH","M","INC",11277,NA,NA,2
"Gujarat",1962,20,"SHIVAJI KARSHAN CHANDRAPAL","M","REP",1102,NA,NA,3
"Gujarat",1962,21,"MANJULABEN JAYANTILAL DAVE","F","INC",12614,NA,NA,1
"Gujarat",1962,21,"SHANTILALA HEMCHAND VASA","M","NJP",12056,NA,NA,2
"Gujarat",1962,21,"IBRAHIM MUSA KHURESHI","M","IND",2444,NA,NA,3
"Gujarat",1962,21,"MEGHJI JETHABHAI CHAUHAN","M","JS",2144,NA,NA,4
"Gujarat",1962,21,"VINODRAI BHAGVANDAS SHETH","M","SWA",1045,NA,NA,5
"Gujarat",1962,21,"FATEHCHAND POHUSING DUDANI","M","IND",230,NA,NA,6
"Gujarat",1962,21,"KANJI VALJI PADALIA","M","HMS",195,NA,NA,7
"Gujarat",1962,22,"BHANJI BHIMJI DHUDHAGARA","M","INC",16386,NA,NA,1
"Gujarat",1962,22,"DIGVIJAYSINHJI HAMIRSINHJI JADEJA","M","SWA",4355,NA,NA,2
"Gujarat",1962,22,"BHIKHUBHAI DESHALBHAI VAGHELA","M","NJP",2687,NA,NA,3
"Gujarat",1962,22,"AMRUTLAL MAKANJI BHATT","M","IND",1358,NA,NA,4
"Gujarat",1962,22,"LAVJI GOVIND VASOYA","M","IND",732,NA,NA,5
"Gujarat",1962,23,"NANJI DEVJI SINOJIA","M","INC",16563,NA,NA,1
"Gujarat",1962,23,"NAVALSHANKER BHAGVANJI JOSHI","M","SWA",4979,NA,NA,2
"Gujarat",1962,24,"HARILAL RAMJI NAKUM","M","INC",13593,NA,NA,1
"Gujarat",1962,24,"DUWARKASA VITHALDAS BARAI","M","PSP",5439,NA,NA,2
"Gujarat",1962,24,"RANCHHHODLAL PARSOTAM BHATT","M","SWA",1117,NA,NA,3
"Gujarat",1962,25,"HARIDAS JAMNADAS KANANI","M","INC",15313,NA,NA,1
"Gujarat",1962,25,"RAMBHAI KARABHAI AHER","M","IND",5945,NA,NA,2
"Gujarat",1962,25,"RAMANLAL BHUDERJI THAKER","M","SWA",2045,NA,NA,3
"Gujarat",1962,25,"SHIVLAL JAMNASAS THAKER","M","IND",335,NA,NA,4
"Gujarat",1962,26,"POPATLAL DAHYABHAI KAKKAD","M","INC",12172,NA,NA,1
"Gujarat",1962,26,"RAMBHAI LAKHANSHI VISANA","M","CPI",9390,NA,NA,2
"Gujarat",1962,26,"MOHAN VELJI SOLANKI","M","JS",744,NA,NA,3
"Gujarat",1962,27,"MALDEVJI MANDALKJI ODEDRA","M","INC",18887,NA,NA,1
"Gujarat",1962,27,"HARJIVAN VELJI JASANI","M","JS",3173,NA,NA,2
"Gujarat",1962,27,"DANA NARAN MAKVANA","M","IND",1954,NA,NA,3
"Gujarat",1962,28,"MANHARLALA AMRABHAI CHAVDA","M","INC",19330,NA,NA,1
"Gujarat",1962,28,"GIRDHARBHAI VALJIBHAI VAGHELA","M","IND",5124,NA,NA,2
"Gujarat",1962,28,"NATHALAL KHIMJI DHAMAD","M","JS",2834,NA,NA,3
"Gujarat",1962,28,"MULDAS MANOHARDAS SOLANKI","M","REP",707,NA,NA,4
"Gujarat",1962,28,"AMARNATH GOPALNATH YADAV","M","SWA",629,NA,NA,5
"Gujarat",1962,29,"THAKARSHI DHANJI LADANI","M","INC",17200,NA,NA,1
"Gujarat",1962,29,"DHARAMSHI DAYABHAI PATEL","M","IND",10173,NA,NA,2
"Gujarat",1962,30,"KUNDANLAL DIVYAKANT","M","INC",16170,NA,NA,1
"Gujarat",1962,30,"SURYAKANT KRIPASHANKAR ACHARYA","M","JS",6180,NA,NA,2
"Gujarat",1962,30,"HARBHAI SHAMJIBHAI PATEL","M","IND",5336,NA,NA,3
"Gujarat",1962,30,"PATHAN IBRAHIMKHAN NURKHAN KHALIL","M","IND",1101,NA,NA,4
"Gujarat",1962,30,"JANAKRAI SHIVDATRAI MANKAD","M","SWA",520,NA,NA,5
"Gujarat",1962,31,"MADINABEN AKBARBHAI NAGORI","F","INC",13655,NA,NA,1
"Gujarat",1962,31,"SHARDABEN DHARAMSIBHAI PATEL","F","IND",6884,NA,NA,2
"Gujarat",1962,31,"GHUNSA DOSA TALAVIYA","M","PSP",2923,NA,NA,3
"Gujarat",1962,32,"RATIBHAI UKABHAI PATEL","M","IND",16334,NA,NA,1
"Gujarat",1962,32,"MAHENDRAKUMAR RAMBHAI GAL","M","INC",13623,NA,NA,2
"Gujarat",1962,33,"RAMANLAL PRABHUDAS SHAH","M","INC",21882,NA,NA,1
"Gujarat",1962,33,"KANJI GANDA GOHEL","M","IND",16192,NA,NA,2
"Gujarat",1962,33,"ABA UMAR BIN AHMED JAMADAR","M","PSP",680,NA,NA,3
"Gujarat",1962,33,"VITHALDAS VALABHDAS SANGANI","M","IND",187,NA,NA,4
"Gujarat",1962,34,"RATUBHAI MULSHANKAR ADANI","M","INC",17328,NA,NA,1
"Gujarat",1962,34,"RASIKCHANDRA DEVSHANKAR ACHARYA","M","PSP",10184,NA,NA,2
"Gujarat",1962,35,"KANSAGRA JINA DEVRAJ","M","INC",19510,NA,NA,1
"Gujarat",1962,35,"VAKHARIA KRISHNAKANT GULABCHAND","M","PSP",9554,NA,NA,2
"Gujarat",1962,36,"SUMITRABAHEN HARIPRASAD BHATT","M","INC",17473,NA,NA,1
"Gujarat",1962,36,"MASRANI KHODIDAS DURLABHJI","M","PSP",7381,NA,NA,2
"Gujarat",1962,36,"BHIMJI MEGHJI PATEL","M","IND",1220,NA,NA,3
"Gujarat",1962,36,"BACHU JADAV UKANI","M","IND",544,NA,NA,4
"Gujarat",1962,37,"JIVRAJ NARAYAN MEHTA","M","INC",17194,NA,NA,1
"Gujarat",1962,37,"PANERI NARBHESHANKAR NANJI","M","PSP",9889,NA,NA,2
"Gujarat",1962,37,"GOKALDAS MADHAVJI GANDHI","M","HMS",505,NA,NA,3
"Gujarat",1962,38,"LEUVA PREMJI THOBHAN","M","INC",28207,NA,NA,1
"Gujarat",1962,38,"SOSA NAJA MEGHA","M","PSP",7609,NA,NA,2
"Gujarat",1962,39,"CHHOTALAL TRIBHOVANDAS MEHTA","M","INC",16963,NA,NA,1
"Gujarat",1962,39,"PITAMBARDAS DURLABHDAS VORA","M","PSP",10135,NA,NA,2
"Gujarat",1962,40,"SHETH LALLUBHAI MOTICHAND","M","INC",21157,NA,NA,1
"Gujarat",1962,40,"RAVANI NAVINCHANDRA PARMANANDAS","M","PSP",15790,NA,NA,2
"Gujarat",1962,41,"JHALAVADIA VALABHBHAI BHIMIJI","M","INC",11423,NA,NA,1
"Gujarat",1962,41,"BATUKBHAI HARGOVINDDAS","M","IND",9266,NA,NA,2
"Gujarat",1962,41,"MORADIA BHAVAN HARI","M","SWA",2425,NA,NA,3
"Gujarat",1962,41,"RAMANIKLAL BHAGWANIJI SHUKLA","M","PSP",1893,NA,NA,4
"Gujarat",1962,41,"SHAMBHUSHANKER DHANJI TRIVEDI","M","IND",1793,NA,NA,5
"Gujarat",1962,42,"DEVENDRABHAI MOTIBHAI DESHAI","M","INC",15130,NA,NA,1
"Gujarat",1962,42,"CHANDRAKANT MOHANLAL THAKAR","M","PSP",7755,NA,NA,2
"Gujarat",1962,42,"DELIVALA NATVERLAL SHIVLAL","M","SWA",2418,NA,NA,3
"Gujarat",1962,43,"LANI BHOGILAL TULSIDAS","M","INC",15497,NA,NA,1
"Gujarat",1962,43,"JANI NATVARLAL KRIPASHANKER","M","PSP",7456,NA,NA,2
"Gujarat",1962,43,"GOHIL TEMUBHA KHODUBHA","M","SWA",3298,NA,NA,3
"Gujarat",1962,44,"PRATAPRAI TARACHAND SHAH","M","PSP",14531,NA,NA,1
"Gujarat",1962,44,"BALVANTRAI GOPALJI MEHTA","M","INC",13635,NA,NA,2
"Gujarat",1962,44,"PRANBHAI HARIBHAI BHATT","M","IND",868,NA,NA,3
"Gujarat",1962,44,"MAHASUKHRAI GIRJASHANKER","M","SWA",733,NA,NA,4
"Gujarat",1962,45,"KAPASI ZAITUN AHEMADALLI","M","INC",11083,NA,NA,1
"Gujarat",1962,45,"NIRUBEN JIVRAJBHAI PATEL","F","NJP",6467,NA,NA,2
"Gujarat",1962,45,"HARISINH; AKHUBHA GOHEL","M","JS",5558,NA,NA,3
"Gujarat",1962,45,"THAKAR KANAYALAL VRAJLAL","M","PSP",4742,NA,NA,4
"Gujarat",1962,45,"DEVJIBAI JIVABHAI","M","IND",205,NA,NA,5
"Gujarat",1962,45,"SAVITABEN SHAMBHUPRASAD ACHARYA","F","IND",154,NA,NA,6
"Gujarat",1962,46,"GOHIL SHIVBHADRASINHJI KRISHNAKUMARSINHJI","M","IND",16233,NA,NA,1
"Gujarat",1962,46,"DOSHI JASVANTRAY JUGALDAS","M","INC",7047,NA,NA,2
"Gujarat",1962,46,"CHHABILDAS PRAGJIBHAI MEHTA","M","PSP",4303,NA,NA,3
"Gujarat",1962,47,"JASVANTRAY NANUBHAI MEHTA","M","PSP",21407,NA,NA,1
"Gujarat",1962,47,"RASIKLAL FULSHANKER SHUKLA","M","INC",11912,NA,NA,2
"Gujarat",1962,48,"PORANIA DEVKARAN JIVANLAL","M","INC",20044,NA,NA,1
"Gujarat",1962,48,"AMARATLAL MOTIBHAI BAROT","M","SWA",4720,NA,NA,2
