"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Gujarat",1962,1,"ABDASA","GEN",66532
"Gujarat",1962,2,"BHUJ","GEN",66312
"Gujarat",1962,3,"MANDVI","GEN",59442
"Gujarat",1962,4,"ANJAR","GEN",74539
"Gujarat",1962,5,"RAPAR","GEN",73492
"Gujarat",1962,6,"DASADA","GEN",61924
"Gujarat",1962,7,"WADHWAN","GEN",60930
"Gujarat",1962,8,"LIMBDI","SC",57495
"Gujarat",1962,9,"CHOTILA","GEN",65014
"Gujarat",1962,10,"DHRANGADHRA","GEN",61821
"Gujarat",1962,11,"MORVI","GEN",68301
"Gujarat",1962,12,"WANKANER","GEN",61849
"Gujarat",1962,13,"RAJKOT","GEN",72809
"Gujarat",1962,14,"PADDHARI","GEN",62765
"Gujarat",1962,15,"GONDAL","GEN",44749
"Gujarat",1962,16,"JASDAN","GEN",54089
"Gujarat",1962,17,"JETPUR","GEN",51292
"Gujarat",1962,18,"DHORAJI","GEN",50475
"Gujarat",1962,19,"UPLETA","GEN",54049
"Gujarat",1962,20,"JODIA","GEN",53458
"Gujarat",1962,21,"JAMNAGAR","GEN",64868
"Gujarat",1962,22,"KALAWAD","GEN",74810
"Gujarat",1962,23,"JAMJODHPUR","GEN",57717
"Gujarat",1962,24,"KHAMBHALIA","GEN",61966
"Gujarat",1962,25,"DWARKA","GEN",56148
"Gujarat",1962,26,"PORBANDAR","GEN",57842
"Gujarat",1962,27,"KUTIYANA","GEN",53617
"Gujarat",1962,28,"MANAVADAR","SC",66442
"Gujarat",1962,29,"KESHOD","GEN",65590
"Gujarat",1962,30,"JUNAGADH","GEN",61814
"Gujarat",1962,31,"VISAVADAR","GEN",57298
"Gujarat",1962,32,"MALIA","GEN",58337
"Gujarat",1962,33,"SOMNATH","GEN",59968
"Gujarat",1962,34,"UNA","GEN",51708
"Gujarat",1962,35,"BABRA","GEN",67391
"Gujarat",1962,36,"LATHI","GEN",51141
"Gujarat",1962,37,"AMRELI","GEN",48504
"Gujarat",1962,38,"DHARI KODINAR","SC",74175
"Gujarat",1962,39,"RAJULA","GEN",63552
"Gujarat",1962,40,"KUNDLA","GEN",61741
"Gujarat",1962,41,"PALITANA","GEN",58140
"Gujarat",1962,42,"BOTAD","GEN",66470
