"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Gujarat",4,1,"ABDASA","GEN","KACHCHH","KACHCHH","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,2,"MANDVI","GEN","KACHCHH","KACHCHH","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,3,"BHUJ","GEN","KACHCHH","KACHCHH","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,4,"ANJAR","GEN","KACHCHH","KACHCHH","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,5,"GANDHIDHAM","SC","KACHCHH","KACHCHH","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,6,"RAPAR","GEN","KACHCHH","KACHCHH","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,7,"VAV","GEN","BANASKANTHA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,8,"THARAD","GEN","BANASKANTHA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,9,"DHANERA","GEN","BANASKANTHA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,10,"DANTA","ST","BANASKANTHA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,11,"VADGAM","SC","BANASKANTHA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,12,"PALANPUR","GEN","BANASKANTHA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,13,"DEESA","GEN","BANASKANTHA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,14,"DEODAR","GEN","BANASKANTHA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,15,"KANKREJ","GEN","BANASKANTHA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,16,"RADHANPUR","GEN","PATAN","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,17,"CHANASMA","GEN","PATAN","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,18,"PATAN","GEN","PATAN","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,19,"SIDHPUR","GEN","PATAN","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,20,"KHERALU","GEN","PATAN","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,21,"UNJHA","GEN","MEHSANA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,22,"VISNAGAR","GEN","MEHSANA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,23,"BECHARAJI","GEN","MEHSANA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,24,"KADI","SC","MEHSANA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,25,"MEHSANA","GEN","MEHSANA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,26,"VIJAPUR","GEN","MEHSANA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,27,"HIMATNAGAR","GEN","SABARKANTHA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,28,"IDAR","SC","SABARKANTHA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,29,"KHEDBRAHMA","ST","SABARKANTHA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,30,"BHILODA","ST","ARVALLI","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,31,"MODASA","GEN","ARVALLI","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,32,"BAYAD","GEN","ARVALLI","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,33,"PRANTIJ","GEN","SABARKANTHA","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,34,"DEHGAM","GEN","GANDHINAGAR","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,35,"GANDHINAGAR SOUTH","GEN","GANDHINAGAR","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,36,"GANDHINAGAR NORTH","GEN","GANDHINAGAR","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,37,"MANSA","GEN","GANDHINAGAR","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,38,"KALOL","GEN","GANDHINAGAR","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,39,"VIRAMGAM","GEN","AHMEDABAD","AHMEDABAD RURAL","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,40,"SANAND","GEN","AHMEDABAD","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,41,"GHATLODIA","GEN","AHMEDABAD","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,42,"VEJALPUR","GEN","AHMEDABAD","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,43,"VATVA","GEN","SURENDRANAGAR","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,44,"ELLIS BRIDGE","GEN","SURENDRANAGAR","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
"Gujarat",4,45,"NARANPURA","GEN","SURENDRANAGAR","NORTH GUJARAT","https://en.wikipedia.org/wiki/List_of_districts_of_Gujarat"
