"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Haryana",1,1967,2,1,"KALKA",72.15,32.39,"General",54716,701,5,1,"Male","IND",12787,"L. SINGH",1.78,"K. LAL","INC","M",NA
"Haryana",1,1967,2,2,"NARAINGARH",65.64,45.35,"General",56067,8163,6,1,"Male","INC",16691,"L. SINGH",22.18,"R. N. SARUP","BJS","M",NA
"Haryana",1,1967,2,3,"CHHACHROLI",63.7,42.48,"SC",57364,920,4,1,"Male","INC",15525,"R. PARKASH",2.52,"P. CHAND","IND","M",NA
"Haryana",1,1967,2,4,"JAGADHRI",74.24,41.12,"General",48041,1809,7,1,"Male","BJS",14665,"D. PRAKASH",5.07,"G. SINGH","INC","M",NA
"Haryana",1,1967,2,5,"YAMUNANAGAR",73.2,52.43,"General",57429,6624,4,1,"Male","INC",22043,"B. DAYAL",15.76,"R. LAL","BJS","M",NA
"Haryana",1,1967,2,6,"MULLANA",60.85,52.53,"SC",52219,4373,4,1,"Male","RPI",16694,"R. PRASAD",13.76,"S. RAM","INC","M",NA
"Haryana",1,1967,2,7,"NAGGAL",65.63,54.32,"General",49071,5064,4,1,"Female","INC",17494,"LAKHWATI",15.72,"M. SINGH","IND","M",NA
"Haryana",1,1967,2,8,"AMBALA CANTONMENT",69.95,41.65,"General",38934,498,5,1,"Male","INC",11343,"D. R. ANAND",1.83,"P. NATH","BJS","M",NA
"Haryana",1,1967,2,9,"AMBALA",69.72,50.5,"General",45123,6914,4,1,"Male","BJS",15887,"F. CHAND",21.98,"A. G. KHAN","INC","M",NA
"Haryana",1,1967,2,10,"SHAHABAD",71.14,34.75,"General",44788,296,5,1,"Male","INC",11074,"J. CHANDER",0.93,"K. CHAND","BJS","M",NA
"Haryana",1,1967,2,11,"THANESAR",73.01,52.49,"General",48691,3837,5,1,"Male","INC",18659,"D. PRAKASH",10.79,"B. SINGH","BJS","M",NA
"Haryana",1,1967,2,12,"BABAIN",72.23,60.76,"SC",49862,10160,3,1,"Male","INC",21884,"C. RAM",28.21,"R. DIA","BJS","M",NA
"Haryana",1,1967,2,13,"NILOKHERI",71.23,33.81,"General",44039,1311,5,1,"Male","BJS",10605,"S. RAM",4.18,"C. SINGH","IND","M",NA
"Haryana",1,1967,2,14,"INDRI",70.26,46.92,"General",51738,11171,7,1,"Female","INC",17056,"P. DEVI",30.73,"T. RAM","BJS","M",NA
"Haryana",1,1967,2,15,"KARNAL",72.93,31.38,"General",51136,2487,6,1,"Male","BJS",11702,"R. LAL",6.67,"L. RAM","INC","M",NA
"Haryana",1,1967,2,16,"JUNDLA",62.33,34.69,"SC",50145,147,7,1,"Male","INC",10843,"R. KISHAN",0.47,"B. RAM","RPI","M",NA
"Haryana",1,1967,2,17,"GHARAUNDA",71.89,34.27,"General",56442,1170,4,1,"Male","INC",13906,"M. CHAND",2.88,"R. SINGH","BJS","M",NA
"Haryana",1,1967,2,18,"SAMBHALKA",70.24,30.73,"General",56590,114,5,1,"Male","BJS",12215,"RANDHIR",0.29,"K. SINGH","INC","M",NA
"Haryana",1,1967,2,19,"PANIPAT",74.94,49.71,"General",54919,2325,4,1,"Male","BJS",20459,"F. CHAND",5.65,"H. RAI","INC","M",NA
"Haryana",1,1967,2,20,"NAULTHA",73.11,36.34,"General",48723,3439,9,1,"Male","INC",12943,"M. SINGH",9.65,"D. SINGH","IND","M",NA
"Haryana",1,1967,2,21,"RAJAUND",66.68,41.81,"SC",60950,6060,7,1,"Male","INC",16992,"R. SINGH",14.91,"B. SINGH","SWA","M",NA
"Haryana",1,1967,2,22,"PUNDRI",77.8,49.04,"General",52792,6473,4,1,"Male","INC",20143,"R. P. SINGH",15.76,"I. SINGH","IND","M",NA
"Haryana",1,1967,2,23,"SHERHADA",73.85,29.86,"General",54771,439,6,1,"Male","IND",12080,"P. A. J. SINGH",1.09,"S. SINGH","INC","M",NA
"Haryana",1,1967,2,24,"KAITHAL",74.99,51.56,"General",56724,1918,3,1,"Female","INC",21933,"O. PRABHA",4.51,"A. CHAND","SWA","M",NA
"Haryana",1,1967,2,25,"PEHOWA",65.87,34.47,"General",57305,1893,6,1,"Male","SWA",13010,"C. LAL",5.02,"M. SINGH","INC","M",NA
"Haryana",1,1967,2,26,"KALYAT",70.81,42.13,"SC",53328,358,9,1,"Male","SWA",15910,"MARU",0.95,"B. RAM","INC","M",NA
"Haryana",1,1967,2,27,"NARWANA",77.25,49.67,"General",55063,1519,3,1,"Male","RPI",21130,"S. SINGH",3.57,"K. RAM","INC","M",NA
"Haryana",1,1967,2,28,"JIND",71.04,59.26,"General",61965,10541,5,1,"Male","INC",26089,"D. KISHAN",23.95,"I. SINGH","IND","M",NA
"Haryana",1,1967,2,29,"JULANA",74.74,56.24,"General",51229,9323,4,1,"Male","INC",21534,"D. SINGH",24.35,"G. RAM","BJS","M",NA
"Haryana",1,1967,2,30,"SAFIDON",71.61,48.67,"General",50758,5971,7,1,"Male","INC",17692,"S. KRISHAN",16.43,"S. NARAIN","IND","M",NA
"Haryana",1,1967,2,31,"MEHAM",74.42,48.92,"General",51840,5514,6,1,"Male","IND",18875,"M. SINGH",14.29,"B. PRASAD","INC","M",NA
"Haryana",1,1967,2,32,"BARODA",65.02,36.24,"SC",55864,1527,11,1,"Male","INC",13164,"R. DHARI",4.2,"D. SINGH","BJS","M",NA
"Haryana",1,1967,2,33,"GOHANA",74.87,51.3,"General",51803,7997,8,1,"Male","INC",19898,"R. DHARI",20.62,"H. KISHAN","IND","M",NA
"Haryana",1,1967,2,34,"KAILANA",75.49,48.58,"General",51395,1411,6,1,"Male","INC",18847,"R. SINGH",3.64,"C. LAL","IND","M",NA
"Haryana",1,1967,2,35,"SONEPAT",71.83,45.72,"General",54589,895,4,1,"Male","INC",17930,"M. LAL",2.28,"M. SINGH","BJS","M",NA
"Haryana",1,1967,2,36,"RAI",76.07,53.54,"General",49387,3909,4,1,"Male","INC",20115,"R. RAM",10.41,"BANWARI","IND","M",NA
"Haryana",1,1967,2,37,"ROHAT",63.6,41.85,"SC",48848,1781,12,1,"Male","IND",13001,"B. SINGH",5.73,"S. RAM","INC","M",NA
"Haryana",1,1967,2,38,"HASSANGARH",70.08,31.4,"General",50746,2109,6,1,"Male","INC",11167,"S. CHAND",5.93,"H. SINGH","IND","M",NA
"Haryana",1,1967,2,39,"KILOI",78.95,53.78,"General",49644,8673,6,1,"Male","IND",21079,"S. NATH",22.13,"R. SINGH","INC","M",NA
"Haryana",1,1967,2,40,"ROHTAK",75.45,55.39,"General",56642,5114,6,1,"Male","BJS",23672,"M. SEIN",11.97,"T. CHAND","INC","M",NA
"Haryana",1,1967,2,41,"KALANAUR",73.72,51.2,"General",47962,8131,4,1,"Male","BJS",18103,"N. SINGH",23,"S. SINGH","INC","M",NA
"Haryana",1,1967,2,42,"BERI",73.63,52.5,"General",58403,13953,6,1,"Male","INC",22577,"P. S. DAULATA",32.45,"N. KUMAR","IND","M",NA
"Haryana",1,1967,2,43,"SALHAWAS",59.09,37.6,"SC",64002,941,10,1,"Male","INC",14219,"P. CHAND",2.49,"A. SINGH","IND","M",NA
"Haryana",1,1967,2,44,"JHAJJAR",75.44,31.66,"General",62906,3745,7,1,"Male","IND",15024,"M. SINGH",7.89,"C. SINGH","IND","M",NA
"Haryana",1,1967,2,45,"BHADURGARH",70.71,56.88,"General",61509,13011,6,1,"Male","INC",24737,"H. LAL",29.92,"H. SINGH","IND","M",NA
"Haryana",1,1967,2,46,"FARIDABAD",61.03,31.93,"General",66894,5831,10,1,"Male","INC",13037,"K. D. KAPIL",14.28,"K. KUMAR","IND","M",NA
"Haryana",1,1967,2,47,"BALLABHGARH",67.85,36.95,"General",61061,2402,4,1,"Male","INC",15308,"T. RAM",5.8,"S. SINGH","IND","M",NA
"Haryana",1,1967,2,48,"PALWAL",70.26,26.78,"General",60436,362,5,1,"Male","IND",11374,"DHAN SINGH",0.85,"M. CHAND","BJS","M",NA
"Haryana",1,1967,2,49,"HASSANPUR",64.6,28.31,"SC",57183,360,8,1,"Male","IND",10458,"G. LAL",0.97,"M. SINGH","INC","M",NA
"Haryana",1,1967,2,50,"FEROZPUR JHIRKA",67.23,52.6,"General",53848,1880,2,1,"Male","SWA",19040,"D. MOHAMMAD",5.19,"T. HUISAIN","INC","M",NA
"Haryana",1,1967,2,51,"NUH",66.34,41.5,"General",55256,1041,3,1,"Male","IND",15212,"R. KHAN",2.84,"K. AHMED","INC","M",NA
"Haryana",1,1967,2,52,"HATHIN",62.74,50.18,"General",56915,8731,4,1,"Male","INC",17921,"D. SINGH",24.45,"R. SINGH","IND","M",NA
"Haryana",1,1967,2,53,"SOHNA",64.55,40.28,"General",60500,2682,6,1,"Male","IND",15733,"M. SINGH",6.87,"B. DAYAL","INC","M",NA
"Haryana",1,1967,2,54,"GURGAON",69.58,52.82,"General",56569,4225,5,1,"Male","BJS",20792,"P. S. THAPRAN",10.73,"K. L. PASWAL","INC","M",NA
"Haryana",1,1967,2,55,"PATAUDI",76.45,50.25,"General",58613,986,3,1,"Male","INC",22517,"B. SINGH",2.2,"S. RAM","IND","M",NA
"Haryana",1,1967,2,56,"REWARI",67.53,56,"General",48855,5366,4,1,"Female","INC",18474,"S. DEVI",16.27,"A. SINGH","BJS","M",NA
"Haryana",1,1967,2,57,"BAWAL",53.63,29.08,"SC",52755,488,8,1,"Male","IND",8227,"K. LAL",1.72,"R. PARSHAD","IND","M",NA
"Haryana",1,1967,2,58,"JATUSANA",63.75,48.48,"General",59671,1701,5,1,"Male","IND",18443,"J. SINGH",4.47,"N. SINGH","INC","M",NA
"Haryana",1,1967,2,59,"ATELI",63.89,48.78,"General",56497,967,3,1,"Male","INC",17607,"N. SINGH",2.68,"R. JIWAN","IND","M",NA
"Haryana",1,1967,2,60,"NARNAUL",62.43,32.43,"General",51026,554,6,1,"Male","BJS",10330,"B. LAL",1.74,"R. S. C. MITTAL","INC","M",NA
"Haryana",1,1967,2,61,"MAHENDRAGARH",61.82,29.05,"General",53230,922,5,1,"Male","IND",9558,"H. SINGH",2.8,"R. SINGH","IND","M",NA
"Haryana",1,1967,2,62,"KANINA",61.77,56.13,"General",50134,5145,4,1,"Male","IND",17381,"D. SINGH",16.61,"B. DHAR","INC","M",NA
"Haryana",1,1967,2,63,"BADHRA",67.25,37.13,"General",60089,5368,7,1,"Male","IND",15003,"A. SINGH",13.28,"CHANDRAWATI","INC","F",NA
"Haryana",1,1967,2,64,"DADRI",64.65,38.7,"SC",55089,1382,8,1,"Male","INC",13782,"G. RAI",3.88,"H. SINGH","SSP","M",NA
"Haryana",1,1967,2,65,"LOHARU",65.89,45.79,"General",53822,3129,5,1,"Male","INC",16240,"H. NAND",8.82,"T. RAM","SSP","M",NA
"Haryana",1,1967,2,66,"TOSHAM",64.8,33.98,"General",52278,5369,12,1,"Male","INC",11511,"B. LAL",15.85,"M. R. D. RAM","SSP","M",NA
"Haryana",1,1967,2,67,"BHIWANI",70.06,49.74,"General",50480,4168,9,1,"Male","BJS",17591,"B. DEV",11.79,"S. RAM","INC","M",NA
"Haryana",1,1967,2,68,"MUNDHAL KHURD",71.1,32,"General",49067,1178,10,1,"Male","IND",11163,"J. SINGH",3.38,"S. SINGH","INC","M",NA
"Haryana",1,1967,2,69,"NARNAUND",70.84,35.03,"General",54069,3026,8,1,"Male","INC",13417,"R. DATT",7.9,"J. SINGH","IND","M",NA
"Haryana",1,1967,2,70,"HANSI",72.33,43.23,"General",52559,9664,6,1,"Male","INC",16435,"H. SINGH",25.42,"K. SINGH","IND","M",NA
"Haryana",1,1967,2,71,"BAWANIKHERA",61.67,53.72,"SC",51851,10313,8,1,"Male","INC",17179,"J. NATH",32.25,"F. SINGH","IND","M",NA
"Haryana",1,1967,2,72,"ADAMPUR",71.88,43.41,"General",54341,251,8,1,"Male","INC",16955,"H. SINGH",0.64,"R. SINGH","IND","M",NA
"Haryana",1,1967,2,73,"HISSAR",66,31.55,"General",54195,224,8,1,"Male","INC",11285,"S. LATA",0.63,"B. RAI","IND","M",NA
"Haryana",1,1967,2,74,"BARWALA",68.42,53.75,"SC",54215,6513,5,1,"Male","INC",19936,"P. SINGH",17.56,"A. SINGH","SSP","M",NA
"Haryana",1,1967,2,75,"TOHANA",65.84,51.9,"General",56174,5662,4,1,"Male","INC",19196,"H. SINGH",15.31,"S. SINGH","SSP","M",NA
"Haryana",1,1967,2,76,"FATEHABAD",70.15,52.09,"General",62481,13170,7,1,"Male","INC",22830,"G. RAI",30.05,"M. RAM","IND","M",NA
"Haryana",1,1967,2,77,"BADOPAL",75.84,65.96,"General",54040,17745,5,1,"Male","INC",27034,"M. RAM",43.3,"C. LAL","IND","M",NA
"Haryana",1,1967,2,78,"SIRSA",67.24,51.25,"General",54570,5067,4,1,"Male","BJS",18805,"L. DASS",13.81,"S. RAM","INC","M",NA
"Haryana",1,1967,2,79,"RORI",67.52,43.51,"General",62735,3172,3,1,"Male","INC",18432,"P. S. DASS",7.49,"D. SINGH","IND","M",NA
"Haryana",1,1967,2,80,"DABWALI",60.82,46.41,"SC",53928,870,5,1,"Male","INC",15221,"K. RAM",2.65,"P. CHANDER","IND","M",NA
"Haryana",1,1967,2,81,"ELLENABAD",70.4,51.18,"General",56092,2647,5,1,"Male","INC",20208,"P. SINGH",6.7,"L. CHAND","IND","M",NA
"Haryana",2,1968,2,1,"KALKA",66.93,58.34,"General",58604,9328,6,1,"Male","INC",22880,"KISHORI LAL",23.78,"LACHHMAN SINGH","IND","M",NA
"Haryana",2,1968,2,2,"NARAINGARH",39.45,65.46,"General",57091,11160,5,1,"Male","INC",14745,"LAL SINGH",49.54,"JAGAT NARAIN","BKD","M",NA
"Haryana",2,1968,2,3,"CHHACHHRAULI",39.79,59.45,"SC",57897,4356,2,1,"Male","INC",13696,"PARBHU",18.91,"PHOOL CHAND","VHP","M",NA
"Haryana",2,1968,2,4,"JAGADHRI",56.88,46.23,"General",51468,4102,9,1,"Male","INC",13534,"RAMESHWAR DASS",14.01,"BRIJMOHAN LAL","BJS","M",NA
"Haryana",2,1968,2,5,"YAMUNA NAGAR",59.05,29.28,"General",59230,2478,9,1,"Male","BJS",10243,"MALIK CHAND",7.08,"BHUPINDER SINGH","IND","M",NA
"Haryana",2,1968,2,6,"MULLANA",50.81,60.98,"SC",54313,6651,3,1,"Male","INC",16830,"RAM PARKASH",24.1,"RAM PARSHAD","RPI","M",NA
"Haryana",2,1968,2,7,"NAGGAL",52.62,37.83,"General",43478,2371,10,1,"Male","INC",8654,"ABDUL GAFFAR KHAN",10.36,"MOHINDER SINGH","IND","M",NA
"Haryana",2,1968,2,8,"AMBALA CANTONMENT",61.05,51.62,"General",41282,1403,5,1,"Male","BJS",13009,"BHAGWAN DASS",5.57,"DEV RAJ ANAND","INC","M",NA
"Haryana",2,1968,2,9,"AMBALA",54.04,55.58,"General",48449,5070,8,1,"Female","INC",14552,"LEKHWATI JAIN",19.36,"FAQUIR CHAND","BJS","M",NA
"Haryana",2,1968,2,10,"SHAHABAD",57.36,38.5,"General",46256,1632,3,1,"Male","INC",10215,"JAGDISH CHANDER",6.15,"JAGJIT SINGH","VHP","M",NA
"Haryana",2,1968,2,11,"THANESAR",58.78,48.05,"General",51244,384,3,1,"Male","INC",14473,"OM PARKASH",1.27,"RAM SARAN DASS","BJS","M",NA
