"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Haryana",1967,1,"KALKA","GEN","L. SINGH","IND",12787,1,32.39
"Haryana",1967,1,"KALKA","GEN","K. LAL","INC",12086,2,30.62
"Haryana",1967,1,"KALKA","GEN","J. SINGH","IND",8508,3,21.55
"Haryana",1967,1,"KALKA","GEN","P. KUMAR","BJS",5974,4,15.13
"Haryana",1967,1,"KALKA","GEN","S. SINGH","IND",122,5,0.31
"Haryana",1967,2,"NARAINGARH","GEN","L. SINGH","INC",16691,1,45.35
"Haryana",1967,2,"NARAINGARH","GEN","R. N. SARUP","BJS",8528,2,23.17
"Haryana",1967,2,"NARAINGARH","GEN","N. LAL","RPI",6816,3,18.52
"Haryana",1967,2,"NARAINGARH","GEN","S. RAM","SWA",2291,4,6.23
"Haryana",1967,2,"NARAINGARH","GEN","G. SINGH","IND",1541,5,4.19
"Haryana",1967,2,"NARAINGARH","GEN","B. PARSHAD","IND",936,6,2.54
"Haryana",1967,3,"CHHACHROLI","SC","R. PARKASH","INC",15525,1,42.48
"Haryana",1967,3,"CHHACHROLI","SC","P. CHAND","IND",14605,2,39.97
"Haryana",1967,3,"CHHACHROLI","SC","S. RAM","CPI",3312,3,9.06
"Haryana",1967,3,"CHHACHROLI","SC","4. KISHORE","BJS",3101,4,8.49
"Haryana",1967,4,"JAGADHRI","GEN","D. PRAKASH","BJS",14665,1,41.12
"Haryana",1967,4,"JAGADHRI","GEN","G. SINGH","INC",12856,2,36.05
"Haryana",1967,4,"JAGADHRI","GEN","R. A. SINGH","SWA",3742,3,10.49
"Haryana",1967,4,"JAGADHRI","GEN","T. DASS","IND",2740,4,7.68
"Haryana",1967,4,"JAGADHRI","GEN","M. RAM","IND",1169,5,3.28
"Haryana",1967,4,"JAGADHRI","GEN","S. CHAND","IND",338,6,0.95
"Haryana",1967,4,"JAGADHRI","GEN","R. DASS","IND",154,7,0.43
"Haryana",1967,5,"YAMUNANAGAR","GEN","B. DAYAL","INC",22043,1,52.43
"Haryana",1967,5,"YAMUNANAGAR","GEN","R. LAL","BJS",15419,2,36.68
"Haryana",1967,5,"YAMUNANAGAR","GEN","J. GOPAL","PSP",4121,3,9.8
"Haryana",1967,5,"YAMUNANAGAR","GEN","A. CHANDER","IND",456,4,1.08
"Haryana",1967,6,"MULLANA","SC","R. PRASAD","RPI",16694,1,52.53
"Haryana",1967,6,"MULLANA","SC","S. RAM","INC",12321,2,38.77
"Haryana",1967,6,"MULLANA","SC","D. PAUL","SWA",1721,3,5.42
"Haryana",1967,6,"MULLANA","SC","A. RAM","IND",1041,4,3.28
"Haryana",1967,7,"NAGGAL","GEN","LAKHWATI","INC",17494,1,54.32
"Haryana",1967,7,"NAGGAL","GEN","M. SINGH","IND",12430,2,38.6
"Haryana",1967,7,"NAGGAL","GEN","H. SINGH","IND",1196,3,3.71
"Haryana",1967,7,"NAGGAL","GEN","I. RAJ","SWA",1084,4,3.37
"Haryana",1967,8,"AMBALA CANTONMENT","GEN","D. R. ANAND","INC",11343,1,41.65
"Haryana",1967,8,"AMBALA CANTONMENT","GEN","P. NATH","BJS",10845,2,39.82
"Haryana",1967,8,"AMBALA CANTONMENT","GEN","R. NATH","IND",3331,3,12.23
"Haryana",1967,8,"AMBALA CANTONMENT","GEN","G. SINGH","IND",1003,4,3.68
"Haryana",1967,8,"AMBALA CANTONMENT","GEN","K. LALL","IND",711,5,2.61
"Haryana",1967,9,"AMBALA","GEN","F. CHAND","BJS",15887,1,50.5
"Haryana",1967,9,"AMBALA","GEN","A. G. KHAN","INC",8973,2,28.52
"Haryana",1967,9,"AMBALA","GEN","J. SINGH","IND",6149,3,19.54
"Haryana",1967,9,"AMBALA","GEN","J. SINGH","IND",452,4,1.44
"Haryana",1967,10,"SHAHABAD","GEN","J. CHANDER","INC",11074,1,34.75
"Haryana",1967,10,"SHAHABAD","GEN","K. CHAND","BJS",10778,2,33.83
"Haryana",1967,10,"SHAHABAD","GEN","S. SINGH","IND",8664,3,27.19
"Haryana",1967,10,"SHAHABAD","GEN","K. RAM","IND",896,4,2.81
"Haryana",1967,10,"SHAHABAD","GEN","S. LAL","IND",452,5,1.42
"Haryana",1967,11,"THANESAR","GEN","D. PRAKASH","INC",18659,1,52.49
"Haryana",1967,11,"THANESAR","GEN","B. SINGH","BJS",14822,2,41.69
"Haryana",1967,11,"THANESAR","GEN","K. RAM","IND",843,3,2.37
"Haryana",1967,11,"THANESAR","GEN","A. RAM","IND",793,4,2.23
"Haryana",1967,11,"THANESAR","GEN","S. SAWARUP","SSP",434,5,1.22
"Haryana",1967,12,"BABAIN","SC","C. RAM","INC",21884,1,60.76
"Haryana",1967,12,"BABAIN","SC","R. DIA","BJS",11724,2,32.55
"Haryana",1967,12,"BABAIN","SC","J. R. SARUP","IND",2407,3,6.68
"Haryana",1967,13,"NILOKHERI","GEN","S. RAM","BJS",10605,1,33.81
"Haryana",1967,13,"NILOKHERI","GEN","C. SINGH","IND",9294,2,29.63
"Haryana",1967,13,"NILOKHERI","GEN","H. SINGH","INC",8030,3,25.6
"Haryana",1967,13,"NILOKHERI","GEN","S. RAM","RPI",2853,4,9.09
"Haryana",1967,13,"NILOKHERI","GEN","G. DUTT","IND",587,5,1.87
"Haryana",1967,14,"INDRI","GEN","P. DEVI","INC",17056,1,46.92
"Haryana",1967,14,"INDRI","GEN","T. RAM","BJS",5885,2,16.19
"Haryana",1967,14,"INDRI","GEN","G. RAM","IND",4969,3,13.67
"Haryana",1967,14,"INDRI","GEN","R. KISHAN","IND",3325,4,9.15
"Haryana",1967,14,"INDRI","GEN","B. SINGH","CPM",3286,5,9.04
"Haryana",1967,14,"INDRI","GEN","P. SINGH","RPI",1705,6,4.69
"Haryana",1967,14,"INDRI","GEN","K. RAM","IND",125,7,0.34
"Haryana",1967,15,"KARNAL","GEN","R. LAL","BJS",11702,1,31.38
"Haryana",1967,15,"KARNAL","GEN","L. RAM","INC",9215,2,24.71
"Haryana",1967,15,"KARNAL","GEN","R. PIARA","IND",9080,3,24.35
"Haryana",1967,15,"KARNAL","GEN","S. PRASAD","IND",5176,4,13.88
"Haryana",1967,15,"KARNAL","GEN","P. LAL","IND",1924,5,5.16
"Haryana",1967,15,"KARNAL","GEN","S. SUNDER","IND",196,6,0.53
"Haryana",1967,16,"JUNDLA","SC","R. KISHAN","INC",10843,1,34.69
"Haryana",1967,16,"JUNDLA","SC","B. RAM","RPI",10696,2,34.22
"Haryana",1967,16,"JUNDLA","SC","P. SINGH","IND",4510,3,14.43
"Haryana",1967,16,"JUNDLA","SC","J. RAM","IND",2844,4,9.1
"Haryana",1967,16,"JUNDLA","SC","MUNSHI","IND",1151,5,3.68
"Haryana",1967,16,"JUNDLA","SC","P. RAM","IND",955,6,3.06
