"state","year","month","party","seats"
"Haryana",1967,2,"INC","59.26"
"Haryana",1968,2,"INC","59.26"
"Haryana",1972,2,"INC","64.2"
"Haryana",1977,2,"INC","3.33"
"Haryana",1982,2,"INC","40"
"Haryana",1987,2,"INC","5.56"
"Haryana",1991,2,"INC","56.67"
"Haryana",1996,2,"INC","10"
"Haryana",2000,2,"INC","23.33"
"Haryana",2005,2,"INC","74.44"
"Haryana",2009,2,"INC","44.44"
"Haryana",2014,2,"INC","16.67"
"Haryana",1967,2,"IND","19.75"
"Haryana",1968,2,"IND","7.41"
"Haryana",1972,2,"IND","13.58"
"Haryana",1977,2,"IND","7.78"
"Haryana",1982,2,"IND","17.78"
"Haryana",1987,2,"IND","7.78"
"Haryana",1991,2,"IND","5.56"
"Haryana",1996,2,"IND","11.11"
"Haryana",2000,2,"IND","12.22"
"Haryana",2005,2,"IND","11.11"
"Haryana",2009,2,"IND","7.78"
"Haryana",2014,2,"IND","5.56"
"Haryana",1967,2,"RPI","2.47"
"Haryana",1968,2,"RPI","1.23"
"Haryana",1972,2,"RPI","0"
"Haryana",1977,2,"RPI","0"
"Haryana",1991,2,"RPI","0"
"Haryana",1996,2,"RPI","0"
"Haryana",2000,2,"RPI","1.11"
"Haryana",2009,2,"RPI","0"
"Haryana",1967,2,"BJS","14.81"
"Haryana",1968,2,"BJS","8.64"
"Haryana",1972,2,"BJS","2.47"
"Haryana",1967,2,"SWA","3.7"
"Haryana",1968,2,"SWA","2.47"
"Haryana",1968,2,"VHP","19.75"
"Haryana",1972,2,"VHP","3.7"
"Haryana",1977,2,"VHP","5.56"
"Haryana",1991,2,"VHP","0"
"Haryana",1972,2,"NCO","14.81"
"Haryana",1977,2,"JNP","83.33"
"Haryana",1982,2,"JNP","1.11"
"Haryana",1987,2,"JNP","0"
"Haryana",1982,2,"BJP","6.67"
"Haryana",1987,2,"BJP","17.78"
"Haryana",1991,2,"BJP","2.22"
"Haryana",1996,2,"BJP","12.22"
"Haryana",2000,2,"BJP","6.67"
"Haryana",2005,2,"BJP","2.22"
"Haryana",2009,2,"BJP","4.44"
"Haryana",2014,2,"BJP","52.22"
"Haryana",1982,2,"LKD","34.44"
"Haryana",1987,2,"LKD","66.67"
"Haryana",1991,2,"LKD","0"
"Haryana",1967,2,"CPM","0"
"Haryana",1968,2,"CPM","0"
"Haryana",1972,2,"CPM","0"
"Haryana",1977,2,"CPM","0"
"Haryana",1982,2,"CPM","0"
"Haryana",1987,2,"CPM","1.11"
"Haryana",1991,2,"CPM","0"
"Haryana",1996,2,"CPM","0"
"Haryana",2000,2,"CPM","0"
"Haryana",2005,2,"CPM","0"
"Haryana",2009,2,"CPM","0"
"Haryana",2014,2,"CPM","0"
"Haryana",1991,2,"HVP","13.33"
"Haryana",1996,2,"HVP","36.67"
"Haryana",2000,2,"HVP","2.22"
"Haryana",1991,2,"JD","3.33"
"Haryana",1996,2,"JD","0"
"Haryana",1991,2,"JP","17.78"
"Haryana",1996,2,"JP","0"
"Haryana",2000,2,"JP","0"
"Haryana",1996,2,"SAP","26.67"
"Haryana",2000,2,"INLD","52.22"
"Haryana",2005,2,"INLD","10"
"Haryana",2009,2,"INLD","34.44"
"Haryana",2014,2,"INLD","21.11"
"Haryana",2000,2,"NCP","1.11"
"Haryana",2005,2,"NCP","1.11"
"Haryana",2009,2,"NCP","0"
"Haryana",2009,2,"HJCBL","6.67"
"Haryana",2014,2,"HJCBL","2.22"
